ConnGroup,Model,N,Pos,PRAUC,ROCAUC,Brier
1,M0,112,22,0.1837,0.5,0.2013
1,M1,112,22,0.3793,0.7146,0.1928
1,M2,112,22,0.3793,0.7146,0.1916
1,M3,112,22,0.3793,0.7146,0.2064
2,M0,280,21,0.045,0.5,0.1854
2,M1,280,21,0.3525,0.8303,0.1666
2,M2,280,21,0.3525,0.8303,0.1651
2,M3,280,21,0.3525,0.8303,0.1728
3,M0,146,39,0.192,0.5,0.2146
3,M1,146,39,0.6276,0.7803,0.2094
3,M2,146,39,0.6052,0.768,0.2099
3,M3,146,39,0.5369,0.7227,0.1996
4,M0,146,25,0.1469,0.5,0.1973
4,M1,146,25,0.2704,0.6255,0.1775
4,M2,146,25,0.2704,0.6255,0.1816
4,M3,146,25,0.2704,0.6255,0.2149
5,M0,228,8,0.0232,0.5,0.1777
5,M1,228,8,0.1465,0.817,0.1518
5,M2,228,8,0.1465,0.817,0.163
5,M3,228,8,0.1465,0.817,0.1386
6,M0,276,5,0.0795,0.5,0.1776
6,M1,276,5,0.0695,0.6775,0.1371
6,M2,276,5,0.0695,0.6775,0.2023
6,M3,276,5,0.0695,0.6775,0.1508
7,M0,561,257,0.4115,0.5,0.2521
7,M1,561,257,0.6223,0.6431,0.2445
7,M2,561,257,0.622,0.6432,0.2442
7,M3,561,257,0.6122,0.6416,0.25
8,M0,320,157,0.4799,0.5,0.2587
8,M1,320,157,0.5465,0.558,0.2644
8,M2,320,157,0.5476,0.5594,0.2678
8,M3,320,157,0.5519,0.5648,0.2899
9,M0,288,82,0.2001,0.5,0.2185
9,M1,288,82,0.5341,0.7276,0.2044
9,M2,288,82,0.5341,0.7276,0.2032
9,M3,288,82,0.5341,0.7276,0.198
10,M0,677,358,0.5481,0.5,0.2692
10,M1,677,358,0.6095,0.589,0.2572
10,M2,677,358,0.6096,0.5828,0.257
10,M3,677,358,0.5734,0.5294,0.2636
11,M0,1193,375,0.2907,0.5,0.2268
11,M1,1193,375,0.3491,0.5161,0.2404
11,M2,1193,375,0.3495,0.5165,0.24
11,M3,1193,375,0.3617,0.554,0.2287
12,M0,303,228,0.7942,0.5,0.3213
12,M1,303,228,0.7158,0.417,0.4176
12,M2,303,228,0.7158,0.417,0.4576
12,M3,303,228,0.7158,0.417,0.4138
13,M0,175,86,0.4172,0.5,0.2584
13,M1,175,86,0.6384,0.6441,0.2439
13,M2,175,86,0.6384,0.6441,0.2442
13,M3,175,86,0.6384,0.6441,0.2395
14,M0,177,28,0.1569,0.5,0.1956
14,M1,177,28,0.2926,0.6016,0.2132
14,M2,177,28,0.2926,0.6016,0.2108
14,M3,177,28,0.2926,0.6016,0.2299
15,M0,627,384,0.6683,0.5,0.2914
15,M1,627,384,0.6693,0.564,0.3066
15,M2,627,384,0.6525,0.533,0.3076
15,M3,627,384,0.66,0.5469,0.2954
16,M0,193,90,0.3925,0.5,0.2533
16,M1,193,90,0.6403,0.6519,0.2386
16,M2,193,90,0.6403,0.6519,0.2377
16,M3,193,90,0.6403,0.6519,0.2379
17,M0,287,141,0.4459,0.5,0.2587
17,M1,287,141,0.6097,0.6037,0.2465
17,M2,287,141,0.6097,0.6037,0.2465
17,M3,287,141,0.6097,0.6037,0.259
18,M0,432,230,0.5995,0.5,0.2685
18,M1,432,230,0.5959,0.5579,0.2574
18,M2,432,230,0.5959,0.5579,0.2603
18,M3,432,230,0.5959,0.5579,0.2572
19,M0,323,172,0.4755,0.5,0.2679
19,M1,323,172,0.6813,0.6236,0.2606
19,M2,323,172,0.6813,0.6236,0.2594
19,M3,323,172,0.6813,0.6236,0.2847
