bin,N,mean_pred,obs_rate
"[0.157,0.312]",675,0.270775429656585,0.534814814814815
"(0.312,0.348]",674,0.331748576004807,0.338278931750742
"(0.348,0.369]",674,0.358496642788344,0.308605341246291
"(0.369,0.386]",675,0.377693109642849,0.321481481481482
"(0.386,0.402]",674,0.393910371224805,0.345697329376855
"(0.402,0.418]",674,0.409548307233958,0.408011869436202
"(0.437,0.461]",675,0.448339212147681,0.431111111111111
"(0.418,0.437]",675,0.427207102500803,0.394074074074074
"(0.461,0.492]",673,0.475394485520253,0.482912332838039
"(0.492,0.687]",675,0.531393562976827,0.45037037037037
