ConnGroup,Model,N,Pos,PRAUC,ROCAUC,Brier,members,pxds,n_groups
1,M0,112,22,0.1837,0.5,0.2013,KLA31_01,PXD033146,1
1,M1,112,22,0.3793,0.7146,0.1928,KLA31_01,PXD033146,1
1,M2,112,22,0.3793,0.7146,0.1916,KLA31_01,PXD033146,1
1,M3,112,22,0.3793,0.7146,0.2064,KLA31_01,PXD033146,1
2,M0,280,21,0.045,0.5,0.1854,KLA31_02,PXD036307,1
2,M1,280,21,0.3525,0.8303,0.1666,KLA31_02,PXD036307,1
2,M2,280,21,0.3525,0.8303,0.1651,KLA31_02,PXD036307,1
2,M3,280,21,0.3525,0.8303,0.1728,KLA31_02,PXD036307,1
3,M0,146,39,0.192,0.5,0.2146,KLA31_03+KLA31_04,PXD046800,2
3,M1,146,39,0.6276,0.7803,0.2094,KLA31_03+KLA31_04,PXD046800,2
3,M2,146,39,0.6052,0.768,0.2099,KLA31_03+KLA31_04,PXD046800,2
3,M3,146,39,0.5369,0.7227,0.1996,KLA31_03+KLA31_04,PXD046800,2
4,M0,146,25,0.1469,0.5,0.1973,KLA31_05,PXD050470,1
4,M1,146,25,0.2704,0.6255,0.1775,KLA31_05,PXD050470,1
4,M2,146,25,0.2704,0.6255,0.1816,KLA31_05,PXD050470,1
4,M3,146,25,0.2704,0.6255,0.2149,KLA31_05,PXD050470,1
5,M0,228,8,0.0232,0.5,0.1777,KLA31_06,PXD063047,1
5,M1,228,8,0.1465,0.817,0.1518,KLA31_06,PXD063047,1
5,M2,228,8,0.1465,0.817,0.163,KLA31_06,PXD063047,1
5,M3,228,8,0.1465,0.817,0.1386,KLA31_06,PXD063047,1
6,M0,276,5,0.0795,0.5,0.1776,KLA31_07,PXD064912,1
6,M1,276,5,0.0695,0.6775,0.1371,KLA31_07,PXD064912,1
6,M2,276,5,0.0695,0.6775,0.2023,KLA31_07,PXD064912,1
6,M3,276,5,0.0695,0.6775,0.1508,KLA31_07,PXD064912,1
7,M0,561,257,0.4115,0.5,0.2521,KLA31_08+KLA31_11,PXD066054,2
7,M1,561,257,0.6223,0.6431,0.2445,KLA31_08+KLA31_11,PXD066054,2
7,M2,561,257,0.622,0.6432,0.2442,KLA31_08+KLA31_11,PXD066054,2
7,M3,561,257,0.6122,0.6416,0.25,KLA31_08+KLA31_11,PXD066054,2
8,M0,320,157,0.4799,0.5,0.2587,KLA31_09+KLA31_12,PXD075377,2
8,M1,320,157,0.5465,0.558,0.2644,KLA31_09+KLA31_12,PXD075377,2
8,M2,320,157,0.5476,0.5594,0.2678,KLA31_09+KLA31_12,PXD075377,2
8,M3,320,157,0.5519,0.5648,0.2899,KLA31_09+KLA31_12,PXD075377,2
9,M0,288,82,0.2001,0.5,0.2185,KLA31_10,PXD064038,1
