dropped,meanROC_M1,meanROC_M0,delta
1,0.6349,0.5,0.1349
2,0.628472222222222,0.5,0.128472222222222
3,0.63125,0.5,0.13125
4,0.63985,0.5,0.13985
5,0.629211111111111,0.5,0.129211111111111
6,0.636961111111111,0.5,0.136961111111111
7,0.638872222222222,0.5,0.138872222222222
8,0.6436,0.5,0.1436
9,0.634177777777778,0.5,0.134177777777778
10,0.641877777777778,0.5,0.141877777777778
11,0.645927777777778,0.5,0.145927777777778
12,0.651433333333333,0.5,0.151433333333333
13,0.638816666666667,0.5,0.138816666666667
14,0.641177777777778,0.5,0.141177777777778
15,0.643266666666667,0.5,0.143266666666667
16,0.638383333333333,0.5,0.138383333333333
17,0.641061111111111,0.5,0.141061111111111
18,0.643605555555556,0.5,0.143605555555556
19,0.639955555555556,0.5,0.139955555555556
