ConnGroup,Model,lambda,Feature,Coef
1,ME,0.1,z_target_expr,0.17171
1,ME2,0.1,z_target_expr,0.21394
1,ME2,0.1,z_mod,-0.16738
1,ME2P,1,z_target_expr,0.13437
1,ME2P,1,z_mod,-0.14065
1,ME2P,1,z_mp,0.18104
1,XEN,1,z_target_expr,0.2227
1,XEN,1,z_mod,-0.16524
2,ME,0.1,z_target_expr,0.1554
2,ME2,0.1,z_target_expr,0.18983
2,ME2,0.1,z_mod,-0.13173
2,ME2P,1,z_target_expr,0.11698
2,ME2P,1,z_mod,-0.10226
2,ME2P,1,z_mp,0.18142
2,XEN,1,z_target_expr,0.19643
2,XEN,1,z_mod,-0.13023
3,ME,0.1,z_target_expr,0.17061
3,ME2,0.1,z_target_expr,0.21633
3,ME2,0.1,z_mod,-0.1852
3,ME2P,1,z_target_expr,0.14271
3,ME2P,1,z_mod,-0.16445
3,ME2P,1,z_mp,0.17813
3,XEN,1,z_target_expr,0.22564
3,XEN,1,z_mod,-0.18604
4,ME,0.1,z_target_expr,0.16201
4,ME2,0.1,z_target_expr,0.20532
4,ME2,0.1,z_mod,-0.17535
4,ME2P,1,z_target_expr,0.11935
4,ME2P,1,z_mod,-0.14779
4,ME2P,1,z_mp,0.19637
4,XEN,1,z_target_expr,0.2151
4,XEN,1,z_mod,-0.17049
5,ME,0.1,z_target_expr,0.15092
5,ME2,0.1,z_target_expr,0.19754
5,ME2,0.1,z_mod,-0.18878
5,ME2P,1,z_target_expr,0.12129
5,ME2P,1,z_mod,-0.17265
5,ME2P,1,z_mp,0.1886
5,XEN,1,z_target_expr,0.20673
5,XEN,1,z_mod,-0.1837
6,ME,0.1,z_target_expr,0.11986
6,ME2,0.1,z_target_expr,0.1822
6,ME2,0.1,z_mod,-0.30538
6,ME2P,1,z_target_expr,0.10792
6,ME2P,1,z_mod,-0.32409
6,ME2P,1,z_mp,0.1701
6,XEN,1,z_target_expr,0.21043
6,XEN,1,z_mod,-0.32001
7,ME,0.1,z_target_expr,0.16623
7,ME2,0.1,z_target_expr,0.21094
7,ME2,0.1,z_mod,-0.17262
7,ME2P,1,z_target_expr,0.13634
7,ME2P,1,z_mod,-0.14172
7,ME2P,1,z_mp,0.149
7,XEN,1,z_target_expr,0.22258
7,XEN,1,z_mod,-0.16818
8,ME,0.1,z_target_expr,0.1832
8,ME2,0.1,z_target_expr,0.22579
8,ME2,0.1,z_mod,-0.17411
8,ME2P,1,z_target_expr,0.15388
8,ME2P,1,z_mod,-0.14388
8,ME2P,1,z_mp,0.16144
8,XEN,1,z_target_expr,0.23853
8,XEN,1,z_mod,-0.16665
9,ME,0.1,z_target_expr,0.16147
9,ME2,0.1,z_target_expr,0.20513
9,ME2,0.1,z_mod,-0.17063
9,ME2P,1,z_target_expr,0.14077
9,ME2P,1,z_mod,-0.14916
9,ME2P,1,z_mp,0.15106
9,XEN,1,z_target_expr,0.21438
9,XEN,1,z_mod,-0.16763
10,ME,0.1,z_target_expr,0.14394
10,ME2,0.1,z_target_expr,0.18622
10,ME2,0.1,z_mod,-0.14863
10,ME2P,1,z_target_expr,0.10253
10,ME2P,1,z_mod,-0.0908
10,ME2P,1,z_mp,0.10725
10,XEN,1,z_target_expr,0.19411
10,XEN,1,z_mod,-0.13256
11,ME,0.1,z_target_expr,0.22987
11,ME2,0.1,z_target_expr,0.2584
11,ME2,0.1,z_mod,-0.10052
11,ME2P,1,z_target_expr,0.17304
11,ME2P,1,z_mod,-0.06304
11,ME2P,1,z_mp,0.22553
11,XEN,1,z_target_expr,0.27556
11,XEN,1,z_mod,-0.08956
12,ME,0.1,z_target_expr,0.24691
12,ME2,0.1,z_target_expr,0.25024
12,ME2,0.1,z_mod,-0.01781
12,ME2P,1,z_target_expr,0.15384
12,ME2P,1,z_mod,0.07722
12,ME2P,1,z_mp,0.21331
12,XEN,1,z_target_expr,0.24602
12,XEN,1,z_mod,-0.00704
13,ME,0.1,z_target_expr,0.16507
13,ME2,0.1,z_target_expr,0.21074
13,ME2,0.1,z_mod,-0.18519
13,ME2P,1,z_target_expr,0.117
13,ME2P,1,z_mod,-0.14086
13,ME2P,1,z_mp,0.17097
13,XEN,1,z_target_expr,0.21798
13,XEN,1,z_mod,-0.18273
14,ME,0.1,z_target_expr,0.18419
14,ME2,0.1,z_target_expr,0.22143
14,ME2,0.1,z_mod,-0.14989
14,ME2P,1,z_target_expr,0.12171
14,ME2P,1,z_mod,-0.09002
14,ME2P,1,z_mp,0.19163
14,XEN,1,z_target_expr,0.23269
14,XEN,1,z_mod,-0.14893
15,ME,0.1,z_target_expr,0.20922
15,ME2,0.1,z_target_expr,0.26702
15,ME2,0.1,z_mod,-0.23844
15,ME2P,1,z_target_expr,0.16229
15,ME2P,1,z_mod,-0.20735
15,ME2P,1,z_mp,0.20149
15,XEN,1,z_target_expr,0.2839
15,XEN,1,z_mod,-0.2359
16,ME,0.1,z_target_expr,0.16518
16,ME2,0.1,z_target_expr,0.20903
16,ME2,0.1,z_mod,-0.17373
16,ME2P,1,z_target_expr,0.10864
16,ME2P,1,z_mod,-0.14006
16,ME2P,1,z_mp,0.17383
16,XEN,1,z_target_expr,0.219
16,XEN,1,z_mod,-0.17265
17,ME,0.1,z_target_expr,0.16404
17,ME2,0.1,z_target_expr,0.20838
17,ME2,0.1,z_mod,-0.17632
17,ME2P,1,z_target_expr,0.10497
17,ME2P,1,z_mod,-0.14239
17,ME2P,1,z_mp,0.1585
17,XEN,1,z_target_expr,0.21869
17,XEN,1,z_mod,-0.17607
18,ME,0.1,z_target_expr,0.16117
18,ME2,0.1,z_target_expr,0.22155
18,ME2,0.1,z_mod,-0.25631
18,ME2P,1,z_target_expr,0.12267
18,ME2P,1,z_mod,-0.24769
18,ME2P,1,z_mp,0.13825
18,XEN,1,z_target_expr,0.22975
18,XEN,1,z_mod,-0.25108
19,ME,0.1,z_target_expr,0.16938
19,ME2,0.1,z_target_expr,0.21703
19,ME2,0.1,z_mod,-0.1862
19,ME2P,1,z_target_expr,0.12069
19,ME2P,1,z_mod,-0.15144
19,ME2P,1,z_mp,0.14788
19,XEN,1,z_target_expr,0.229
19,XEN,1,z_mod,-0.18487
