Model,ConnGroup,N,Pos,AP,PRAUC_trap,ROC,Brier,LogLoss,Note
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
ME2P,1,6744,2708,0.6134,0.6129,0.7261,0.2059,0.6026,
