Model,Summary,AP,PRAUC_trap,ROC,Brier,LogLoss
M0,equal_weight_19folds,0.3216,0.314,0.3205,0.2446,0.6826
M0,n_weighted,0.3216,0.314,0.3205,0.2446,0.6826
M0,pooled_reference_only,0.3216,0.314,0.3205,0.2446,0.6826
MP,equal_weight_19folds,0.6583,0.6544,0.7556,0.1946,0.5757
MP,n_weighted,0.6583,0.6544,0.7556,0.1946,0.5757
MP,pooled_reference_only,0.6583,0.6544,0.7556,0.1946,0.5757
MP_only,equal_weight_19folds,0.6583,0.6544,0.7556,0.1946,0.5757
MP_only,n_weighted,0.6583,0.6544,0.7556,0.1946,0.5757
MP_only,pooled_reference_only,0.6583,0.6544,0.7556,0.1946,0.5757
ME,equal_weight_19folds,0.4313,0.4309,0.5227,0.2447,0.6843
ME,n_weighted,0.4313,0.4309,0.5227,0.2447,0.6843
ME,pooled_reference_only,0.4313,0.4309,0.5227,0.2447,0.6843
ME2,equal_weight_19folds,0.4091,0.4087,0.4879,0.2497,0.6949
ME2,n_weighted,0.4091,0.4087,0.4879,0.2497,0.6949
ME2,pooled_reference_only,0.4091,0.4087,0.4879,0.2497,0.6949
ME2P,equal_weight_19folds,0.6134,0.6129,0.7261,0.2059,0.6026
ME2P,n_weighted,0.6134,0.6129,0.7261,0.2059,0.6026
ME2P,pooled_reference_only,0.6134,0.6129,0.7261,0.2059,0.6026
XEN,equal_weight_19folds,0.3787,0.3783,0.4779,0.2582,0.7147
XEN,n_weighted,0.3787,0.3783,0.4779,0.2582,0.7147
XEN,pooled_reference_only,0.3787,0.3783,0.4779,0.2582,0.7147
