Model,ConnGroup,AP
M0,1,0.196428571428571
M0,2,0.075
M0,3,0.267123287671233
M0,4,0.171232876712329
M0,5,0.0350877192982456
M0,6,0.0181159420289855
M0,7,0.458110516934046
M0,8,0.490625
M0,9,0.284722222222222
M0,10,0.528803545051699
M0,11,0.314333612740989
M0,12,0.752475247524752
M0,13,0.491428571428572
M0,14,0.15819209039548
M0,15,0.61244019138756
M0,16,0.466321243523316
M0,17,0.491289198606272
M0,18,0.532407407407407
M0,19,0.532507739938081
MP,1,0.760214831257374
MP,2,0.618967467720808
MP,3,0.634921249570518
MP,4,0.507072153692925
MP,5,0.292081554191196
MP,6,0.0445351791264003
MP,7,0.809641730255759
MP,8,0.816005108355322
MP,9,0.630780549548471
MP,10,0.921148186153207
MP,11,0.556786508886677
MP,12,0.921265319834541
MP,13,0.842616443006938
MP,14,0.675545566033652
MP,15,0.875118076715491
MP,16,0.778268195285482
MP,17,0.91014612933295
MP,18,0.901948090038083
MP,19,0.854340229869587
ME,1,0.379349309363493
ME,2,0.352545471617468
ME,3,0.627640986501488
ME,4,0.270445997467497
ME,5,0.14653932334428
ME,6,0.0694705677464298
ME,7,0.622320050323158
ME,8,0.546521562334421
ME,9,0.534064545668899
ME,10,0.60951279599075
ME,11,0.350259612236911
ME,12,0.715818859221255
ME,13,0.63835468867811
ME,14,0.292554678123871
ME,15,0.669255585186163
ME,16,0.640295909123075
ME,17,0.609694672081817
ME,18,0.594957228523913
ME,19,0.681281213672649
