ConnGroup,LogLoss,Model,Candidate,InnerFold,OuterGroup
4,0.579352399227523,SHRINK,original,1,1
8,0.567753797677159,SHRINK,original,1,1
12,0.815547692443203,SHRINK,original,1,1
13,0.474360110272311,SHRINK,original,1,1
4,0.490760366596519,SHRINK_CAL,original,1,1
8,0.605821929656737,SHRINK_CAL,original,1,1
12,0.938033700626368,SHRINK_CAL,original,1,1
13,0.520827702989675,SHRINK_CAL,original,1,1
7,0.562529055588195,SHRINK,original,2,1
15,0.706290351135314,SHRINK,original,2,1
18,0.549342249484816,SHRINK,original,2,1
19,0.631542208996649,SHRINK,original,2,1
7,0.620148697960648,SHRINK_CAL,original,2,1
15,0.787509556014503,SHRINK_CAL,original,2,1
18,0.639131360192462,SHRINK_CAL,original,2,1
19,0.700648855240861,SHRINK_CAL,original,2,1
5,0.715297679789465,SHRINK,original,3,1
6,0.726435387265002,SHRINK,original,3,1
9,0.585737072210794,SHRINK,original,3,1
14,0.600640074392398,SHRINK,original,3,1
5,0.601878395562176,SHRINK_CAL,original,3,1
6,0.607387569722788,SHRINK_CAL,original,3,1
9,0.556188796544164,SHRINK_CAL,original,3,1
14,0.536325751937152,SHRINK_CAL,original,3,1
2,0.52492255327385,SHRINK,original,4,1
3,0.609723452188065,SHRINK,original,4,1
10,0.444995930659721,SHRINK,original,4,1
2,0.454623088312498,SHRINK_CAL,original,4,1
3,0.5448988226916,SHRINK_CAL,original,4,1
10,0.512710480679554,SHRINK_CAL,original,4,1
11,0.612639380979411,SHRINK,original,5,1
16,0.567212015798775,SHRINK,original,5,1
17,0.454975896640944,SHRINK,original,5,1
11,0.564127703303199,SHRINK_CAL,original,5,1
16,0.58782859070014,SHRINK_CAL,original,5,1
17,0.520633099982588,SHRINK_CAL,original,5,1
4,0.543949070746767,SHRINK,group_0.5,1,1
8,0.619651550186951,SHRINK,group_0.5,1,1
12,1.01238431796262,SHRINK,group_0.5,1,1
13,0.491810829728694,SHRINK,group_0.5,1,1
4,0.487056368499361,SHRINK_CAL,group_0.5,1,1
8,0.623411165363005,SHRINK_CAL,group_0.5,1,1
12,0.970795366780149,SHRINK_CAL,group_0.5,1,1
13,0.535643554205802,SHRINK_CAL,group_0.5,1,1
7,0.582707536910431,SHRINK,group_0.5,2,1
15,0.807290326149503,SHRINK,group_0.5,2,1
18,0.595465793316864,SHRINK,group_0.5,2,1
19,0.677325809608478,SHRINK,group_0.5,2,1
7,0.62617541833762,SHRINK_CAL,group_0.5,2,1
15,0.794362387722362,SHRINK_CAL,group_0.5,2,1
18,0.660075954746238,SHRINK_CAL,group_0.5,2,1
19,0.70143852759836,SHRINK_CAL,group_0.5,2,1
5,0.733775585220593,SHRINK,group_0.5,3,1
6,0.761748828952494,SHRINK,group_0.5,3,1
9,0.584874333461734,SHRINK,group_0.5,3,1
14,0.645939991722154,SHRINK,group_0.5,3,1
5,0.583900217647552,SHRINK_CAL,group_0.5,3,1
6,0.595380817953938,SHRINK_CAL,group_0.5,3,1
9,0.551381577056172,SHRINK_CAL,group_0.5,3,1
14,0.552178648136915,SHRINK_CAL,group_0.5,3,1
2,0.490120125492747,SHRINK,group_0.5,4,1
3,0.594320526838047,SHRINK,group_0.5,4,1
10,0.437065944278459,SHRINK,group_0.5,4,1
2,0.460379412715257,SHRINK_CAL,group_0.5,4,1
3,0.544045922532579,SHRINK_CAL,group_0.5,4,1
10,0.531058089463526,SHRINK_CAL,group_0.5,4,1
11,0.603332948928889,SHRINK,group_0.5,5,1
16,0.562964002938248,SHRINK,group_0.5,5,1
17,0.49040309746584,SHRINK,group_0.5,5,1
11,0.572870983683511,SHRINK_CAL,group_0.5,5,1
16,0.584253040076962,SHRINK_CAL,group_0.5,5,1
17,0.549025605302912,SHRINK_CAL,group_0.5,5,1
4,0.520297699325755,SHRINK,group_2,1,1
8,0.602541566055412,SHRINK,group_2,1,1
12,0.912735931266701,SHRINK,group_2,1,1
13,0.505728268805472,SHRINK,group_2,1,1
4,0.488575245562666,SHRINK_CAL,group_2,1,1
8,0.617646327249696,SHRINK_CAL,group_2,1,1
12,0.950004533737322,SHRINK_CAL,group_2,1,1
13,0.528433958596349,SHRINK_CAL,group_2,1,1
7,0.580146124392704,SHRINK,group_2,2,1
15,0.76826844210057,SHRINK,group_2,2,1
18,0.594986618216398,SHRINK,group_2,2,1
19,0.666199427989723,SHRINK,group_2,2,1
7,0.622403408908795,SHRINK_CAL,group_2,2,1
15,0.792389989106482,SHRINK_CAL,group_2,2,1
18,0.654644505898796,SHRINK_CAL,group_2,2,1
19,0.702016905359751,SHRINK_CAL,group_2,2,1
5,0.688325479678519,SHRINK,group_2,3,1
6,0.706149090064687,SHRINK,group_2,3,1
9,0.567510993264597,SHRINK,group_2,3,1
14,0.62137962305211,SHRINK,group_2,3,1
5,0.594053818541541,SHRINK_CAL,group_2,3,1
6,0.605181912318206,SHRINK_CAL,group_2,3,1
9,0.545054193316885,SHRINK_CAL,group_2,3,1
14,0.557364617750805,SHRINK_CAL,group_2,3,1
2,0.485503372455414,SHRINK,group_2,4,1
3,0.57754270544464,SHRINK,group_2,4,1
10,0.455036394481561,SHRINK,group_2,4,1
2,0.457552238458832,SHRINK_CAL,group_2,4,1
3,0.543225708012404,SHRINK_CAL,group_2,4,1
10,0.514101414417194,SHRINK_CAL,group_2,4,1
11,0.579171638134611,SHRINK,group_2,5,1
16,0.556416344021654,SHRINK,group_2,5,1
