Model,Candidate,Risk,Groups,OuterGroup
SHRINK,original,0.596072072667977,18,1
SHRINK_CAL,original,0.599415803817424,18,1
SHRINK,group_0.5,0.624173923328306,18,1
SHRINK_CAL,group_0.5,0.606857392101234,18,1
SHRINK,group_2,0.605048047283276,18,1
SHRINK_CAL,group_2,0.6027784575333,18,1
SHRINK,group_8,0.60468108174457,18,1
SHRINK_CAL,group_8,0.603074992979205,18,1
SHRINK,group_32,0.638674481798792,18,1
SHRINK_CAL,group_32,0.630881590842002,18,1
SHRINK,row_0.5,0.617175908544359,18,1
SHRINK_CAL,row_0.5,0.603510903079541,18,1
SHRINK,row_2,0.598870204592598,18,1
SHRINK_CAL,row_2,0.59869723440707,18,1
SHRINK,row_8,0.592100598756666,18,1
SHRINK_CAL,row_8,0.59709059468126,18,1
SHRINK,row_32,0.619312304845705,18,1
SHRINK_CAL,row_32,0.610133378884372,18,1
SHRINK,original,0.60347836826742,18,2
SHRINK_CAL,original,0.602599058042438,18,2
SHRINK,group_0.5,0.638107149376134,18,2
SHRINK_CAL,group_0.5,0.611808833949403,18,2
SHRINK,group_2,0.614166590271288,18,2
SHRINK_CAL,group_2,0.607698715126527,18,2
SHRINK,group_8,0.609702935199508,18,2
SHRINK_CAL,group_8,0.606965927462342,18,2
SHRINK,group_32,0.641801650161396,18,2
SHRINK_CAL,group_32,0.63083717562856,18,2
SHRINK,row_0.5,0.62672994343059,18,2
SHRINK_CAL,row_0.5,0.606651283016624,18,2
SHRINK,row_2,0.605591705477927,18,2
SHRINK_CAL,row_2,0.601911921948774,18,2
SHRINK,row_8,0.596318242521944,18,2
SHRINK_CAL,row_8,0.600213677748953,18,2
SHRINK,row_32,0.622151812202253,18,2
SHRINK_CAL,row_32,0.610974456388764,18,2
SHRINK,original,0.592959369555949,18,3
SHRINK_CAL,original,0.596060324612219,18,3
SHRINK,group_0.5,0.621619044997844,18,3
SHRINK_CAL,group_0.5,0.604369812440216,18,3
SHRINK,group_2,0.602402849775205,18,3
SHRINK_CAL,group_2,0.59991922644395,18,3
SHRINK,group_8,0.602496194051015,18,3
SHRINK_CAL,group_8,0.599806360257934,18,3
SHRINK,group_32,0.636898022368028,18,3
SHRINK_CAL,group_32,0.626497813679637,18,3
SHRINK,row_0.5,0.61435686509794,18,3
SHRINK_CAL,row_0.5,0.600347288312583,18,3
SHRINK,row_2,0.595834139552576,18,3
SHRINK_CAL,row_2,0.595415322369878,18,3
SHRINK,row_8,0.589482499780117,18,3
SHRINK_CAL,row_8,0.593836218291447,18,3
SHRINK,row_32,0.61750096003356,18,3
SHRINK_CAL,row_32,0.606216573698511,18,3
SHRINK,original,0.595272287440181,18,4
SHRINK_CAL,original,0.599088897577604,18,4
SHRINK,group_0.5,0.626817517884382,18,4
SHRINK_CAL,group_0.5,0.607000423719363,18,4
SHRINK,group_2,0.606748909358416,18,4
SHRINK_CAL,group_2,0.602378678259038,18,4
SHRINK,group_8,0.606336269853709,18,4
SHRINK_CAL,group_8,0.602048043054087,18,4
SHRINK,group_32,0.640955306003713,18,4
SHRINK_CAL,group_32,0.627658628648166,18,4
SHRINK,row_0.5,0.617304946985223,18,4
SHRINK_CAL,row_0.5,0.603565873496368,18,4
SHRINK,row_2,0.598397135355156,18,4
SHRINK_CAL,row_2,0.598266790933591,18,4
SHRINK,row_8,0.59200071661465,18,4
SHRINK_CAL,row_8,0.596272640057095,18,4
