ConnGroup,Model,LogLoss,Baseline,Delta
1,SHRINK,0.504111045300602,0.513081440426412,-0.00897039512580977
1,SHRINK_CAL,0.472822149803365,0.513081440426412,-0.0402592906230462
2,SHRINK,0.493503329704093,0.511659930340831,-0.018156600636738
2,SHRINK_CAL,0.445239203676264,0.511659930340831,-0.0664207266645666
3,SHRINK,0.566203412740049,0.587019380130823,-0.0208159673907738
3,SHRINK_CAL,0.537470029007356,0.587019380130823,-0.0495493511234665
4,SHRINK,0.549142973921217,0.570156210442944,-0.0210132365217264
4,SHRINK_CAL,0.511785708846286,0.570156210442944,-0.058370501596658
5,SHRINK,0.554770664673808,0.582746160580953,-0.027975495907145
5,SHRINK_CAL,0.500760130370691,0.582746160580953,-0.0819860302102617
6,SHRINK,0.568542616473014,0.596898020146422,-0.0283554036734084
6,SHRINK_CAL,0.508914151821406,0.596898020146422,-0.0879838683250159
7,SHRINK,0.562916433946877,0.551470493160351,0.0114459407865262
7,SHRINK_CAL,0.577040735967006,0.551470493160351,0.0255702428066548
8,SHRINK,0.576037086062776,0.568814984527702,0.00722210153507374
8,SHRINK_CAL,0.593978024596987,0.568814984527702,0.0251630400692843
9,SHRINK,0.526477395611344,0.530644716146234,-0.00416732053488933
9,SHRINK_CAL,0.509206182640851,0.530644716146234,-0.0214385335053826
10,SHRINK,0.504213864131095,0.49278285623641,0.0114310078946848
10,SHRINK_CAL,0.519249761971312,0.49278285623641,0.0264669057349014
11,SHRINK,0.579408228872946,0.597020094355765,-0.0176118654828193
11,SHRINK_CAL,0.56245374710559,0.597020094355765,-0.0345663472501753
12,SHRINK,0.821566401403708,0.841754791973352,-0.0201883905696438
12,SHRINK_CAL,0.911131185973198,0.841754791973352,0.0693763939998467
13,SHRINK,0.504344263616386,0.497069748390844,0.00727451522554135
13,SHRINK_CAL,0.519988299682991,0.497069748390844,0.0229185512921468
14,SHRINK,0.50660413489529,0.502499111494608,0.00410502340068231
14,SHRINK_CAL,0.46850351800763,0.502499111494608,-0.0339955934869783
15,SHRINK,0.687220786705446,0.692843965352445,-0.00562317864699868
15,SHRINK_CAL,0.73018196616158,0.692843965352445,0.0373380008091349
16,SHRINK,0.581056138607808,0.572867249787231,0.00818888882057689
16,SHRINK_CAL,0.594474514572152,0.572867249787231,0.0216072647849205
17,SHRINK,0.507540108699824,0.495486239147011,0.0120538695528131
17,SHRINK_CAL,0.525245048705133,0.495486239147011,0.0297588095581217
18,SHRINK,0.541411504530336,0.536129899104109,0.00528160542622702
18,SHRINK_CAL,0.564714773846678,0.536129899104109,0.0285848747425685
19,SHRINK,0.60654198226852,0.59776293728645,0.00877904498206972
19,SHRINK_CAL,0.637572178826561,0.59776293728645,0.0398092415401108
