Model,Candidate,Intercept,Slope,Gradient,UnseenRate,Dropped,Test
SHRINK,row_8,0,1,,0.00357142857142857,1,2
SHRINK_CAL,row_8,-0.11963350487609,1.06234794001246,6.15474303067992e-08,0.00357142857142857,1,2
SHRINK,row_8,0,1,,0,1,3
SHRINK_CAL,row_8,-0.121362454976928,1.06129667591858,1.92490428255069e-07,0,1,3
SHRINK,row_8,0,1,,0,1,4
SHRINK_CAL,row_8,-0.121789232168279,1.0625469036321,1.15704260831911e-07,0,1,4
SHRINK,row_8,0,1,,0,1,5
SHRINK_CAL,row_8,-0.128968136128433,1.05642983559649,3.84258437428116e-08,0,1,5
SHRINK,row_8,0,1,,0.0072463768115942,1,6
SHRINK_CAL,row_8,-0.143403450566454,1.05130536200458,1.26249036881617e-08,0.0072463768115942,1,6
SHRINK,row_8,0,1,,0,1,7
SHRINK_CAL,row_8,-0.13552517533849,1.09636256367418,2.12135863702403e-06,0,1,7
SHRINK,row_8,0,1,,0,1,8
SHRINK_CAL,row_8,-0.142077038159066,1.10940120123591,6.05425151207952e-08,0,1,8
SHRINK,row_8,0,1,,0,1,9
SHRINK_CAL,row_8,-0.126121832755116,1.13035560431282,4.26704324688523e-07,0,1,9
SHRINK,row_8,0,1,,0.00147710487444609,1,10
SHRINK_CAL,row_8,-0.0884653987768046,1.16011106362305,1.68607669017821e-06,0.00147710487444609,1,10
SHRINK,group_2,0,1,,0.00167644593461861,1,11
SHRINK_CAL,row_8,-0.178992610936053,1.1790979823827,3.07299274887786e-07,0.00167644593461861,1,11
SHRINK,group_2,0,1,,0,1,12
SHRINK_CAL,row_8,-0.125393073767608,1.18743575816649,1.7339052396713e-06,0,1,12
SHRINK,row_8,0,1,,0,1,13
SHRINK_CAL,row_8,-0.147459197576148,1.08796203119016,3.51559159773385e-07,0,1,13
SHRINK,row_8,0,1,,0,1,14
SHRINK_CAL,row_8,-0.10317907591602,1.14887712323984,2.36066600921639e-07,0,1,14
SHRINK,row_8,0,1,,0.00318979266347687,1,15
SHRINK_CAL,row_8,-0.100714135300818,1.15293450680424,1.80814612722486e-06,0.00318979266347687,1,15
SHRINK,row_8,0,1,,0,1,16
SHRINK_CAL,row_8,-0.136597040382739,1.13660710947277,6.47201300855389e-07,0,1,16
SHRINK,row_8,0,1,,0,1,17
SHRINK_CAL,row_8,-0.143617929685242,1.12082089337813,4.87686761896616e-07,0,1,17
SHRINK,row_8,0,1,,0,1,18
SHRINK_CAL,row_8,-0.129091509988389,1.12804413872525,1.05699601383808e-06,0,1,18
SHRINK,row_8,0,1,,0.00619195046439629,1,19
SHRINK_CAL,row_8,-0.137303478662511,1.13410135779067,6.85732437098749e-07,0.00619195046439629,1,19
SHRINK,row_8,0,1,,0,2,1
SHRINK_CAL,row_8,-0.11963350487609,1.06234794001246,6.15474303067992e-08,0,2,1
SHRINK,row_8,0,1,,0,2,3
SHRINK_CAL,row_8,-0.126535535562869,1.07544053615005,4.84968734038548e-08,0,2,3
SHRINK,row_8,0,1,,0,2,4
SHRINK_CAL,row_8,-0.125560415394389,1.07879518511145,2.73102309948561e-08,0,2,4
SHRINK,row_8,0,1,,0,2,5
SHRINK_CAL,row_8,-0.126783498197938,1.08508449492738,9.97605506810142e-09,0,2,5
SHRINK,row_8,0,1,,0.0072463768115942,2,6
SHRINK_CAL,row_8,-0.140686929332033,1.08122973506236,1.97892189811571e-08,0.0072463768115942,2,6
SHRINK,row_8,0,1,,0.0035650623885918,2,7
SHRINK_CAL,row_8,-0.127510648824313,1.12748133831418,5.6791135024986e-07,0.0035650623885918,2,7
SHRINK,row_8,0,1,,0,2,8
SHRINK_CAL,row_8,-0.138575354187169,1.13847915691466,4.85106708322794e-07,0,2,8
SHRINK,row_8,0,1,,0,2,9
SHRINK_CAL,row_8,-0.127768401393146,1.15236601193304,2.39843397562017e-07,0,2,9
SHRINK,row_8,0,1,,0.00147710487444609,2,10
SHRINK_CAL,row_8,-0.0930288052524657,1.18043829055694,6.51261640713494e-07,0.00147710487444609,2,10
SHRINK,group_2,0,1,,0.00167644593461861,2,11
SHRINK_CAL,row_8,-0.193267509664899,1.19602102695972,3.82733817963152e-08,0.00167644593461861,2,11
SHRINK,group_2,0,1,,0,2,12
SHRINK_CAL,row_8,-0.136257374578602,1.19230173252323,9.98405660199272e-07,0,2,12
SHRINK,row_8,0,1,,0,2,13
SHRINK_CAL,row_8,-0.151355867071037,1.10297965391057,9.1353449345119e-09,0,2,13
SHRINK,row_8,0,1,,0,2,14
SHRINK_CAL,row_8,-0.111216931480815,1.16300226885021,2.72185648013401e-08,0,2,14
SHRINK,row_8,0,1,,0.00637958532695375,2,15
SHRINK_CAL,row_8,-0.111995265213096,1.15681450646095,1.07016462592176e-06,0.00637958532695375,2,15
SHRINK,row_8,0,1,,0,2,16
SHRINK_CAL,row_8,-0.141266697793723,1.15446801043353,4.50007231620099e-07,0,2,16
SHRINK,row_8,0,1,,0,2,17
SHRINK_CAL,row_8,-0.148864996733285,1.13156711359399,3.95009110054547e-07,0,2,17
SHRINK,row_8,0,1,,0,2,18
SHRINK_CAL,row_8,-0.135146269173718,1.14004598502042,7.98915536976257e-07,0,2,18
SHRINK,row_8,0,1,,0.00619195046439629,2,19
SHRINK_CAL,row_8,-0.144424657258917,1.14469805434541,4.72877088925921e-07,0.00619195046439629,2,19
SHRINK,row_8,0,1,,0,3,1
SHRINK_CAL,row_8,-0.121362454976928,1.06129667591858,1.92490428255069e-07,0,3,1
SHRINK,row_8,0,1,,0.00357142857142857,3,2
SHRINK_CAL,row_8,-0.126535535562869,1.07544053615005,4.84968734038548e-08,0.00357142857142857,3,2
SHRINK,row_8,0,1,,0,3,4
SHRINK_CAL,row_8,-0.108780606522981,1.0880631665985,8.98328135758654e-08,0,3,4
SHRINK,row_8,0,1,,0,3,5
SHRINK_CAL,row_8,-0.115482895083713,1.08577506865461,1.14971345051626e-08,0,3,5
SHRINK,row_8,0,1,,0.0072463768115942,3,6
