Dropped,Model,MeanLogLoss,MeanDeltaVsMP,MeanChangeVsOriginal
1,SHRINK,0.576123787930795,-0.000437023024097094,0.00737371421609874
1,SHRINK_CAL,0.568436209448907,-0.00812460150598592,0.000774589350035872
2,SHRINK,0.577592574146971,-0.00225029865238996,0.00825318289913525
2,SHRINK_CAL,0.570300080548368,-0.00954279225099386,0.00110607455354663
3,SHRINK,0.570530260237733,-0.00181573175443731,0.00522976249189424
3,SHRINK_CAL,0.564561947849778,-0.0077840441423921,0.000491876595573386
4,SHRINK,0.571727581952917,-0.00252891459484271,0.00547928205047676
4,SHRINK_CAL,0.565385851163406,-0.00887064538435322,-0.000111126766413089
5,SHRINK,0.571890671198691,-0.00289226388217569,0.00595502078250572
5,SHRINK_CAL,0.565365408312791,-0.00941752676807516,-0.000744101754561148
6,SHRINK,0.57075025529072,-0.00341878005325536,0.00557971330782417
6,SHRINK_CAL,0.567040704338632,-0.00712833100534379,0.00138419546298552
7,SHRINK,0.571980125038935,-0.00246931309255747,0.00649701736014236
7,SHRINK_CAL,0.563352878552795,-0.0110965595786969,0.00148117990746023
8,SHRINK,0.569090621144789,-0.00209577511690459,0.00433643858354633
8,SHRINK_CAL,0.559952180487132,-0.0112342157745611,-0.000978557678759447
9,SHRINK,0.574253229089701,-0.00311916279021365,0.00674573039226794
9,SHRINK_CAL,0.567686010460431,-0.00968638141948366,0.00204572551919851
10,SHRINK,0.57895970121251,0.000108022432908383,0.0102153396550631
10,SHRINK_CAL,0.571897426533722,-0.00695425224588008,0.00681511822195909
11,SHRINK,0.57079145088317,-0.010463014366614,0.00622455403360327
11,SHRINK_CAL,0.56478825860023,-0.016466206649554,0.00210617168481593
12,SHRINK,0.543779078306355,-0.00877641662788102,-0.00733458673594684
12,SHRINK_CAL,0.542669203915057,-0.00988629101917849,-0.000641914174377975
13,SHRINK,0.573910547565932,-0.00402661295705429,0.00517343042433453
13,SHRINK_CAL,0.568076160074129,-0.00986100044885739,0.0030348816352375
14,SHRINK,0.57417143895014,-0.00222161615938566,0.00555987021292652
14,SHRINK_CAL,0.57223145279681,-0.00416160231271597,0.00432990870928748
15,SHRINK,0.561093685508579,-0.00070776357883758,0.00251637520526266
15,SHRINK_CAL,0.554807295095025,-0.00699415399239169,0.00144344257161061
16,SHRINK,0.570004918419303,-0.00262957107488187,0.00552957211056275
16,SHRINK_CAL,0.563198160018231,-0.00943632947595387,0.00229500462873781
17,SHRINK,0.575804092463191,-0.002602595285124,0.00724452227067354
17,SHRINK_CAL,0.567602137579217,-0.0108045501690979,0.00285290075266699
18,SHRINK,0.573877390681597,-0.00184472960711027,0.00719956470188529
18,SHRINK_CAL,0.565809695280545,-0.00991242500816165,0.00325322096185864
19,SHRINK,0.570199956009547,-0.00181885663685506,0.00714048990417897
19,SHRINK_CAL,0.561216982698578,-0.0108018299478238,0.00270814198988489
