Model,Lambda,InnerMeanGroupMAE,OuterConnGroup
LDHA_LDHB,100,9.1645312021401,1
LDHA_LDHB,30,9.17481918811174,1
LDHA_LDHB,10,9.27078192814583,1
L_conversion_4,100,9.2764657577744,1
L_conversion_4,30,9.29629184434767,1
GO_metabolism_128,100,9.3184236414445,1
LDHA_LDHB,3,9.3553792205712,1
GO_metabolism_128,30,9.41985290798013,1
LDHA_LDHB,1,9.45093207300629,1
LDHA_LDHB,0.3,9.54777522725068,1
LDHA_LDHB,0.1,9.58043227948971,1
L_conversion_4,10,9.59555816353221,1
GO_metabolism_128,10,9.63571192435876,1
L_conversion_4,3,10.0389532346958,1
GO_metabolism_128,3,10.1552671088648,1
L_conversion_4,1,10.3823766197002,1
L_conversion_4,0.3,10.765367422955,1
L_conversion_4,0.1,10.9051315509364,1
GO_metabolism_128,1,11.3828653890094,1
GO_metabolism_128,0.3,13.4650422911562,1
GO_metabolism_128,0.1,15.1363595501055,1
GO_metabolism_128,3,8.32942711430581,2
GO_metabolism_128,10,8.33802779859409,2
GO_metabolism_128,100,8.36215673675742,2
GO_metabolism_128,30,8.37144356270206,2
LDHA_LDHB,100,8.38289845538483,2
L_conversion_4,100,8.40614751509559,2
LDHA_LDHB,30,8.53247884493901,2
L_conversion_4,30,8.57339874569542,2
LDHA_LDHB,10,8.75257217086199,2
LDHA_LDHB,3,8.97216771989436,2
L_conversion_4,10,8.99563510204759,2
LDHA_LDHB,1,9.0797746405727,2
LDHA_LDHB,0.3,9.13397130962525,2
LDHA_LDHB,0.1,9.15097558213079,2
L_conversion_4,3,9.77548128551843,2
GO_metabolism_128,1,9.87671142502676,2
L_conversion_4,1,10.4611065717888,2
L_conversion_4,0.3,10.8805262942692,2
L_conversion_4,0.1,11.0362954926422,2
GO_metabolism_128,0.3,12.0028041996042,2
GO_metabolism_128,0.1,13.2599738595786,2
L_conversion_4,30,9.5397348381502,3
LDHA_LDHB,30,9.55397617511787,3
LDHA_LDHB,100,9.5679817227282,3
L_conversion_4,100,9.61313386276195,3
LDHA_LDHB,10,9.67227083250163,3
GO_metabolism_128,100,9.69514954848749,3
L_conversion_4,10,9.73723019495066,3
GO_metabolism_128,30,9.76869366916402,3
LDHA_LDHB,3,9.78116230146603,3
LDHA_LDHB,1,9.91496214568109,3
GO_metabolism_128,10,9.92371893132191,3
LDHA_LDHB,0.3,10.0162280887069,3
LDHA_LDHB,0.1,10.0476328933918,3
L_conversion_4,3,10.2539942537834,3
GO_metabolism_128,3,10.3131068954086,3
L_conversion_4,1,10.7830384395522,3
L_conversion_4,0.3,11.1413464136946,3
GO_metabolism_128,1,11.1933433474789,3
L_conversion_4,0.1,11.3193000249174,3
GO_metabolism_128,0.3,13.0677878172013,3
GO_metabolism_128,0.1,14.7143938038137,3
LDHA_LDHB,100,9.31279793713863,4
L_conversion_4,30,9.31430583563316,4
