OuterConnGroup,Model,Lambda,InnerMeanGroupMAE
1,LDHA_LDHB,100,9.1645312021401
2,GO_metabolism_128,3,8.32942711430581
3,L_conversion_4,30,9.5397348381502
4,LDHA_LDHB,100,9.31279793713863
5,L_conversion_4,30,8.33488692487856
6,L_conversion_4,30,9.19274968897917
7,LDHA_LDHB,30,8.79042685122072
8,LDHA_LDHB,30,9.22011661151191
9,L_conversion_4,30,9.31387519978999
10,LDHA_LDHB,100,8.74479423327453
11,LDHA_LDHB,100,8.48719515619611
12,LDHA_LDHB,10,8.86813935554345
13,LDHA_LDHB,3,9.44230009110647
14,L_conversion_4,3,8.75276687029175
15,LDHA_LDHB,30,9.24996366959172
