GroupID,PXD,ReferencePXD,ReferenceKey,ConnGroup
KLA31_01,PXD033146,PXD033146,tendon_nondiabetic,1
KLA31_02,PXD036307,PXD010154,GTEx_v8_Lung,2
KLA31_03,PXD046800,PXD046800,GSE181540_HS_input,3
KLA31_04,PXD046800,PXD046800,GSE181540_adjacent_NS_input,3
KLA31_05,PXD050470,PXD050470,GTEx_v8_Hippocampus,4
KLA31_06,PXD063047,PXD010154,GSE114691_control_placenta,2
KLA31_07,PXD064912,PXD066517,sperm_GroupI,5
KLA31_08,PXD066054,PXD066054,GSE132714_BPH,6
KLA31_09,PXD075377,PXD065775,TCGA_LIHC_normal,7
KLA31_10,PXD064038,PXD065830,TCGA_ESCA_ESCC,8
KLA31_11,PXD066054,PXD066054,TCGA_PRAD_primary,6
KLA31_12,PXD075377,PXD065775,TCGA_LIHC_primary,7
KLA31_13,PXD060185,PXD030304,MCF7_DMSO7d,9
KLA31_14,PXD028488,PXD030304,HCT116_control,9
KLA31_15,PXD053474,PXD030304,HCT116_control,9
KLA31_16,PXD066351,PXD066351,HCT116_control,9
KLA31_17,PXD028488,PXD028488,GSE163787_TALL104,9
KLA31_18,PXD050147,PXD050147,HepG2_DMSO24h,10
KLA31_19,PXD054919,PXD030304,GSE171750_A549_untreated,9
KLA31_20,PXD060185,PXD030304,MDAMB468_DMSO7d,9
KLA31_21,PXD060185,PXD030304,GSE283812_T47D_vehicle,9
KLA31_22,PXD063266,PXD022005,PC3M_DMSO,11
KLA31_23,PXD070007,PXD069969,GSE266884_MES28_vector_control,12
KLA31_24,PXD078013,PXD030304,RKO_DMSO,9
KLA31_25,PXD028488,PXD030304,GSE203529_HEK293T_WT,9
KLA31_26,PXD028737,PXD028737,GSE275256_HMC3_vehicle,13
KLA31_27,PXD058534,PXD072220,HK2_untreated,14
KLA31_28,PXD078736,PXD072220,HK2_untreated,14
KLA31_29,PXD060185,PXD002400,GSE103520_MCF10A_control,9
KLA31_30,PXD070007,PXD069969,GSE119834_NSC,12
KLA31_31,PXD073311,PXD073311,HUVEC_untreated,15
