Model,Tuning,InnerMeanGroupMAE,OuterConnGroup
Mechanism10_ridge,30,8.5375189958745,1
BalancedMedianBaseline,0,8.79603184506001,1
All16_ridge,30,8.83517092106107,1
All16_ridge,10,8.87344439731065,1
Mechanism10_ridge,100,9.00323930790281,1
GO6_knn,3,9.00582482029283,1
Mechanism10_ridge,10,9.03891593242005,1
All16_ridge,100,9.117027815267,1
GO6_huber,1,9.29779889272844,1
GO6_ridge,100,9.31411729978044,1
Core4_huber,1,9.32210081028874,1
GO6_huber,0.3,9.33009208631758,1
Core4_ridge,100,9.36143848711314,1
GO6_ridge,30,9.39668814519108,1
Core4_huber,0.3,9.40460342398434,1
GO6_huber,0.1,9.41001516252579,1
GO6_huber,0.03,9.4818190195536,1
Core4_ridge,30,9.52083581104028,1
GO6_ridge,10,9.52959453555631,1
GO6_huber,0.01,9.55887202695095,1
Core4_huber,0.1,9.59523880819219,1
MedianBaseline,0,9.62660119399993,1
GO6_ridge,3,9.66868661061203,1
Core4_ridge,10,9.76375000346012,1
Core4_huber,0.01,9.84198023657287,1
Core4_huber,0.03,9.92260491190649,1
Core4_ridge,3,10.0281365862418,1
GO6_ridge,1,10.1129284426252,1
All16_ridge,3,10.1789035920885,1
Mechanism10_ridge,0.1,10.192699844288,1
Core4_ridge,1,10.2466153838446,1
GO6_knn,5,10.2900904672914,1
Mechanism10_ridge,3,10.3029872241283,1
GO6_knn,7,10.4668987875216,1
Core4_ridge,0.3,10.5871052874479,1
Mechanism10_ridge,0.3,10.7935213249204,1
Core4_ridge,0.1,10.9652555461448,1
Mechanism10_ridge,1,10.9727364467691,1
All16_ridge,1,11.1888802499458,1
GO6_ridge,0.3,11.2988847179893,1
RNA128_knn,7,11.5257066901612,1
RNA128_knn,5,11.5564322292373,1
All16_ridge,0.3,11.6895012161427,1
All16_ridge,0.1,12.3515685164279,1
GO6_ridge,0.1,12.4114226853311,1
RNA128_knn,3,14.3152030443901,1
Mechanism10_ridge,30,7.69549109785296,2
All16_ridge,30,7.90570692175893,2
Mechanism10_ridge,100,8.08041051589127,2
BalancedMedianBaseline,0,8.11365449284002,2
All16_ridge,100,8.20297592924807,2
GO6_ridge,100,8.41376737245496,2
Core4_ridge,100,8.44954720591282,2
GO6_ridge,30,8.51717979373014,2
Core4_ridge,30,8.62158485339636,2
All16_ridge,10,8.64037911693868,2
GO6_huber,1,8.6434726076318,2
Core4_huber,1,8.6718923206958,2
GO6_huber,0.3,8.67586521508795,2
GO6_ridge,10,8.67737913975788,2
Core4_huber,0.3,8.76628977680887,2
GO6_huber,0.1,8.76831551836936,2
Core4_ridge,10,8.92226072380322,2
Core4_huber,0.1,8.98524308676574,2
Mechanism10_ridge,10,9.00027212395406,2
GO6_ridge,3,9.01248648891586,2
GO6_huber,0.03,9.05227928780895,2
Core4_huber,0.03,9.3946915380601,2
Core4_ridge,3,9.41674526040455,2
GO6_knn,7,9.45347498883854,2
MedianBaseline,0,9.47078812001653,2
Core4_huber,0.01,9.50854726997335,2
GO6_huber,0.01,9.79020615644021,2
Core4_ridge,1,9.82090085663256,2
GO6_knn,5,9.88574986825873,2
GO6_ridge,1,10.3346293529248,2
Core4_ridge,0.3,10.3536335714897,2
GO6_knn,3,10.59756208792,2
All16_ridge,3,10.862781839848,2
Core4_ridge,0.1,10.9578429025461,2
RNA128_knn,7,10.966838465392,2
Mechanism10_ridge,3,11.2904669745469,2
RNA128_knn,5,11.4645609936705,2
