ConnGroup,All16MAE_pp,BaselineMAE_pp,N,Scenario
1,6.3495828156396,8.9251014546733,1,original
2,17.1702398336264,18.4783843857532,2,original
3,0.494123298284301,2.6323087374485,2,original
4,5.9742408303607,8.1503153652316,1,original
5,17.7348074902318,18.9388643715091,1,original
6,7.06042896412465,4.02824726588565,2,original
7,10.7528231648107,10.4651859623794,2,original
8,4.7178508901215,7.5762320192426,1,original
9,7.57740095791331,8.75116079460431,9,original
10,17.897594456969,12.7690320721254,1,original
11,16.3935159653428,17.1477422975827,1,original
12,7.36444237660035,5.02095919084,2,original
13,2.5852095993577,0.248516445360099,1,original
14,8.3335586314825,4.6598114238772,1,original
15,6.8405850197984,3.3729217165897,1,original
1,6.3035224239913,8.9251014546733,1,scar_equal
2,17.144095017241,18.4783843857532,2,scar_equal
3,1.1077227759057,2.6323087374485,2,scar_equal
4,5.910531822757,8.1503153652316,1,scar_equal
5,17.6719357962163,18.9388643715091,1,scar_equal
6,7.09147682790985,4.02824726588565,2,scar_equal
7,10.6288138928016,10.4651859623794,2,scar_equal
8,4.5745265497391,7.5762320192426,1,scar_equal
9,7.03983189203418,8.75116079460431,9,scar_equal
10,17.9896622835191,12.7690320721254,1,scar_equal
11,16.3498464874056,17.1477422975827,1,scar_equal
12,7.40339289255725,5.02095919084,2,scar_equal
13,2.6642793852103,0.248516445360099,1,scar_equal
14,8.4102254976229,4.6598114238772,1,scar_equal
15,6.8996095100482,3.3729217165897,1,scar_equal
1,6.260553404752,8.9251014546733,1,scar_replace
2,17.1319841508961,18.4783843857532,2,scar_replace
3,1.72132225352705,2.6323087374485,2,scar_replace
4,5.8707874813491,8.1503153652316,1,scar_replace
5,17.5879004332302,18.9388643715091,1,scar_replace
6,7.1456470634088,4.02824726588565,2,scar_replace
7,10.6655900317785,10.4651859623794,2,scar_replace
8,4.4537752308987,7.5762320192426,1,scar_replace
9,7.03178807697465,8.75116079460431,9,scar_replace
10,18.024712359474,12.7690320721254,1,scar_replace
11,16.2910940294572,17.1477422975827,1,scar_replace
12,7.42317828356495,5.02095919084,2,scar_replace
13,2.7242107938763,0.248516445360099,1,scar_replace
