Scenario,Model,MaterialMAE_pp,ConnectedGroupMeanMAE_pp,MaterialRMSE_pp
original,All16_ridge,8.59670248555058,9.1497602863109,10.5476704954639
original,BalancedMedianBaseline,8.63568412150872,8.74431890020686,10.1371724753598
original,Mechanism10_ridge,9.37437638510047,10.0578498181134,10.7545012303758
original,SelectedWithFallback,10.1737308279063,9.71207172066222,12.4195663616932
scar_equal,All16_ridge,8.46012962848744,9.14596487033062,9.89347729447894
scar_equal,BalancedMedianBaseline,8.63568412150872,8.74431890020686,10.1371724753598
scar_equal,Mechanism10_ridge,8.67381876682261,9.25911290275405,9.87617828201033
scar_equal,SelectedWithFallback,10.9476094059098,10.7709130267878,13.187011269291
scar_replace,All16_ridge,8.5038911554772,9.18446173029259,9.89981737516414
scar_replace,BalancedMedianBaseline,8.63568412150872,8.74431890020686,10.1371724753598
scar_replace,Mechanism10_ridge,8.84543442330303,9.41828829845492,9.99442103603172
scar_replace,SelectedWithFallback,10.2078381241421,10.7234348791011,12.1945146354159
scar_tendon_equal,All16_ridge,8.47047395334668,9.15684407600593,9.90775704505736
scar_tendon_equal,BalancedMedianBaseline,8.63568412150872,8.74431890020686,10.1371724753598
scar_tendon_equal,Mechanism10_ridge,8.69413364999081,9.28064633171369,9.89840136639355
scar_tendon_equal,SelectedWithFallback,10.8461611727053,10.6616365956065,13.0858035291957
tendon_degenerative,All16_ridge,8.7297464025572,9.27111610000014,10.6400726712384
tendon_degenerative,BalancedMedianBaseline,8.63568412150872,8.74431890020686,10.1371724753598
tendon_degenerative,Mechanism10_ridge,9.11658897796684,9.88264770981659,10.6180442427559
tendon_degenerative,SelectedWithFallback,9.88942854455337,10.3939868293079,12.0739254387808
tendon_equal,All16_ridge,8.6109086464255,9.16369568175278,10.5749341635452
tendon_equal,BalancedMedianBaseline,8.63568412150872,8.74431890020686,10.1371724753598
tendon_equal,Mechanism10_ridge,9.19720959321015,10.0704063169132,10.6982855915615
tendon_equal,SelectedWithFallback,10.4849420545768,9.97514951938464,12.5494294506642
tendon_replace,All16_ridge,8.562910222989,9.11865916699922,10.5068439555508
tendon_replace,BalancedMedianBaseline,8.63568412150872,8.74431890020686,10.1371724753598
tendon_replace,Mechanism10_ridge,8.4305429730782,9.23484617143818,9.88123100755831
tendon_replace,SelectedWithFallback,10.8203641695779,10.5604533638435,13.1818058013326
