ReferenceKey,ConnGroup,ObservedPercent,Baseline,RNA,GroupIDs,Category,RNALabel
GSE103520_MCF10A_control,9,11.3246538541021,20.8251793868232,13.3921978996671,KLA31_29,normal_cells,MCF10A control
GSE114691_control_placenta,2,2.14805937125472,21.0736958321833,19.3465196861472,KLA31_06,normal_tissue,Placenta control
GSE119834_NSC,12,21.0736958321833,20.8251793868232,15.7232996411254,KLA31_30,normal_cells,NSC reference
GSE132714_BPH,6,24.8622842453177,20.8251793868232,16.9239769037958,KLA31_08,normal_tissue,BPH (medicated cohort)
GSE163787_TALL104,9,9.02517407605785,20.8251793868232,16.9058742705007,KLA31_17,cancer_cells,TALL-104
GSE171750_A549_untreated,9,27.7262180974478,20.8251793868232,21.0620277940221,KLA31_19,cancer_cells,A549 untreated
GSE181540_HS_input,3,15.9598723210214,20.8251793868232,17.7316686678242,KLA31_03,normal_tissue,Hypertrophic scar input
GSE181540_adjacent_NS_input,3,21.2244897959184,20.8251793868232,20.766747503568,KLA31_04,normal_tissue,Adjacent skin input
GSE203529_HEK293T_WT,9,5.68234746157429,20.8251793868232,21.3309108078779,KLA31_25,normal_cells,HEK293T WT
GSE266884_MES28_vector_control,12,30.6185813231431,20.8251793868232,21.1620995153485,KLA31_23,cancer_cells,MES28 vector control
GSE275256_HMC3_vehicle,13,20.8251793868232,21.0736958321833,18.1697292679139,KLA31_26,normal_cells,HMC3 vehicle
GSE283812_T47D_vehicle,9,26.5073947667804,20.8251793868232,22.8554355956057,KLA31_21,cancer_cells,T-47D vehicle
GTEx_v8_Hippocampus,4,12.9233804669517,21.0736958321833,18.8352592894545,KLA31_05,normal_tissue,Hippocampus (GTEx)
GTEx_v8_Lung,2,3.04256352160544,21.0736958321833,20.1130742607517,KLA31_02,normal_tissue,Lung (GTEx)
HCT116_control,9,14.9924287272798,20.8251793868232,18.6654454086747,KLA31_14;KLA31_15;KLA31_16,cancer_cells,HCT116 control
HK2_untreated,14,25.4849908107004,20.8251793868232,17.0839812335602,KLA31_27;KLA31_28,normal_cells,HK-2 untreated
HUVEC_untreated,15,24.1981011034129,20.8251793868232,17.2999779924971,KLA31_31,normal_cells,HUVEC untreated
HepG2_DMSO24h,10,33.5942114589486,20.8251793868232,15.5913761213882,KLA31_18,cancer_cells,HepG2 DMSO 24h
MCF7_DMSO7d,9,28.1703775411423,20.8251793868232,21.3101549478348,KLA31_13,cancer_cells,MCF7 DMSO 7d
MDAMB468_DMSO7d,9,29.5478723404255,20.8251793868232,22.0500897891709,KLA31_20,cancer_cells,MDA-MB-468 DMSO 7d
PC3M_DMSO,11,3.92595353460057,21.0736958321833,20.2751892618509,KLA31_22,cancer_cells,PC-3M DMSO
RKO_DMSO,9,28.65836791148,20.8251793868232,19.2393823807572,KLA31_24,cancer_cells,RKO DMSO
TCGA_ESCA_ESCC,8,13.4974638129407,21.0736958321833,18.063008439087,KLA31_10,cancer_tissue,ESCC (TCGA)
TCGA_LIHC_normal,7,33.0510468125147,20.8251793868232,20.6185037756895,KLA31_09,normal_tissue,Adjacent liver (TCGA)
TCGA_LIHC_primary,7,29.5296838858905,20.8251793868232,20.3327323787045,KLA31_12,cancer_tissue,HCC (TCGA)
TCGA_PRAD_primary,6,24.8445690601,20.8251793868232,18.72180960616,KLA31_11,cancer_tissue,Prostate cancer (TCGA)
sperm_GroupI,5,2.13483146067416,21.0736958321833,19.8380224952576,KLA31_07,normal_tissue,Sperm (group I)
tendon_nondiabetic,1,12.14859437751,21.0736958321833,18.4756832670992,KLA31_01,normal_tissue,Tendon (non-diabetic)
