ConnGroup,BaselineMAE,RNAMAE,N,Source
1,8.9251014546733,6.3270888895892,1,01  Torn tendon
2,18.4783843857532,17.1344855270194,2,02  Lung / placenta
3,2.6323087374485,1.1147693195766,2,03  Scar / adjacent skin
4,8.1503153652316,5.9118788225028,1,04  Hippocampus
5,18.9388643715091,17.7031910345834,1,05  Sperm
6,4.02824726588565,7.03053339773095,2,06  BPH / prostate cancer
7,10.4651859623794,10.8147472720056,2,07  Adjacent liver / HCC
8,7.5762320192426,4.5655446261463,1,08  ESCC
9,8.75116079460431,7.04032937973241,9,09  Shared cell lines (9)
10,12.7690320721254,18.0028353375604,1,10  HepG2
11,17.1477422975827,16.3492357272503,1,11  PC-3M
12,5.02095919084,7.40343899942625,2,12  NSC / MES28
13,0.248516445360099,2.6554501189093,1,13  HMC3
14,4.6598114238772,8.4010095771402,1,14  HK-2
15,3.3729217165897,6.8981231109158,1,15  HUVEC
