Ensembl,UniProt,Symbol,Comparison,RNAReference,RNATumor,RNADelta,KlaReferenceDetected,KlaTumorDetected,ProteinExactGroup,ProteinBPHN,ProteinPCaN,ProteinBPHMedian,ProteinPCaMedian,ProteinLog2Ratio
ENSG00000134333,P00338,LDHA,HCC vs adjacent liver,7.77518671132648,7.70274799575294,-0.07243871557354,TRUE,TRUE,,,,,,
ENSG00000111716,P07195,LDHB,HCC vs adjacent liver,0.253689505261714,0.518180988320561,0.264491483058847,TRUE,TRUE,,,,,,
ENSG00000155380,P53985,SLC16A1,HCC vs adjacent liver,5.17912108199554,4.96782012326458,-0.211300958730961,FALSE,FALSE,,,,,,
ENSG00000141526,O15427,SLC16A3,HCC vs adjacent liver,0.49936754331147,1.35148118356454,0.85211364025307,FALSE,FALSE,,,,,,
ENSG00000060762,Q9Y5U8,MPC1,HCC vs adjacent liver,7.83567385534912,6.77094468385692,-1.0647291714922,TRUE,TRUE,,,,,,
ENSG00000143158,O95563,MPC2,HCC vs adjacent liver,6.61858086315451,7.68498120779144,1.06640034463693,FALSE,FALSE,,,,,,
ENSG00000131828,P08559,PDHA1,HCC vs adjacent liver,4.80839603397605,5.37245902568793,0.564062991711881,FALSE,FALSE,,,,,,
ENSG00000152256,Q15118,PDK1,HCC vs adjacent liver,0.864753204700577,1.53665355212723,0.671900347426653,FALSE,FALSE,,,,,,
ENSG00000173599,P11498,PC,HCC vs adjacent liver,6.61891186660962,6.17966822748618,-0.439243639123441,TRUE,TRUE,,,,,,
ENSG00000124253,P35558,PCK1,HCC vs adjacent liver,9.54832578913509,7.24371276457511,-2.30461302455998,TRUE,TRUE,,,,,,
ENSG00000100889,Q16822,PCK2,HCC vs adjacent liver,8.64872426409555,7.69440522547544,-0.954319038620111,TRUE,TRUE,,,,,,
ENSG00000165140,P09467,FBP1,HCC vs adjacent liver,8.69282813668853,6.69209646123706,-2.00073167545147,TRUE,TRUE,,,,,,
ENSG00000131482,P35575,G6PC1,HCC vs adjacent liver,8.59039095956627,7.65452623457878,-0.935864724987489,FALSE,FALSE,,,,,,
ENSG00000131069,Q9NR19,ACSS2,HCC vs adjacent liver,5.09006750719986,5.500062119608,0.40999461240814,TRUE,TRUE,,,,,,
ENSG00000163541,P53597,SUCLG1,HCC vs adjacent liver,5.82118168792603,6.22356882138955,0.40238713346352,TRUE,TRUE,,,,,,
ENSG00000172340,Q96I99,SUCLG2,HCC vs adjacent liver,7.17857309358914,6.69072756222455,-0.48784553136459,TRUE,TRUE,,,,,,
ENSG00000090861,P49588,AARS1,HCC vs adjacent liver,4.70181603620492,5.42205619465121,0.72024015844629,TRUE,TRUE,,,,,,
ENSG00000124608,Q5JTZ9,AARS2,HCC vs adjacent liver,2.26336657989046,3.58928153229041,1.32591495239995,FALSE,FALSE,,,,,,
ENSG00000124767,Q04760,GLO1,HCC vs adjacent liver,6.45082264282464,7.06465846823196,0.61383582540732,TRUE,TRUE,,,,,,
ENSG00000063854,Q16775,HAGH,HCC vs adjacent liver,6.18313877551412,6.09438370867843,-0.0887550668356898,TRUE,TRUE,,,,,,
ENSG00000166816,Q86WU2,LDHD,HCC vs adjacent liver,7.13458050580766,6.33452831469688,-0.800052191110781,TRUE,TRUE,,,,,,
ENSG00000134333,P00338,LDHA,Prostate cancer vs BPH,6.13710097318551,7.36829159782091,1.2311906246354,TRUE,TRUE,TRUE,5,5,10801.373046875,11171.51171875,0.0486097069263869
ENSG00000111716,P07195,LDHB,Prostate cancer vs BPH,7.15792359860909,2.47250610816122,-4.68541749044787,TRUE,TRUE,TRUE,5,5,12043.23046875,5370.1923828125,-1.16517675400615
ENSG00000155380,P53985,SLC16A1,Prostate cancer vs BPH,3.53823889812383,4.92233363335415,1.38409473523032,FALSE,FALSE,TRUE,5,5,429.134613037109,101.427864074707,-2.08097622903406
ENSG00000141526,O15427,SLC16A3,Prostate cancer vs BPH,3.10958260529384,1.80224300350708,-1.30733960178676,FALSE,FALSE,TRUE,5,5,69.2672958374024,59.3032684326172,-0.224062733328633
ENSG00000060762,Q9Y5U8,MPC1,Prostate cancer vs BPH,5.40458147168889,6.03083580195406,0.62625433026517,FALSE,FALSE,FALSE,0,0,,,
ENSG00000143158,O95563,MPC2,Prostate cancer vs BPH,5.55612746688412,7.86920523582001,2.31307776893589,FALSE,FALSE,TRUE,5,5,211.346694946289,187.029769897461,-0.176343626577218
ENSG00000131828,P08559,PDHA1,Prostate cancer vs BPH,5.09594697369204,5.12022790172809,0.0242809280360499,TRUE,TRUE,TRUE,5,5,2539.8681640625,4306.51171875,0.761766143552864
ENSG00000152256,Q15118,PDK1,Prostate cancer vs BPH,1.75440776781823,1.94760366322166,0.19319589540343,FALSE,FALSE,TRUE,5,5,59.9688453674316,27.6725120544434,-1.11575958078476
ENSG00000173599,P11498,PC,Prostate cancer vs BPH,3.98103328043858,4.34683678972363,0.36580350928505,FALSE,FALSE,TRUE,5,5,238.701065063477,419.300231933594,0.81277862458891
ENSG00000124253,P35558,PCK1,Prostate cancer vs BPH,-0.770907956695156,-0.892316949117944,-0.121408992422788,FALSE,FALSE,FALSE,0,0,,,
ENSG00000100889,Q16822,PCK2,Prostate cancer vs BPH,3.79183122112325,4.50625302581232,0.71442180468907,FALSE,FALSE,TRUE,5,5,333.013366699219,462.618408203125,0.474242587618589
ENSG00000165140,P09467,FBP1,Prostate cancer vs BPH,4.69061418677689,6.46168814747195,1.77107396069506,TRUE,TRUE,TRUE,5,5,161.081939697266,202.688430786133,0.331468993868981
ENSG00000131482,P35575,G6PC1,Prostate cancer vs BPH,-0.952225287202149,-0.965906907556654,-0.0136816203545049,FALSE,FALSE,FALSE,0,0,,,
ENSG00000131069,Q9NR19,ACSS2,Prostate cancer vs BPH,4.45068704837023,4.67581474780412,0.22512769943389,FALSE,FALSE,TRUE,5,5,286.283355712891,252.956008911133,-0.178557285193436
ENSG00000163541,P53597,SUCLG1,Prostate cancer vs BPH,5.10842672501082,5.96673426267572,0.8583075376649,TRUE,TRUE,TRUE,5,5,371.730316162109,425.590637207031,0.195210061766266
ENSG00000172340,Q96I99,SUCLG2,Prostate cancer vs BPH,5.45836335170562,6.61267853978256,1.15431518807694,TRUE,TRUE,TRUE,5,5,1708.26025390625,2375.59375,0.475760355449016
ENSG00000090861,P49588,AARS1,Prostate cancer vs BPH,6.06803759510632,5.94752837421981,-0.12050922088651,TRUE,TRUE,TRUE,5,5,978.39013671875,881.207336425781,-0.150928353799323
ENSG00000124608,Q5JTZ9,AARS2,Prostate cancer vs BPH,4.47103503468492,4.29858300192289,-0.17245203276203,FALSE,FALSE,TRUE,5,5,113.628608703613,157.403121948242,0.470138042326293
ENSG00000124767,Q04760,GLO1,Prostate cancer vs BPH,6.9469918573841,9.04975159183875,2.10275973445465,TRUE,TRUE,TRUE,5,5,3343.841796875,3553.32934570313,0.0876648206822583
ENSG00000063854,Q16775,HAGH,Prostate cancer vs BPH,4.06240255197081,4.8185201427434,0.75611759077259,TRUE,TRUE,TRUE,5,5,886.275390625,842.76708984375,-0.0726210764205505
ENSG00000166816,Q86WU2,LDHD,Prostate cancer vs BPH,4.26609775557128,4.64959773512751,0.38349997955623,FALSE,FALSE,TRUE,5,5,60.5256767272949,56.8017272949219,-0.0916125032473189
