RNABin,MeanRNA,Observed,Fitted,N,Stage
10,8.40224537517844,0.886075949367089,0.951124420221927,158,RNA → ordinary protein
05,3.45241066295512,0.683544303797468,0.634662743720422,158,RNA → ordinary protein
08,5.61839082457397,0.848101265822785,0.818186815779111,158,RNA → ordinary protein
03,1.11079967947501,0.379746835443038,0.352208572964407,158,RNA → ordinary protein
07,4.84457693576074,0.765822784810127,0.744523542550197,158,RNA → ordinary protein
09,6.51433611775266,0.879746835443038,0.874088785494982,158,RNA → ordinary protein
06,4.19487059883851,0.70253164556962,0.716035147183356,158,RNA → ordinary protein
02,-0.463771014367095,0.158227848101266,0.176450831383073,158,RNA → ordinary protein
01,-0.987479832786116,0.0691823899371069,0.114017580402251,159,RNA → ordinary protein
04,2.43795462068298,0.5,0.491397651563372,158,RNA → ordinary protein
06,5.17394784388328,0.161290322580645,0.170368052269735,93,RNA + ordinary protein → Kla
02,2.50193839604413,0.0645161290322581,0.093625073254231,93,RNA + ordinary protein → Kla
07,5.7814525396728,0.184782608695652,0.193900531503456,92,RNA + ordinary protein → Kla
01,0.495117038650287,0.0860215053763441,0.0503899021053951,93,RNA + ordinary protein → Kla
05,4.63452033704787,0.0860215053763441,0.154325254079307,93,RNA + ordinary protein → Kla
03,3.46602151168514,0.129032258064516,0.113721060790124,93,RNA + ordinary protein → Kla
08,6.32418134937282,0.225806451612903,0.215723784721205,93,RNA + ordinary protein → Kla
04,4.11419759635963,0.152173913043478,0.136882943397758,92,RNA + ordinary protein → Kla
10,8.98915680951292,0.440860215053763,0.400550320977864,93,RNA + ordinary protein → Kla
09,7.18105499110681,0.268817204301075,0.269768813190161,93,RNA + ordinary protein → Kla
