Model,GroupID,Ensembl,ConnGroup,Observed,InSample,Heldout
Protein_depth,KLA31_01,ENSG00000004799,1,0,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000005882,1,0,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000060762,1,1,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000063854,1,1,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000067992,1,1,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000068976,1,1,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000079739,1,1,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000090861,1,1,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000091140,1,1,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000100156,1,0,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000100504,1,1,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000100889,1,1,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000100994,1,1,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000111716,1,1,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000115159,1,1,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000118596,1,0,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000124253,1,0,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000124608,1,0,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000124767,1,1,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000130957,1,1,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000131069,1,0,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000131482,1,0,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000131828,1,1,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000134333,1,1,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000136872,1,0,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000138030,1,0,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000141349,1,0,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000141526,1,0,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000143158,1,0,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000148942,1,0,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000149476,1,1,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000150768,1,1,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000152256,1,0,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000155380,1,1,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000162688,1,1,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000163541,1,1,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000164951,1,1,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000165140,1,1,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000166123,1,0,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000166796,1,0,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000166816,1,0,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000167588,1,1,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000167701,1,0,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000168291,1,1,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000170571,1,0,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000172270,1,1,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000172340,1,1,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000172840,1,0,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000173599,1,1,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000198814,1,0,0.51261866248653,0.510727063847278
Protein_depth,KLA31_01,ENSG00000256870,1,0,0.51261866248653,0.510727063847278
Protein_depth,KLA31_02,ENSG00000004799,2,0,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000005882,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000060762,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000063854,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000067992,2,0,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000068976,2,0,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000079739,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000090861,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000091140,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000100156,2,0,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000100504,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000100889,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000100994,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000111716,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000115159,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000118596,2,0,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000124253,2,0,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000124608,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000124767,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000130957,2,0,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000131069,2,1,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000131482,2,0,0.770983302267622,0.800275316887556
Protein_depth,KLA31_02,ENSG00000131828,2,1,0.770983302267622,0.800275316887556
