Model,Tuning,InnerMeanGroupMAE,OuterConnGroup
Mechanism10_ridge,30,8.50862701041603,1
BalancedMedianBaseline,0,8.79603184506001,1
All16_ridge,30,8.81906106652849,1
Mechanism10_ridge,100,8.99483273432227,1
All16_ridge,10,9.01843004914225,1
All16_ridge,100,9.11299128765686,1
Mechanism10_ridge,10,9.25408318389042,1
GO6_knn,3,9.28815049260155,1
GO6_huber,1,9.3010882763178,1
GO6_ridge,100,9.31753604657846,1
Core4_huber,1,9.32267678164166,1
GO6_huber,0.3,9.34019405050119,1
Core4_ridge,100,9.36114424506091,1
GO6_ridge,30,9.40361522804223,1
Core4_huber,0.3,9.40624228314024,1
GO6_huber,0.1,9.43566855269912,1
Core4_ridge,30,9.51838936931567,1
GO6_ridge,10,9.53395495020851,1
GO6_huber,0.01,9.54033746097547,1
GO6_huber,0.03,9.54429017983356,1
Core4_huber,0.1,9.5987393075668,1
MedianBaseline,0,9.62660119399993,1
GO6_ridge,3,9.64239060657181,1
Core4_ridge,10,9.75218466952807,1
Core4_huber,0.01,9.80358381700629,1
Core4_huber,0.03,9.92598501812664,1
Core4_ridge,3,9.99108375844068,1
GO6_ridge,1,10.0118122509349,1
GO6_knn,5,10.115587777889,1
Core4_ridge,1,10.1766505080893,1
GO6_knn,7,10.2022796973284,1
All16_ridge,3,10.4508195657261,1
Core4_ridge,0.3,10.5281351732087,1
Mechanism10_ridge,3,10.7334357979356,1
Core4_ridge,0.1,10.9433628431176,1
GO6_ridge,0.3,11.2180811130574,1
RNA128_knn,7,11.5311348406651,1
RNA128_knn,5,11.6829889383815,1
Mechanism10_ridge,0.1,11.7275519455711,1
Mechanism10_ridge,1,11.8204049520715,1
All16_ridge,1,11.8459060123169,1
Mechanism10_ridge,0.3,12.1153173268085,1
GO6_ridge,0.1,12.5147770390052,1
All16_ridge,0.3,12.8338882987149,1
All16_ridge,0.1,13.6753040960738,1
RNA128_knn,3,13.9978924465658,1
Mechanism10_ridge,30,7.73375923518825,2
All16_ridge,30,7.89720587745805,2
Mechanism10_ridge,100,8.07773901207357,2
BalancedMedianBaseline,0,8.11365449284002,2
All16_ridge,100,8.20115577849193,2
GO6_ridge,100,8.41338462786655,2
Core4_ridge,100,8.44522228147504,2
GO6_ridge,30,8.514495900166,2
Core4_ridge,30,8.608500708694,2
GO6_huber,1,8.64468228843879,2
GO6_ridge,10,8.66626868316527,2
Core4_huber,1,8.6703543087618,2
GO6_huber,0.3,8.67943855861929,2
All16_ridge,10,8.73454917748847,2
Core4_huber,0.3,8.76125517894533,2
GO6_huber,0.1,8.76826410038254,2
Core4_ridge,10,8.89091538414304,2
Core4_huber,0.1,8.97055799345727,2
GO6_ridge,3,8.98141872390891,2
GO6_huber,0.03,9.02868174481572,2
Mechanism10_ridge,10,9.15175411565527,2
Core4_huber,0.03,9.3373044531971,2
Core4_ridge,3,9.35301718003169,2
GO6_knn,7,9.36414862665414,2
Core4_huber,0.01,9.3918994486093,2
MedianBaseline,0,9.47078812001653,2
GO6_knn,5,9.48377139723905,2
GO6_huber,0.01,9.67428608531292,2
Core4_ridge,1,9.73467086038651,2
Core4_ridge,0.3,10.2480805732598,2
GO6_ridge,1,10.3139467289413,2
GO6_knn,3,10.383701838319,2
Core4_ridge,0.1,10.8160347457114,2
All16_ridge,3,11.1350063834657,2
RNA128_knn,7,11.1699002693673,2
RNA128_knn,3,11.3678766386976,2
Mechanism10_ridge,3,11.6732382485044,2
RNA128_knn,5,11.7148899857921,2
GO6_ridge,0.3,12.6041326012612,2
Mechanism10_ridge,1,13.5397975706419,2
Mechanism10_ridge,0.1,13.7697223465979,2
Mechanism10_ridge,0.3,13.7888327716139,2
All16_ridge,1,14.0239853433593,2
GO6_ridge,0.1,15.3160205924442,2
All16_ridge,0.3,15.4312650992328,2
All16_ridge,0.1,16.8630617214232,2
Mechanism10_ridge,0.1,8.90605025373014,3
Mechanism10_ridge,30,9.01374846834733,3
All16_ridge,10,9.07242634758232,3
BalancedMedianBaseline,0,9.1808910546896,3
All16_ridge,30,9.25866802494628,3
Mechanism10_ridge,10,9.27136075663153,3
Mechanism10_ridge,0.3,9.28851487678782,3
Mechanism10_ridge,100,9.4263678247218,3
All16_ridge,100,9.52316107111331,3
Core4_huber,0.01,9.68583805245294,3
GO6_ridge,100,9.69202305042416,3
GO6_ridge,3,9.6994222757268,3
Core4_ridge,100,9.69991272881717,3
GO6_ridge,30,9.73231236191357,3
GO6_ridge,10,9.74569350682615,3
GO6_huber,0.01,9.75067958730626,3
Core4_ridge,30,9.75591350618351,3
Core4_ridge,3,9.78834128082819,3
Core4_ridge,10,9.79837425340763,3
GO6_huber,1,9.91410086807948,3
Core4_huber,1,9.91932845924455,3
GO6_huber,0.3,9.94252232510246,3
Core4_huber,0.3,9.95761263774962,3
GO6_ridge,1,9.96173307246243,3
GO6_huber,0.1,9.99807120691715,3
GO6_huber,0.03,10.0032712239972,3
Core4_huber,0.1,10.0307365554663,3
Core4_huber,0.03,10.0337100108393,3
Core4_ridge,1,10.1457593445709,3
All16_ridge,3,10.2269656645754,3
Mechanism10_ridge,3,10.2348672230493,3
Mechanism10_ridge,1,10.4391036733353,3
Core4_ridge,0.3,10.6197417190935,3
MedianBaseline,0,10.6754536055308,3
RNA128_knn,5,10.7356687926493,3
GO6_knn,5,10.7436080214665,3
Core4_ridge,0.1,11.1125069485499,3
GO6_knn,7,11.2588622963468,3
All16_ridge,1,11.3052548274649,3
GO6_ridge,0.3,11.605618933397,3
GO6_knn,3,11.8381247438599,3
All16_ridge,0.3,11.9188467045538,3
All16_ridge,0.1,12.0124496504971,3
RNA128_knn,7,12.1804555647599,3
GO6_ridge,0.1,13.3929726743186,3
RNA128_knn,3,15.0270485442341,3
Mechanism10_ridge,30,8.68577138439158,4
All16_ridge,10,8.72570197284927,4
BalancedMedianBaseline,0,8.85137370859156,4
Core4_huber,0.01,8.90138293723122,4
All16_ridge,30,8.92746580411769,4
Mechanism10_ridge,10,8.94546547531626,4
Mechanism10_ridge,100,9.10320095808564,4
GO6_huber,0.01,9.10736625898381,4
GO6_knn,7,9.12669188514337,4
All16_ridge,100,9.19780493444422,4
GO6_ridge,3,9.2783573867006,4
Core4_huber,0.03,9.33776556068993,4
GO6_huber,1,9.35576393388357,4
Core4_huber,1,9.35972879148235,4
Core4_ridge,100,9.36026914970897,4
GO6_ridge,100,9.36315202264425,4
Core4_ridge,3,9.36949575165903,4
GO6_ridge,10,9.3817906827791,4
GO6_huber,0.03,9.38261703843025,4
GO6_huber,0.3,9.38639049047324,4
Core4_huber,0.3,9.39152235166908,4
Core4_ridge,30,9.39512800092369,4
GO6_ridge,30,9.3961291647146,4
Core4_ridge,10,9.40220482747132,4
GO6_huber,0.1,9.43869441737064,4
Core4_huber,0.1,9.44319330224974,4
MedianBaseline,0,9.68194305753148,4
GO6_ridge,1,9.75889915297723,4
Core4_ridge,1,9.82219041249824,4
All16_ridge,3,10.0152213682584,4
Mechanism10_ridge,3,10.2081887101854,4
GO6_knn,5,10.4033319038191,4
Core4_ridge,0.3,10.4545287567268,4
Core4_ridge,0.1,11.0847701254155,4
Mechanism10_ridge,1,11.2828598937807,4
GO6_knn,3,11.322963271043,4
RNA128_knn,7,11.5731625423808,4
All16_ridge,1,11.6010803010405,4
GO6_ridge,0.3,11.6511785321244,4
Mechanism10_ridge,0.1,11.7208563156486,4
Mechanism10_ridge,0.3,11.7383631340749,4
RNA128_knn,5,12.1993674755791,4
All16_ridge,0.3,13.324283965978,4
RNA128_knn,3,13.6196958099663,4
