Model,MaterialMAE_pp,MaterialRMSE_pp,ConnectedGroupMeanMAE_pp
All16_ridge,8.46012962848744,9.89347729447894,9.14596487033062
BalancedMedianBaseline,8.63568412150872,10.1371724753598,8.74431890020686
Mechanism10_ridge,8.67381876682261,9.87617828201033,9.25911290275405
MedianBaseline,8.81826881007582,10.3978300121702,8.92648144336761
Core4_huber,8.99451026334065,11.1778983762457,9.91143564747245
GO6_knn,9.55456078057099,11.3153663544584,10.725161009013
GO6_huber,9.85530149746677,11.6661178446118,10.5811513204757
GO6_ridge,10.0032104836502,12.2988671042409,10.4137294928374
RNA128_knn,10.059631751744,11.6452606188676,10.9137522187233
Core4_ridge,10.6563447377623,12.9170721797565,10.3526430280281
SelectedWithFallback,10.9476094059098,13.187011269291,10.7709130267878
