Model,Tuning,InnerMeanGroupMAE,OuterConnGroup
Mechanism10_ridge,30,8.55789302586609,1
BalancedMedianBaseline,0,8.79603184506001,1
All16_ridge,30,8.85400139967841,1
Mechanism10_ridge,100,9.01241332608616,1
All16_ridge,10,9.03000015646914,1
GO6_knn,3,9.07646591299383,1
All16_ridge,100,9.12563117997461,1
Mechanism10_ridge,10,9.2725062430249,1
GO6_huber,1,9.30482737571538,1
GO6_ridge,100,9.32164524689657,1
Core4_huber,1,9.32257651265029,1
GO6_huber,0.3,9.35160118586612,1
Core4_ridge,100,9.35958820445344,1
Core4_huber,0.3,9.40568311190117,1
GO6_ridge,30,9.41256093801919,1
GO6_huber,0.1,9.46388956364709,1
Core4_ridge,30,9.5122861199853,1
GO6_ridge,10,9.54411283851369,1
GO6_huber,0.01,9.564393770887,1
Core4_huber,0.1,9.59578421380133,1
GO6_huber,0.03,9.61751493651527,1
MedianBaseline,0,9.62660119399993,1
GO6_ridge,3,9.63754114370624,1
Core4_ridge,10,9.73272940976673,1
Core4_huber,0.01,9.76129983176015,1
GO6_ridge,1,9.87141349597881,1
Core4_huber,0.03,9.91288104948397,1
Core4_ridge,3,9.94003406458847,1
Core4_ridge,1,10.0858898116998,1
GO6_knn,7,10.1650692451795,1
GO6_knn,5,10.3940065973219,1
Core4_ridge,0.3,10.4851547059487,1
All16_ridge,3,10.499898389605,1
Mechanism10_ridge,3,10.7790029008097,1
Core4_ridge,0.1,10.8716601941172,1
GO6_ridge,0.3,11.0004857016643,1
RNA128_knn,7,11.1835207800675,1
Mechanism10_ridge,0.1,11.8960234656124,1
Mechanism10_ridge,1,11.9018213815661,1
RNA128_knn,5,11.9160374538655,1
All16_ridge,1,11.9534222354321,1
Mechanism10_ridge,0.3,12.2827484634744,1
GO6_ridge,0.1,12.3112197964269,1
All16_ridge,0.3,13.1146741814617,1
RNA128_knn,3,13.2255838616259,1
All16_ridge,0.1,14.2158578424443,1
Mechanism10_ridge,30,7.74312593055599,2
All16_ridge,30,7.93696557563472,2
Mechanism10_ridge,100,8.09937586935605,2
BalancedMedianBaseline,0,8.11365449284002,2
All16_ridge,100,8.2148574188438,2
GO6_ridge,100,8.41367759210417,2
Core4_ridge,100,8.44085528495443,2
GO6_ridge,30,8.5141457204613,2
Core4_ridge,30,8.59538017854489,2
GO6_huber,1,8.64631641188095,2
GO6_ridge,10,8.66190792855886,2
Core4_huber,1,8.66843012214042,2
GO6_huber,0.3,8.68435290915271,2
All16_ridge,10,8.69477684302493,2
Core4_huber,0.3,8.75493117615993,2
GO6_huber,0.1,8.76971883051332,2
Core4_ridge,10,8.85974522217521,2
GO6_ridge,3,8.94514481111266,2
Core4_huber,0.1,8.95208519721487,2
GO6_huber,0.03,9.02163484256991,2
GO6_knn,7,9.04535748119355,2
Mechanism10_ridge,10,9.10849724639064,2
Core4_huber,0.03,9.27830764882738,2
Core4_huber,0.01,9.2861236563825,2
Core4_ridge,3,9.29001336949755,2
GO6_knn,5,9.40953758533142,2
MedianBaseline,0,9.47078812001653,2
GO6_huber,0.01,9.51482516002407,2
Core4_ridge,1,9.64176373905452,2
GO6_knn,3,10.0967561202665,2
Core4_ridge,0.3,10.0980587717076,2
GO6_ridge,1,10.2020212231134,2
Core4_ridge,0.1,10.5850089059842,2
All16_ridge,3,11.0458754651097,2
RNA128_knn,7,11.0819571083644,2
RNA128_knn,5,11.446597394927,2
Mechanism10_ridge,3,11.5776303846151,2
RNA128_knn,3,12.0037632047188,2
GO6_ridge,0.3,12.4128991957498,2
Mechanism10_ridge,1,13.6227459443843,2
Mechanism10_ridge,0.3,13.891813677973,2
Mechanism10_ridge,0.1,13.9352124939442,2
All16_ridge,1,13.9771597583768,2
GO6_ridge,0.1,14.9608084466772,2
All16_ridge,0.3,15.371587816154,2
All16_ridge,0.1,16.6487207753284,2
Mechanism10_ridge,0.1,8.90605025373014,3
Mechanism10_ridge,30,9.01374846834733,3
All16_ridge,10,9.07242634758232,3
BalancedMedianBaseline,0,9.1808910546896,3
All16_ridge,30,9.25866802494628,3
Mechanism10_ridge,10,9.27136075663153,3
Mechanism10_ridge,0.3,9.28851487678782,3
Mechanism10_ridge,100,9.4263678247218,3
All16_ridge,100,9.52316107111331,3
Core4_huber,0.01,9.68583805245294,3
GO6_ridge,100,9.69202305042416,3
GO6_ridge,3,9.6994222757268,3
Core4_ridge,100,9.69991272881717,3
GO6_ridge,30,9.73231236191357,3
GO6_ridge,10,9.74569350682615,3
GO6_huber,0.01,9.75067958730626,3
Core4_ridge,30,9.75591350618351,3
Core4_ridge,3,9.78834128082819,3
Core4_ridge,10,9.79837425340763,3
GO6_huber,1,9.91410086807948,3
Core4_huber,1,9.91932845924455,3
GO6_huber,0.3,9.94252232510246,3
Core4_huber,0.3,9.95761263774962,3
GO6_ridge,1,9.96173307246243,3
GO6_huber,0.1,9.99807120691715,3
GO6_huber,0.03,10.0032712239972,3
Core4_huber,0.1,10.0307365554663,3
Core4_huber,0.03,10.0337100108393,3
Core4_ridge,1,10.1457593445709,3
All16_ridge,3,10.2269656645754,3
Mechanism10_ridge,3,10.2348672230493,3
Mechanism10_ridge,1,10.4391036733353,3
Core4_ridge,0.3,10.6197417190935,3
MedianBaseline,0,10.6754536055308,3
RNA128_knn,5,10.7356687926493,3
GO6_knn,5,10.7436080214665,3
Core4_ridge,0.1,11.1125069485499,3
GO6_knn,7,11.2588622963468,3
All16_ridge,1,11.3052548274649,3
GO6_ridge,0.3,11.605618933397,3
GO6_knn,3,11.8381247438599,3
All16_ridge,0.3,11.9188467045538,3
All16_ridge,0.1,12.0124496504971,3
RNA128_knn,7,12.1804555647599,3
GO6_ridge,0.1,13.3929726743186,3
RNA128_knn,3,15.0270485442341,3
Mechanism10_ridge,30,8.72956830885275,4
All16_ridge,10,8.74147091239223,4
Core4_huber,0.01,8.83095853023371,4
BalancedMedianBaseline,0,8.85137370859156,4
All16_ridge,30,8.95395654232341,4
Mechanism10_ridge,10,8.97815737864751,4
GO6_huber,0.01,9.02761678264916,4
GO6_knn,7,9.11176250168146,4
Mechanism10_ridge,100,9.11870439685235,4
All16_ridge,100,9.20730649452139,4
GO6_ridge,3,9.25572613729674,4
Core4_huber,0.03,9.27042377056416,4
Core4_ridge,3,9.32403802633484,4
GO6_huber,1,9.3550817375603,4
GO6_huber,0.03,9.35559288604479,4
Core4_ridge,100,9.35574569501457,4
Core4_huber,1,9.35733072966596,4
GO6_ridge,100,9.36263070323425,4
Core4_ridge,10,9.37274603492156,4
