Model,MaterialMAE_pp,MaterialRMSE_pp,ConnectedGroupMeanMAE_pp
All16_ridge,8.5038911554772,9.89981737516414,9.18446173029259
BalancedMedianBaseline,8.63568412150872,10.1371724753598,8.74431890020686
MedianBaseline,8.81826881007582,10.3978300121702,8.92648144336761
Mechanism10_ridge,8.84543442330303,9.99442103603172,9.41828829845492
Core4_huber,8.98841956339279,11.1350013015913,9.89800385285243
GO6_knn,9.70304958537628,11.5875654541622,10.6555326859671
Core4_ridge,9.76120375269217,11.8176008427167,10.1751015563726
RNA128_knn,9.86107968788549,11.5352016429498,10.817513314093
GO6_huber,9.88386810853769,11.6396989394576,10.5973064453072
GO6_ridge,9.91676308062832,12.1820293230975,10.3850960926625
SelectedWithFallback,10.2078381241421,12.1945146354159,10.7234348791011
