Model,Tuning,InnerMeanGroupMAE,OuterConnGroup
Mechanism10_ridge,30,8.5375189958745,1
Mechanism10_ridge,30,7.96441575525194,2
Mechanism10_ridge,0.1,8.35911188547799,3
Mechanism10_ridge,10,8.548067828011,4
GO6_huber,0.01,7.20419623600465,5
GO6_huber,0.01,7.73903910449217,6
Core4_huber,0.01,8.63889460177567,7
Mechanism10_ridge,10,8.59917746545322,8
Core4_ridge,0.3,7.61052530018692,9
Mechanism10_ridge,3,7.47237530652453,10
All16_ridge,10,7.74620152786666,11
Mechanism10_ridge,10,8.42801269045783,12
Mechanism10_ridge,10,8.79266555956301,13
All16_ridge,10,8.34870552042131,14
Mechanism10_ridge,10,8.45923203678139,15
