Model,Tuning,InnerMeanGroupMAE,OuterConnGroup
Mechanism10_ridge,30,8.5375189958745,1
Mechanism10_ridge,30,7.78056285360459,2
Mechanism10_ridge,0.1,8.45907934574635,3
All16_ridge,10,8.55043807218268,4
Mechanism10_ridge,0.1,7.22033383633219,5
GO6_huber,0.01,7.59107582457067,6
Core4_huber,0.01,8.73766273621206,7
All16_ridge,10,8.64112675573564,8
Core4_ridge,0.1,7.51080812069543,9
Mechanism10_ridge,3,7.44832487645987,10
All16_ridge,10,7.77020637276427,11
All16_ridge,10,8.48881745881308,12
All16_ridge,10,8.82576645170091,13
Mechanism10_ridge,0.1,7.96804026719981,14
All16_ridge,10,8.51881380563286,15
