Model,Tuning,InnerMeanGroupMAE,OuterConnGroup
Mechanism10_ridge,30,8.5375189958745,1
BalancedMedianBaseline,0,8.79603184506001,1
All16_ridge,30,8.83517092106107,1
All16_ridge,10,8.87344439731065,1
Mechanism10_ridge,100,9.00323930790281,1
GO6_knn,3,9.00582482029283,1
Mechanism10_ridge,10,9.03891593242005,1
All16_ridge,100,9.117027815267,1
GO6_huber,1,9.29779889272844,1
GO6_ridge,100,9.31411729978044,1
Core4_huber,1,9.32210081028874,1
GO6_huber,0.3,9.33009208631758,1
Core4_ridge,100,9.36143848711314,1
GO6_ridge,30,9.39668814519108,1
Core4_huber,0.3,9.40460342398434,1
GO6_huber,0.1,9.41001516252579,1
GO6_huber,0.03,9.4818190195536,1
Core4_ridge,30,9.52083581104028,1
GO6_ridge,10,9.52959453555631,1
GO6_huber,0.01,9.55887202695095,1
Core4_huber,0.1,9.59523880819219,1
MedianBaseline,0,9.62660119399993,1
GO6_ridge,3,9.66868661061203,1
Core4_ridge,10,9.76375000346012,1
Core4_huber,0.01,9.84198023657287,1
Core4_huber,0.03,9.92260491190649,1
Core4_ridge,3,10.0281365862418,1
GO6_ridge,1,10.1129284426252,1
All16_ridge,3,10.1789035920885,1
Mechanism10_ridge,0.1,10.192699844288,1
Core4_ridge,1,10.2466153838446,1
GO6_knn,5,10.2900904672914,1
Mechanism10_ridge,3,10.3029872241283,1
GO6_knn,7,10.4668987875216,1
Core4_ridge,0.3,10.5871052874479,1
Mechanism10_ridge,0.3,10.7935213249204,1
Core4_ridge,0.1,10.9652555461448,1
Mechanism10_ridge,1,10.9727364467691,1
All16_ridge,1,11.1888802499458,1
GO6_ridge,0.3,11.2988847179893,1
RNA128_knn,7,11.5257066901612,1
RNA128_knn,5,11.5564322292373,1
All16_ridge,0.3,11.6895012161427,1
All16_ridge,0.1,12.3515685164279,1
GO6_ridge,0.1,12.4114226853311,1
RNA128_knn,3,14.3152030443901,1
Mechanism10_ridge,30,7.90991304706863,2
All16_ridge,10,8.01135370647748,2
All16_ridge,30,8.10700391841069,2
BalancedMedianBaseline,0,8.11365449284002,2
Mechanism10_ridge,10,8.18010593816407,2
Mechanism10_ridge,100,8.19093454011066,2
All16_ridge,100,8.27081153539668,2
GO6_ridge,100,8.40841065045742,2
Core4_ridge,100,8.41964691187929,2
GO6_ridge,30,8.49765742583767,2
Core4_ridge,30,8.53099452172883,2
GO6_ridge,10,8.61845337529109,2
GO6_huber,1,8.64235484361399,2
Core4_huber,1,8.65935071970537,2
GO6_huber,0.3,8.67134178282201,2
Core4_ridge,10,8.70223205706577,2
Core4_huber,0.3,8.72547161416094,2
GO6_huber,0.1,8.75197616579234,2
GO6_ridge,3,8.79941103733304,2
Core4_huber,0.1,8.86862616836048,2
Core4_huber,0.01,8.89003634605778,2
GO6_huber,0.03,8.9389606469549,2
Core4_ridge,3,8.96456449477705,2
GO6_huber,0.01,8.96687219031013,2
Core4_huber,0.03,9.00737553645134,2
GO6_knn,7,9.27700171864831,2
Core4_ridge,1,9.39400672424135,2
GO6_ridge,1,9.43296188990787,2
All16_ridge,3,9.43981084494045,2
MedianBaseline,0,9.47078812001653,2
Mechanism10_ridge,3,9.49482332571231,2
GO6_knn,5,9.95798151950646,2
Core4_ridge,0.3,10.1592809047191,2
GO6_knn,3,10.59756208792,2
Mechanism10_ridge,1,10.6726497737397,2
Core4_ridge,0.1,10.7869316569757,2
RNA128_knn,7,10.8741352618113,2
