Model,MaterialMAE_pp,MaterialRMSE_pp,ConnectedGroupMeanMAE_pp
Mechanism10_ridge,8.4305429730782,9.88123100755831,9.23484617143818
All16_ridge,8.562910222989,10.5068439555508,9.11865916699922
BalancedMedianBaseline,8.63568412150872,10.1371724753598,8.74431890020686
Core4_huber,8.77919859574703,11.0318487181867,9.58951302131053
MedianBaseline,8.81826881007582,10.3978300121702,8.92648144336761
GO6_huber,8.89872487242936,11.1154488738531,9.53896075171635
GO6_knn,9.23341636349592,10.7936683818146,10.2594349649325
RNA128_knn,9.4941993513358,11.3983878998326,10.0832546958302
GO6_ridge,9.96282728412105,12.4075981245446,10.2762552338483
Core4_ridge,10.4913096265248,12.7633754422014,9.97746234683205
SelectedWithFallback,10.8203641695779,13.1818058013326,10.5604533638435
