Model,ReferenceKey,Observed,Fitted,Lambda
MaterialMedian,GSE103520_MCF10A_control,11.3246538541021,16.8513190536449,10
MaterialMedian,GSE114691_control_placenta,2.14805937125472,17.5082380408538,10
MaterialMedian,GSE119834_NSC,21.0736958321833,17.5721266829659,10
MaterialMedian,GSE132714_BPH,24.8622842453177,18.6366140784419,10
MaterialMedian,GSE163787_TALL104,9.02517407605785,18.1397082776668,10
MaterialMedian,GSE171750_A549_untreated,27.7262180974478,19.6528778242871,10
MaterialMedian,GSE181540_HS_input,15.9598723210214,17.4480270803404,10
MaterialMedian,GSE181540_adjacent_NS_input,21.2244897959184,19.8110668319181,10
MaterialMedian,GSE203529_HEK293T_WT,5.68234746157429,19.5683849625758,10
MaterialMedian,GSE266884_MES28_vector_control,30.6185813231431,20.2476895285481,10
MaterialMedian,GSE275256_HMC3_vehicle,20.8251793868232,18.5386273059052,10
MaterialMedian,GSE283812_T47D_vehicle,26.5073947667804,20.3860746962607,10
MaterialMedian,GTEx_v8_Hippocampus,12.9233804669517,18.6412614159405,10
MaterialMedian,GTEx_v8_Lung,3.04256352160544,18.4120287155651,10
MaterialMedian,HCT116_control,14.9924287272798,18.8773752327607,10
MaterialMedian,HK2_untreated,25.4849908107004,18.6661869728269,10
MaterialMedian,HUVEC_untreated,24.1981011034129,18.1654438099249,10
MaterialMedian,HepG2_DMSO24h,33.5942114589486,18.7916236748284,10
MaterialMedian,MCF7_DMSO7d,28.1703775411423,19.9526006361828,10
MaterialMedian,MDAMB468_DMSO7d,29.5478723404255,19.883436662094,10
MaterialMedian,PC3M_DMSO,3.92595353460057,18.9805462644558,10
MaterialMedian,RKO_DMSO,28.65836791148,19.0560750744241,10
MaterialMedian,TCGA_ESCA_ESCC,13.4974638129407,18.3583308669133,10
MaterialMedian,TCGA_LIHC_normal,33.0510468125147,22.4158019191915,10
MaterialMedian,TCGA_LIHC_primary,29.5296838858905,21.8800308145162,10
MaterialMedian,TCGA_PRAD_primary,24.8445690601,19.2559590653612,10
MaterialMedian,sperm_GroupI,2.13483146067416,17.4778052330552,10
MaterialMedian,tendon_nondiabetic,12.14859437751,17.6597052238538,10
SampleUnweighted,GSE103520_MCF10A_control,11.3246538541021,12.6161229193429,0.01
SampleUnweighted,GSE114691_control_placenta,2.14805937125472,11.5621403470414,0.01
SampleUnweighted,GSE119834_NSC,21.0736958321833,13.233264261333,0.01
SampleUnweighted,GSE132714_BPH,24.8622842453177,17.4308998181881,0.01
SampleUnweighted,GSE163787_TALL104,9.02517407605785,16.9691484383525,0.01
SampleUnweighted,GSE171750_A549_untreated,27.7262180974478,16.7809728569244,0.01
SampleUnweighted,GSE181540_HS_input,15.9598723210214,12.6011359565119,0.01
SampleUnweighted,GSE181540_adjacent_NS_input,21.2244897959184,14.5142558473412,0.01
SampleUnweighted,GSE203529_HEK293T_WT,5.68234746157429,19.0632686721137,0.01
SampleUnweighted,GSE266884_MES28_vector_control,30.6185813231431,15.8496700744191,0.01
SampleUnweighted,GSE275256_HMC3_vehicle,20.8251793868232,15.8977111434125,0.01
SampleUnweighted,GSE283812_T47D_vehicle,26.5073947667804,24.0173808521001,0.01
SampleUnweighted,GTEx_v8_Hippocampus,12.9233804669517,13.5727444270338,0.01
SampleUnweighted,GTEx_v8_Lung,3.04256352160544,4.37279312500843,0.01
SampleUnweighted,HCT116_control,14.9924287272798,18.5561102530385,0.01
SampleUnweighted,HK2_untreated,25.4849908107004,10.5209165692293,0.01
SampleUnweighted,HUVEC_untreated,24.1981011034129,14.8798869911292,0.01
SampleUnweighted,HepG2_DMSO24h,33.5942114589486,19.2257204902217,0.01
SampleUnweighted,MCF7_DMSO7d,28.1703775411423,20.9896814075873,0.01
SampleUnweighted,MDAMB468_DMSO7d,29.5478723404255,20.2379544182706,0.01
SampleUnweighted,PC3M_DMSO,3.92595353460057,15.6956256611632,0.01
SampleUnweighted,RKO_DMSO,28.65836791148,18.5671588604704,0.01
SampleUnweighted,TCGA_ESCA_ESCC,13.4974638129407,14.6295738995474,0.01
SampleUnweighted,TCGA_LIHC_normal,33.0510468125147,31.032589746429,0.01
SampleUnweighted,TCGA_LIHC_primary,29.5296838858905,29.0180869434047,0.01
SampleUnweighted,TCGA_PRAD_primary,24.8445690601,23.8533896863365,0.01
SampleUnweighted,sperm_GroupI,2.13483146067416,16.0919886488101,0.01
SampleUnweighted,tendon_nondiabetic,12.14859437751,10.073080353514,0.01
SampleMaterialBalanced,GSE103520_MCF10A_control,11.3246538541021,16.0884447026212,10
SampleMaterialBalanced,GSE114691_control_placenta,2.14805937125472,17.444129121832,10
SampleMaterialBalanced,GSE119834_NSC,21.0736958321833,17.2300813452045,10
SampleMaterialBalanced,GSE132714_BPH,24.8622842453177,19.1612941745533,10
SampleMaterialBalanced,GSE163787_TALL104,9.02517407605785,18.3314111285366,10
SampleMaterialBalanced,GSE171750_A549_untreated,27.7262180974478,20.0041569288009,10
SampleMaterialBalanced,GSE181540_HS_input,15.9598723210214,17.7581580920696,10
SampleMaterialBalanced,GSE181540_adjacent_NS_input,21.2244897959184,20.2256111055941,10
SampleMaterialBalanced,GSE203529_HEK293T_WT,5.68234746157429,19.7864861054822,10
SampleMaterialBalanced,GSE266884_MES28_vector_control,30.6185813231431,20.6760640886256,10
SampleMaterialBalanced,GSE275256_HMC3_vehicle,20.8251793868232,18.7642410039344,10
SampleMaterialBalanced,GSE283812_T47D_vehicle,26.5073947667804,21.2208869799883,10
SampleMaterialBalanced,GTEx_v8_Hippocampus,12.9233804669517,18.5374442187695,10
SampleMaterialBalanced,GTEx_v8_Lung,3.04256352160544,18.6327761096283,10
SampleMaterialBalanced,HCT116_control,14.9924287272798,19.3486294989542,10
SampleMaterialBalanced,HK2_untreated,25.4849908107004,18.70682968546,10
SampleMaterialBalanced,HUVEC_untreated,24.1981011034129,17.9145533067946,10
SampleMaterialBalanced,HepG2_DMSO24h,33.5942114589486,18.3715295765366,10
SampleMaterialBalanced,MCF7_DMSO7d,28.1703775411423,20.6473171467725,10
SampleMaterialBalanced,MDAMB468_DMSO7d,29.5478723404255,20.1216563744156,10
SampleMaterialBalanced,PC3M_DMSO,3.92595353460057,19.3580577450403,10
SampleMaterialBalanced,RKO_DMSO,28.65836791148,19.4217642862643,10
SampleMaterialBalanced,TCGA_ESCA_ESCC,13.4974638129407,18.6668462241353,10
SampleMaterialBalanced,TCGA_LIHC_normal,33.0510468125147,23.0860367098595,10
SampleMaterialBalanced,TCGA_LIHC_primary,29.5296838858905,22.4417375791734,10
SampleMaterialBalanced,TCGA_PRAD_primary,24.8445690601,19.8740100840973,10
SampleMaterialBalanced,sperm_GroupI,2.13483146067416,17.1143262245942,10
SampleMaterialBalanced,tendon_nondiabetic,12.14859437751,17.787907810134,10
SampleBalanced,GSE103520_MCF10A_control,11.3246538541021,16.2542693044529,5.5
SampleBalanced,GSE114691_control_placenta,2.14805937125472,17.0493701655712,5.5
SampleBalanced,GSE119834_NSC,21.0736958321833,17.3950859230278,5.5
