OuterBlock,Model,Lambda,InnerSourceMAE,Selected
1,MaterialMedian,100,9.44820279191191,FALSE
1,MaterialMedian,10,9.28866671430674,TRUE
1,MaterialMedian,1,10.6732570509665,FALSE
1,MaterialMedian,0.1,10.8836296495429,FALSE
1,MaterialMedian,0.01,12.0588141343669,FALSE
1,SampleUnweighted,100,10.4792571512816,FALSE
1,SampleUnweighted,10,10.6141732503265,FALSE
1,SampleUnweighted,1,11.2677602896304,FALSE
1,SampleUnweighted,0.1,10.9385798922099,FALSE
1,SampleUnweighted,0.01,10.1742430197001,TRUE
1,SampleMaterialBalanced,100,9.14489126805677,FALSE
1,SampleMaterialBalanced,10,8.68619253544785,TRUE
1,SampleMaterialBalanced,1,10.0311127084485,FALSE
1,SampleMaterialBalanced,0.1,11.6976495476299,FALSE
1,SampleMaterialBalanced,0.01,13.759526943807,FALSE
1,SampleBalanced,100,9.45948322044321,FALSE
1,SampleBalanced,10,9.37832395310667,TRUE
1,SampleBalanced,1,10.0426886327829,FALSE
1,SampleBalanced,0.1,11.1475495758743,FALSE
1,SampleBalanced,0.01,12.2861789807473,FALSE
1,SampleBalanced128,100,9.65594232166889,TRUE
1,SampleBalanced128,10,9.74926689483091,FALSE
1,SampleBalanced128,1,10.6919104342972,FALSE
1,SampleBalanced128,0.1,10.919545028501,FALSE
1,SampleBalanced128,0.01,11.2346877482124,FALSE
1,BagMean,100,9.45975391740393,FALSE
1,BagMean,10,9.3797766017386,TRUE
1,BagMean,1,10.4386884045043,FALSE
1,BagMean,0.1,11.2962545777378,FALSE
1,BagMean,0.01,10.955203576712,FALSE
1,BagDistribution,100,9.44903080015726,FALSE
1,BagDistribution,10,9.45999723380036,FALSE
1,BagDistribution,1,9.51099139078342,FALSE
1,BagDistribution,0.1,9.27680766419487,TRUE
1,BagDistribution,0.01,11.2600892565029,FALSE
2,MaterialMedian,100,8.8411889406597,FALSE
2,MaterialMedian,10,8.81151852136278,TRUE
2,MaterialMedian,1,10.3585117910237,FALSE
2,MaterialMedian,0.1,13.419637323311,FALSE
2,MaterialMedian,0.01,15.1645640207994,FALSE
2,SampleUnweighted,100,8.724180720521,FALSE
2,SampleUnweighted,10,8.05811203023774,FALSE
2,SampleUnweighted,1,7.62865760139317,TRUE
2,SampleUnweighted,0.1,8.13772130319981,FALSE
2,SampleUnweighted,0.01,8.63719160206702,FALSE
2,SampleMaterialBalanced,100,8.27117757060338,FALSE
2,SampleMaterialBalanced,10,7.93814265998198,TRUE
2,SampleMaterialBalanced,1,10.071323112287,FALSE
2,SampleMaterialBalanced,0.1,13.476129903022,FALSE
2,SampleMaterialBalanced,0.01,16.0138918484851,FALSE
2,SampleBalanced,100,8.84834185443082,TRUE
2,SampleBalanced,10,8.86537760302521,FALSE
2,SampleBalanced,1,9.72906521008999,FALSE
2,SampleBalanced,0.1,12.1452446389705,FALSE
2,SampleBalanced,0.01,13.3649507719933,FALSE
2,SampleBalanced128,100,9.01253640698643,FALSE
2,SampleBalanced128,10,8.92718979794896,TRUE
2,SampleBalanced128,1,9.70087896159873,FALSE
2,SampleBalanced128,0.1,10.6458748905865,FALSE
2,SampleBalanced128,0.01,10.7141663850172,FALSE
2,BagMean,100,8.84900373655494,TRUE
2,BagMean,10,8.88406829109709,FALSE
2,BagMean,1,10.0816541044859,FALSE
2,BagMean,0.1,13.4494578420666,FALSE
2,BagMean,0.01,15.5345681822982,FALSE
2,BagDistribution,100,8.81872271700874,TRUE
2,BagDistribution,10,8.8364928472727,FALSE
2,BagDistribution,1,8.94508635794064,FALSE
2,BagDistribution,0.1,8.93715282355704,FALSE
2,BagDistribution,0.01,11.7955408317339,FALSE
3,MaterialMedian,100,9.94654774692713,FALSE
3,MaterialMedian,10,9.90735773984055,TRUE
3,MaterialMedian,1,10.3959568188212,FALSE
3,MaterialMedian,0.1,12.0387990477163,FALSE
