Model,ConnGroup,MAE
MaterialMedian,1,6.26191078020387
SampleUnweighted,1,2.14252713243366
SampleMaterialBalanced,1,5.86841651830353
SampleBalanced,1,6.17198969261864
SampleBalanced128,1,6.5408230630293
BagMean,1,6.16265998781731
BagDistribution,1,4.85049818372619
NoRNA,1,9.0758954184084
MaterialMedian,2,13.2265323772556
SampleUnweighted,2,14.8340396583782
SampleMaterialBalanced,2,13.9054685833408
SampleBalanced,2,13.6339470905569
SampleBalanced128,2,12.635148107478
BagMean,2,13.6335065977632
BagDistribution,2,13.6954853929077
NoRNA,2,15.1864886759811
MaterialMedian,3,1.37612413171985
SampleUnweighted,3,5.57705834025841
SampleMaterialBalanced,3,1.33172703797768
SampleBalanced,3,1.11259810615383
SampleBalanced128,3,1.75543262633784
BagMean,3,2.48679599509528
BagDistribution,3,0.776026523840823
NoRNA,3,2.6323087374485
MaterialMedian,4,21.5473696739552
SampleUnweighted,4,12.698826918848
SampleMaterialBalanced,4,16.9202204336726
SampleBalanced,4,22.4585907804414
SampleBalanced128,4,19.04202884591
BagMean,4,23.6332086567751
BagDistribution,4,23.4756606550575
NoRNA,4,19.0896583352442
MaterialMedian,5,19.0929791587313
SampleUnweighted,5,12.4030020938032
SampleMaterialBalanced,5,9.21340362212972
SampleBalanced,5,10.7914711480718
SampleBalanced128,5,8.86320167343436
BagMean,5,10.9701086922666
BagDistribution,5,8.76552455858671
NoRNA,5,4.02824726588565
MaterialMedian,6,12.8741801602777
SampleUnweighted,6,11.5332922090392
SampleMaterialBalanced,6,11.9654680741989
SampleBalanced,6,12.9715637977483
SampleBalanced128,6,12.7027802468375
BagMean,6,12.967375140507
BagDistribution,6,13.4808571981107
NoRNA,6,10.4651859623794
MaterialMedian,7,5.07490018901234
SampleUnweighted,7,1.52512605795954
SampleMaterialBalanced,7,5.22681098706161
SampleBalanced,7,5.08700373573777
SampleBalanced128,7,5.53071500135728
BagMean,7,5.09374422909625
BagDistribution,7,3.284735325152
NoRNA,7,7.7270259829777
MaterialMedian,8,8.89673502219879
SampleUnweighted,8,7.61085924851943
SampleMaterialBalanced,8,6.65696144209715
SampleBalanced,8,6.87567435716292
SampleBalanced128,8,8.76845641487297
BagMean,8,6.64403194032053
BagDistribution,8,8.98892244845466
NoRNA,8,8.75116079460431
MaterialMedian,9,18.8092521377577
SampleUnweighted,9,17.7142524110785
SampleMaterialBalanced,9,16.9277088119618
SampleBalanced,9,18.5516938612529
SampleBalanced128,9,17.282431938976
BagMean,9,18.8223480858447
BagDistribution,9,20.686883611603
NoRNA,9,12.7690320721254
MaterialMedian,10,16.88395535515
SampleUnweighted,10,11.8234606370671
SampleMaterialBalanced,10,16.2991246149686
SampleBalanced,10,16.8041792247569
SampleBalanced128,10,19.3226368490416
BagMean,10,16.8738247582747
BagDistribution,10,17.1717225654157
NoRNA,10,17.2985362613178
MaterialMedian,11,14.2689954000974
SampleUnweighted,11,12.3716670135539
SampleMaterialBalanced,11,7.50475957759547
SampleBalanced,11,6.38311873975378
SampleBalanced128,11,7.76243954669858
BagMean,11,14.1879576621767
BagDistribution,11,7.63307300140017
NoRNA,11,5.02095919084
MaterialMedian,12,2.54885036104648
SampleUnweighted,12,5.00243923340141
SampleMaterialBalanced,12,2.17952817851601
SampleBalanced,12,3.37617980191099
SampleBalanced128,12,2.00905640433792
BagMean,12,2.50240466357538
BagDistribution,12,2.87655522701976
NoRNA,12,0.3993104090952
MaterialMedian,13,8.26073810431306
SampleUnweighted,13,16.595673668691
SampleMaterialBalanced,13,7.68298705061791
SampleBalanced,13,10.4899822208942
SampleBalanced128,13,7.32910878370694
BagMean,13,10.7500833965608
BagDistribution,13,9.18264822166889
NoRNA,13,4.6598114238772
MaterialMedian,14,6.6473050465675
SampleUnweighted,14,9.79592471491278
SampleMaterialBalanced,14,6.61286935663291
SampleBalanced,14,6.77034237411931
SampleBalanced128,14,8.57278839607637
BagMean,14,6.79747339750916
BagDistribution,14,8.0416992269484
NoRNA,14,3.3729217165897
