DonorKey,Materials,Blocks,BlockIDs
GTEX-11EI6,2,2,2;4
GTEX-11GSP,2,2,2;4
GTEX-11TUW,2,2,2;4
GTEX-11WQC,2,2,2;4
GTEX-11ZTS,2,2,2;4
GTEX-11ZVC,2,2,2;4
GTEX-1212Z,2,2,2;4
GTEX-12WSD,2,2,2;4
GTEX-12WSE,2,2,2;4
GTEX-12WSH,2,2,2;4
GTEX-1313W,2,2,2;4
GTEX-131XH,2,2,2;4
GTEX-131YS,2,2,2;4
GTEX-139TT,2,2,2;4
GTEX-13FHO,2,2,2;4
GTEX-13FHP,2,2,2;4
GTEX-13FTY,2,2,2;4
GTEX-13G51,2,2,2;4
GTEX-13JUV,2,2,2;4
GTEX-13JVG,2,2,2;4
GTEX-13N1W,2,2,2;4
GTEX-13N2G,2,2,2;4
GTEX-13NYB,2,2,2;4
GTEX-13NYS,2,2,2;4
GTEX-13NZ8,2,2,2;4
GTEX-13NZA,2,2,2;4
GTEX-13O3O,2,2,2;4
GTEX-13O3Q,2,2,2;4
GTEX-13OVJ,2,2,2;4
GTEX-13OVL,2,2,2;4
GTEX-13OW5,2,2,2;4
GTEX-13OW6,2,2,2;4
GTEX-13OW7,2,2,2;4
GTEX-13OW8,2,2,2;4
GTEX-13QJC,2,2,2;4
GTEX-13RTJ,2,2,2;4
GTEX-13S7M,2,2,2;4
GTEX-13SLW,2,2,2;4
GTEX-144GO,2,2,2;4
GTEX-145LS,2,2,2;4
GTEX-145LU,2,2,2;4
GTEX-145MH,2,2,2;4
GTEX-14ABY,2,2,2;4
GTEX-14C5O,2,2,2;4
GTEX-14E6D,2,2,2;4
GTEX-14E7W,2,2,2;4
GTEX-14JIY,2,2,2;4
GTEX-14LLW,2,2,2;4
GTEX-14LZ3,2,2,2;4
GTEX-14PJM,2,2,2;4
GTEX-14PJO,2,2,2;4
GTEX-14PQA,2,2,2;4
GTEX-15ER7,2,2,2;4
GTEX-16GPK,2,2,2;4
GTEX-16XZZ,2,2,2;4
GTEX-16Z82,2,2,2;4
GTEX-17EVP,2,2,2;4
GTEX-17EVQ,2,2,2;4
GTEX-17HG3,2,2,2;4
GTEX-17HII,2,2,2;4
GTEX-17JCI,2,2,2;4
GTEX-17MF6,2,2,2;4
GTEX-18A6Q,2,2,2;4
GTEX-1A32A,2,2,2;4
GTEX-1A8G6,2,2,2;4
GTEX-1AX9I,2,2,2;4
GTEX-1B8L1,2,2,2;4
GTEX-1B8SF,2,2,2;4
GTEX-1B933,2,2,2;4
GTEX-1B996,2,2,2;4
GTEX-1BAJH,2,2,2;4
GTEX-1C6VR,2,2,2;4
GTEX-1CAV2,2,2,2;4
GTEX-1CB4J,2,2,2;4
GTEX-1E1VI,2,2,2;4
GTEX-1E2YA,2,2,2;4
GTEX-1EKGG,2,2,2;4
GTEX-1EMGI,2,2,2;4
GTEX-1EWIQ,2,2,2;4
GTEX-1EX96,2,2,2;4
GTEX-1F48J,2,2,2;4
GTEX-1F6I4,2,2,2;4
GTEX-1F75W,2,2,2;4
GTEX-1GF9V,2,2,2;4
GTEX-1GMR8,2,2,2;4
GTEX-1GN1U,2,2,2;4
GTEX-1GN2E,2,2,2;4
GTEX-1GN73,2,2,2;4
GTEX-1GTWX,2,2,2;4
GTEX-1GZ2Q,2,2,2;4
GTEX-1GZHY,2,2,2;4
GTEX-1H1CY,2,2,2;4
GTEX-1H1DG,2,2,2;4
GTEX-1H1ZS,2,2,2;4
GTEX-1H23P,2,2,2;4
GTEX-1H3O1,2,2,2;4
GTEX-1HSKV,2,2,2;4
GTEX-1HSMO,2,2,2;4
GTEX-1HT8W,2,2,2;4
GTEX-1I1GQ,2,2,2;4
GTEX-1I1GS,2,2,2;4
GTEX-1I1GV,2,2,2;4
GTEX-1ICLZ,2,2,2;4
GTEX-1IDJH,2,2,2;4
GTEX-1IKK5,2,2,2;4
