ReferenceKey,GroupIDs,GroupLabel,SourceKind,SourcePath,SelectorValue,Samples,Genes,GenesWithCounts,ValueRoute,IDRule,IDNote,NativeValuesInteger,SourceFileMD5,SourceNote,Log2TPMFile,CountsFile
GSE103520_MCF10A_control,KLA31_29,MCF10A,recount3_runs,raw/recount3_candidate/sra.gene_sums.SRP117021.G026.gz,GSM2773021;GSM2773022;GSM2773023,3,57413,63856,counts -> TPM (shared Ensembl 111 length table),none needed,63856 recount3 G026 gene rows,TRUE,ffb4d8fc755e9ce9197f84cc08c3c747,"recount3 sra.gene_sums stores base-level coverage sums rather than read counts, so the archived counts block is on a coverage scale (about 1e9 per sample here); it is proportional to read count, so the derived TPM is unaffected. Four sequencing runs were summed per sample.",matrices/GSE103520_MCF10A_control_log2tpm.tsv.gz,matrices/GSE103520_MCF10A_control_counts.tsv.gz
GSE114691_control_placenta,KLA31_06,normal pregnancy placenta,transcript_counts,raw/geo/GSE114691/supplement/GSE114691_MasterCount_ControlONLY.txt.gz,X403.10;PE12.03;X383.10;PE13.20;X328.08;PE12.08;PE13.27;X399.10;X338.08;X401.10;X400.10;X550;PE14.19;PE14.33;PE14.22;PE13.31;X293.06;X279.06;PE13.16;X267.05;PE15.26,21,51986,57905,counts -> TPM (shared Ensembl 111 length table),"transcript counts summed to gene level (Ensembl GRCh37 annotation, NCBI gene2ensembl fallback)","196501/204940 source transcripts mapped (95.9%), reaching 57905 Ensembl genes; 3.08% of total counts fall on unmapped transcripts",TRUE,ac1bbec90cd7ab1f1cd9420bb0550c5e,"",matrices/GSE114691_control_placenta_log2tpm.tsv.gz,matrices/GSE114691_control_placenta_counts.tsv.gz
GSE119834_NSC,KLA31_30,neural stem cells,ncbi_counts,raw/ncbi_counts_round3_20260915/GSE119834_raw_counts_GRCh38.p13_NCBI.tsv.gz,GSM3384847;GSM3384849;GSM3384850;GSM3384851;GSM3384852;GSM3384853;GSM3384854;GSM3384855,8,27400,28052,counts -> TPM (shared Ensembl 111 length table),summed where several source IDs map to one Ensembl gene,28052/28287 Entrez genes mapped to Ensembl,TRUE,cab8d9fd21dee2d0205b3d64b0e98431,"",matrices/GSE119834_NSC_log2tpm.tsv.gz,matrices/GSE119834_NSC_counts.tsv.gz
GSE132714_BPH,KLA31_08,BPH,per_sample_rpkm,raw/geo/GSE132714/supplement/GSE132714_RAW.tar,GSM3890639;GSM3890640;GSM3890641;GSM3890642;GSM3890643;GSM3890644;GSM3890645;GSM3890646;GSM3890647;GSM3890648;GSM3890649;GSM3890650;GSM3890651;GSM3890652;GSM3890653;GSM3890654;GSM3890655;GSM3890656,18,51986,,FPKM/RPKM -> TPM (column rescaling; length-annotated gene filter only),none needed,57820 genes common to all 18 samples,,47368bb88c070a70997bfca068173df6,"",matrices/GSE132714_BPH_log2tpm.tsv.gz,
GSE163787_TALL104,KLA31_17,TALL-104,single_ensembl_fpkm,raw/geo/GSE163787/supplement/GSE163787_4cell_fpkm.csv.gz,8486_Tall,1,30853,,FPKM/RPKM -> TPM (column rescaling; length-annotated gene filter only),none needed,60736 Ensembl rows,,f161dadeb7ac375bf4358c6cb31cddd8,"",matrices/GSE163787_TALL104_log2tpm.tsv.gz,
GSE171750_A549_untreated,KLA31_19,A549,single_symbol_counts,raw/replicate_replacements/GSE171750/GSE171750_rsem_count.txt.gz,Control_1;Control_2;Control_3,3,23771,23830,counts -> TPM (shared Ensembl 111 length table),symbol -> official NCBI GeneID (with HGNC rename fallback) -> Ensembl; counts summed,23830/26475 symbol rows mapped to Ensembl,FALSE,a537ec9481b716d7e34f3b1cc944faca,"",matrices/GSE171750_A549_untreated_log2tpm.tsv.gz,matrices/GSE171750_A549_untreated_counts.tsv.gz
GSE181540_adjacent_NS_input,KLA31_04,adjacent skin,xlsx_fpkm,raw/geo/GSE181540/supplement/GSE181540_mRNA_Expression_Profiling.xlsx,SK1.Input_FPKM;SK2.Input_FPKM;SK3.Input_FPKM,3,19435,20308,counts -> TPM (shared Ensembl 111 length table),none needed,"GSE181540 workbook, 20308 Ensembl rows (unversioned in source)",,65d81dc4d349d0d5372d0d8018434ddf,"source 'counts' block is cufflinks-style fractional, not integer",matrices/GSE181540_adjacent_NS_input_log2tpm.tsv.gz,matrices/GSE181540_adjacent_NS_input_counts.tsv.gz
GSE181540_HS_input,KLA31_03,hypertrophic scar,xlsx_fpkm,raw/geo/GSE181540/supplement/GSE181540_mRNA_Expression_Profiling.xlsx,SC1.Input_FPKM;SC2.Input_FPKM;SC3.Input_FPKM,3,19435,20308,counts -> TPM (shared Ensembl 111 length table),none needed,"GSE181540 workbook, 20308 Ensembl rows (unversioned in source)",,65d81dc4d349d0d5372d0d8018434ddf,"source 'counts' block is cufflinks-style fractional, not integer",matrices/GSE181540_HS_input_log2tpm.tsv.gz,matrices/GSE181540_HS_input_counts.tsv.gz
GSE203529_HEK293T_WT,KLA31_25,HEK293T,rsem_per_sample,raw/geo/GSE203529/supplement/GSE203529_RAW.tar,GSM6175912;GSM6175918;GSM6175922,3,60337,60669,counts -> TPM (shared Ensembl 111 length table),none needed,60669 RSEM gene rows,FALSE,66a2e29c80d7e78cb03d1a932050476f,RSEM expected_count is fractional by construction; TPM is computed from it with the shared length table,matrices/GSE203529_HEK293T_WT_log2tpm.tsv.gz,matrices/GSE203529_HEK293T_WT_counts.tsv.gz
GSE266884_MES28_vector_control,KLA31_23,glioblastoma stem cells,ncbi_counts,raw/ncbi_counts_20260915/GSE266884_raw_counts_GRCh38.p13_NCBI.tsv.gz,GSM8255530;GSM8255531;GSM8255534;GSM8255535,4,27400,28052,counts -> TPM (shared Ensembl 111 length table),summed where several source IDs map to one Ensembl gene,28052/28287 Entrez genes mapped to Ensembl,TRUE,64fe4ba06e6f8617bf2eecf21a47661f,"",matrices/GSE266884_MES28_vector_control_log2tpm.tsv.gz,matrices/GSE266884_MES28_vector_control_counts.tsv.gz
