ReferenceKey,Samples,MaxMedianDifference
GSE103520_MCF10A_control,3,0
GSE114691_control_placenta,21,0
GSE119834_NSC,8,4.9737991503207e-14
GSE132714_BPH,18,5.32907051820075e-15
GSE163787_TALL104,1,0
GSE171750_A549_untreated,3,0
GSE181540_HS_input,3,0
GSE181540_adjacent_NS_input,3,0
GSE203529_HEK293T_WT,3,0
GSE266884_MES28_vector_control,4,4.9737991503207e-14
GSE275256_HMC3_vehicle,3,0
GSE283812_T47D_vehicle,4,4.9737991503207e-14
GTEx_v8_Hippocampus,197,0
GTEx_v8_Lung,578,5.32907051820075e-15
HCT116_control,3,0
HK2_untreated,3,0
HUVEC_untreated,4,5.15143483426073e-14
HepG2_DMSO24h,3,0
MCF7_DMSO7d,3,0
MDAMB468_DMSO7d,3,0
PC3M_DMSO,3,0
RKO_DMSO,3,0
TCGA_ESCA_ESCC,95,0
TCGA_LIHC_normal,50,5.32907051820075e-15
TCGA_LIHC_primary,371,0
TCGA_PRAD_primary,501,0
sperm_GroupI,4,5.32907051820075e-15
tendon_nondiabetic,3,0
