SampleID,ReferenceKey,DonorKey,DonorKnown,ConnGroup,Split
GSM2773021,GSE103520_MCF10A_control,Unresolved:GSM2773021,FALSE,8,Within-material training
GSM2773022,GSE103520_MCF10A_control,Unresolved:GSM2773022,FALSE,8,Within-material training
GSM2773023,GSE103520_MCF10A_control,Unresolved:GSM2773023,FALSE,8,Within-material training
PE12.03,GSE114691_control_placenta,Unresolved:PE12.03,FALSE,2,Within-material training
PE12.08,GSE114691_control_placenta,Unresolved:PE12.08,FALSE,2,Within-material test
PE13.16,GSE114691_control_placenta,Unresolved:PE13.16,FALSE,2,Within-material training
PE13.20,GSE114691_control_placenta,Unresolved:PE13.20,FALSE,2,Within-material training
PE13.27,GSE114691_control_placenta,Unresolved:PE13.27,FALSE,2,Within-material training
PE13.31,GSE114691_control_placenta,Unresolved:PE13.31,FALSE,2,Within-material training
PE14.19,GSE114691_control_placenta,Unresolved:PE14.19,FALSE,2,Within-material training
PE14.22,GSE114691_control_placenta,Unresolved:PE14.22,FALSE,2,Within-material training
PE14.33,GSE114691_control_placenta,Unresolved:PE14.33,FALSE,2,Within-material training
PE15.26,GSE114691_control_placenta,Unresolved:PE15.26,FALSE,2,Within-material training
X267.05,GSE114691_control_placenta,Unresolved:X267.05,FALSE,2,Within-material training
X279.06,GSE114691_control_placenta,Unresolved:X279.06,FALSE,2,Within-material training
X293.06,GSE114691_control_placenta,Unresolved:X293.06,FALSE,2,Within-material test
X328.08,GSE114691_control_placenta,Unresolved:X328.08,FALSE,2,Within-material training
X338.08,GSE114691_control_placenta,Unresolved:X338.08,FALSE,2,Within-material training
X383.10,GSE114691_control_placenta,Unresolved:X383.10,FALSE,2,Within-material training
X399.10,GSE114691_control_placenta,Unresolved:X399.10,FALSE,2,Within-material training
X400.10,GSE114691_control_placenta,Unresolved:X400.10,FALSE,2,Within-material training
X401.10,GSE114691_control_placenta,Unresolved:X401.10,FALSE,2,Within-material training
X403.10,GSE114691_control_placenta,Unresolved:X403.10,FALSE,2,Within-material training
X550,GSE114691_control_placenta,Unresolved:X550,FALSE,2,Within-material training
GSM3384847,GSE119834_NSC,Unresolved:GSM3384847,FALSE,11,Within-material training
GSM3384849,GSE119834_NSC,Unresolved:GSM3384849,FALSE,11,Within-material test
GSM3384850,GSE119834_NSC,Unresolved:GSM3384850,FALSE,11,Within-material training
GSM3384851,GSE119834_NSC,Unresolved:GSM3384851,FALSE,11,Within-material training
GSM3384852,GSE119834_NSC,Unresolved:GSM3384852,FALSE,11,Within-material training
GSM3384853,GSE119834_NSC,Unresolved:GSM3384853,FALSE,11,Within-material training
GSM3384854,GSE119834_NSC,Unresolved:GSM3384854,FALSE,11,Within-material test
GSM3384855,GSE119834_NSC,Unresolved:GSM3384855,FALSE,11,Within-material test
GSM3890639,GSE132714_BPH,Unresolved:GSM3890639,FALSE,5,Within-material training
GSM3890640,GSE132714_BPH,Unresolved:GSM3890640,FALSE,5,Within-material training
GSM3890641,GSE132714_BPH,Unresolved:GSM3890641,FALSE,5,Within-material training
GSM3890642,GSE132714_BPH,Unresolved:GSM3890642,FALSE,5,Within-material training
GSM3890643,GSE132714_BPH,Unresolved:GSM3890643,FALSE,5,Within-material test
GSM3890644,GSE132714_BPH,Unresolved:GSM3890644,FALSE,5,Within-material training
GSM3890645,GSE132714_BPH,Unresolved:GSM3890645,FALSE,5,Within-material training
GSM3890646,GSE132714_BPH,Unresolved:GSM3890646,FALSE,5,Within-material training
GSM3890647,GSE132714_BPH,Unresolved:GSM3890647,FALSE,5,Within-material training
GSM3890648,GSE132714_BPH,Unresolved:GSM3890648,FALSE,5,Within-material training
GSM3890649,GSE132714_BPH,Unresolved:GSM3890649,FALSE,5,Within-material training
GSM3890650,GSE132714_BPH,Unresolved:GSM3890650,FALSE,5,Within-material training
GSM3890651,GSE132714_BPH,Unresolved:GSM3890651,FALSE,5,Within-material test
GSM3890652,GSE132714_BPH,Unresolved:GSM3890652,FALSE,5,Within-material test
GSM3890653,GSE132714_BPH,Unresolved:GSM3890653,FALSE,5,Within-material training
GSM3890654,GSE132714_BPH,Unresolved:GSM3890654,FALSE,5,Within-material test
GSM3890655,GSE132714_BPH,Unresolved:GSM3890655,FALSE,5,Within-material test
GSM3890656,GSE132714_BPH,Unresolved:GSM3890656,FALSE,5,Within-material training
8486_Tall,GSE163787_TALL104,Unresolved:8486_Tall,FALSE,8,Within-material training
Control_1,GSE171750_A549_untreated,Unresolved:Control_1,FALSE,8,Within-material training
Control_2,GSE171750_A549_untreated,Unresolved:Control_2,FALSE,8,Within-material training
Control_3,GSE171750_A549_untreated,Unresolved:Control_3,FALSE,8,Within-material training
SC1.Input_FPKM,GSE181540_HS_input,Unresolved:SC1.Input_FPKM,FALSE,3,Within-material training
SC2.Input_FPKM,GSE181540_HS_input,Unresolved:SC2.Input_FPKM,FALSE,3,Within-material training
SC3.Input_FPKM,GSE181540_HS_input,Unresolved:SC3.Input_FPKM,FALSE,3,Within-material training
SK1.Input_FPKM,GSE181540_adjacent_NS_input,Unresolved:SK1.Input_FPKM,FALSE,3,Within-material training
SK2.Input_FPKM,GSE181540_adjacent_NS_input,Unresolved:SK2.Input_FPKM,FALSE,3,Within-material training
SK3.Input_FPKM,GSE181540_adjacent_NS_input,Unresolved:SK3.Input_FPKM,FALSE,3,Within-material training
GSM6175912,GSE203529_HEK293T_WT,Unresolved:GSM6175912,FALSE,8,Within-material training
GSM6175918,GSE203529_HEK293T_WT,Unresolved:GSM6175918,FALSE,8,Within-material training
GSM6175922,GSE203529_HEK293T_WT,Unresolved:GSM6175922,FALSE,8,Within-material training
GSM8255530,GSE266884_MES28_vector_control,Unresolved:GSM8255530,FALSE,11,Within-material training
GSM8255531,GSE266884_MES28_vector_control,Unresolved:GSM8255531,FALSE,11,Within-material training
GSM8255534,GSE266884_MES28_vector_control,Unresolved:GSM8255534,FALSE,11,Within-material training
GSM8255535,GSE266884_MES28_vector_control,Unresolved:GSM8255535,FALSE,11,Within-material test
VEH_1,GSE275256_HMC3_vehicle,Unresolved:VEH_1,FALSE,12,Within-material training
VEH_2,GSE275256_HMC3_vehicle,Unresolved:VEH_2,FALSE,12,Within-material training
VEH_3,GSE275256_HMC3_vehicle,Unresolved:VEH_3,FALSE,12,Within-material test
rep1_0h_S60_R1_001_cut_rRNArem_sorted.bam,GSE283812_T47D_vehicle,Unresolved:rep1_0h_S60_R1_001_cut_rRNArem_sorted.bam,FALSE,8,Within-material test
rep2_0h_S63_R1_001_cut_rRNArem_sorted.bam,GSE283812_T47D_vehicle,Unresolved:rep2_0h_S63_R1_001_cut_rRNArem_sorted.bam,FALSE,8,Within-material training
rep3_0h_S66_R1_001_cut_rRNArem_sorted.bam,GSE283812_T47D_vehicle,Unresolved:rep3_0h_S66_R1_001_cut_rRNArem_sorted.bam,FALSE,8,Within-material training
rep4_0h_S69_R1_001_cut_rRNArem_sorted.bam,GSE283812_T47D_vehicle,Unresolved:rep4_0h_S69_R1_001_cut_rRNArem_sorted.bam,FALSE,8,Within-material training
