Model,Evaluation,Weighting,N,Materials,MAE,RMSE,R2,Within2,Within5
RF_mtry11,Training fit,Record,1898,28,0.780606264069778,1.33909889666023,0.985261620952512,90.9378292939927,98.5774499473118
RF_mtry11,Source held out,Record,1898,28,11.5177264207767,12.1702941835415,-0.217381141360041,0.579557428872497,3.63540569020021
RF_mtry64,Training fit,Record,1898,28,0.587405975926058,1.22763708996596,0.987613049005935,92.6238145416217,98.8408851422539
RF_mtry64,Source held out,Record,1898,28,11.2620510595814,11.8038983249836,-0.145184172949091,0.632244467860906,2.73972602739726
RF_mtry11,Within-material test,Record,374,19,1.35083404787391,2.24195318008123,0.96128568044781,80.2139037433158,95.7219251336902
RF_mtry64,Within-material test,Record,374,19,1.07042084477398,2.10193475956143,0.965970386442122,85.8288770053479,96.2566844919789
RF_mtry11,Training fit,Material,1898,28,0.141009767728289,0.535159605607045,0.9970864306175,98.5983630104532,99.7926520501146
RF_mtry11,Source held out,Material,1898,28,9.32482428565176,10.57056654,-0.136724559880785,6.17794486215573,24.5232983495685
RF_mtry64,Training fit,Material,1898,28,0.116676409804242,0.523691482518233,0.997209964459215,98.5533660047077,99.8183748495907
RF_mtry64,Source held out,Material,1898,28,9.28410879089126,10.509641754373,-0.123659012108555,7.77725563909817,19.8687383212057
RF_mtry11,Within-material test,Material,374,19,1.9304152012919,2.75095936138712,0.920884298073351,62.6306272847465,93.9690447328659
RF_mtry64,Within-material test,Material,374,19,1.54914400595797,2.35594580083482,0.941973693684758,75.6836447693662,92.3594900132634
