EnsemblProteinID	MappingSource	MappingDate
ENSP00000071281	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000074304	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000198765	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000206544	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000215739	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000215939	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000216605	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000216951	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000217130	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000220966	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000222125	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000224181	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000224807	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000224862	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000225805	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000226578	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000228226	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000228280	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000229416	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000232219	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000233607	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000233616	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000236918	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000238341	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000238709	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000238855	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000239026	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000243639	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000245323	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000245441	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000246554	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000247182	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000248923	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000249375	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000250937	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000251101	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000251808	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000252482	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000252725	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000252773	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000253815	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000256031	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000256216	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000256935	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000258180	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000258349	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000259806	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000259997	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000260008	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000260595	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000260645	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000260766	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000261173	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000261219	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000261991	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000262051	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000262097	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000262383	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000262888	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000263642	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000263816	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000263817	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000264073	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000264122	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000264193	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000264773	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000265023	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000265379	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000265384	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000265735	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000265814	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000267859	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000268035	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000268605	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000269349	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000269814	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000269907	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000270238	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000270279	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000271469	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000272570	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000273158	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000273783	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000273794	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000276461	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000277541	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000278559	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000278715	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000281317	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000281474	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000282120	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000282223	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000283684	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000284049	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000287497	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000289893	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000290277	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000290846	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000291525	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000292304	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000293842	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000295641	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
