CellType,teacher_requested_grouping,biologically_conventional_grouping,classification_warning,review_needed
Human hippocampus,hippocampus_tissue,hippocampus_tissue,,No
HEK293T,normal_immortalized_cell_lines,normal_immortalized_cell_lines,Transformed embryonic kidney model rather than normal tissue,No
HK-2,normal_immortalized_cell_lines,normal_immortalized_cell_lines,Immortalized renal epithelial model rather than normal tissue,No
MCF7,tumor_cell_lines,tumor_cell_lines,Confirmed on 2026-07-21: MCF7 is not the third immortalized model,No
MCF10A,normal_immortalized_cell_lines,normal_immortalized_cell_lines,Confirmed on 2026-07-21: MCF10A is the third immortalized/non-tumor model,No
HCT116,tumor_cell_lines,tumor_cell_lines,,No
T-ALL,tumor_cell_lines,tumor_cell_lines,,No
MDA-MB-468,tumor_cell_lines,tumor_cell_lines,,No
T-47D,tumor_cell_lines,tumor_cell_lines,,No
RKO,tumor_cell_lines,tumor_cell_lines,,No
