"LactylomePXD","StudyFamily","SampleGroup","BiologicalMaterial","LactylomeDatasetStatus","LactylomeEvidenceLocator","LactylomeAcquisitionStatus","ReferenceStrategy","ReferencePXD","ReferenceSampleSubset","ReferenceEvidenceLocator","ReferenceProteinCount","ReferenceAcquisitionStatus","MatchQuality","Caveat","IncludeInPairedAnalysis","IncludeInStrictReferenceAnalysis"
"PXD014870","cyclic_immonium_widespread_lactylation","MCF7","breast cancer cell line","usable_global_lactylome","data/PXD014870/search_results/*/Lactyl (K)Sites.txt","downloaded_and_used","external_exact_cell_line","PXD030304","MCF7 SIDM00148","data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt",3099,"downloaded_and_counted","exact_cell_line","Independent ordinary proteome atlas",TRUE,TRUE
"PXD028488","cyclic_immonium_widespread_lactylation","HEK293T","immortalized embryonic kidney cell line","usable_global_lactylome","data/PXD028488/search_results/Enrichment-Search files.zip","downloaded_and_used","external_exact_cell_line","PXD030304","Control_HEK293T_lys","data/PXD030304/search_results/ProCan-DepMapSanger_peptide_counts_per_protein_per_sample.txt",6441,"downloaded_and_counted","exact_cell_line","Process-control lysate runs; standard QC material excluded",TRUE,TRUE
"PXD028488","cyclic_immonium_widespread_lactylation","HCT116","colorectal cancer cell line","usable_global_lactylome","data/PXD028488/search_results/Enrichment-Search files.zip","downloaded_and_used","external_exact_cell_line","PXD030304","HCT-116 SIDM00783","data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt",4010,"downloaded_and_counted","exact_cell_line","Independent ordinary proteome atlas",TRUE,TRUE
"PXD028488","cyclic_immonium_widespread_lactylation","TALL-104","T lymphoblastic leukemia cell line","usable_global_lactylome","data/PXD028488/search_results/Enrichment-Search files.zip","downloaded_and_used","same_study_non_enrichment","PXD028488","TALL-104 non-enrichment Sample 1;Sample 2;Sample 3","data/PXD028488/search_results/Nonenrichment-Search files/TALL-Nonenrichment-Search files/proteins.csv",4023,"downloaded_and_counted","exact_same_study","同一PXD的TALL-104非富集PEAKS蛋白表；使用三次普通蛋白Area",TRUE,TRUE
"PXD028737","hmc3_hypoxia_lactylome","HMC3","human microglial cell line","usable_global_lactylome","data/PXD028737/search_results/combined.zip","downloaded_and_used","same_study_conventional_proteome","PXD028737","H0;H24","data/PXD028737/search_results/extracted_reference/txt/proteinGroups.txt",6132,"downloaded_and_counted","exact_same_study","同一PXD的HMC3普通MaxQuant蛋白组；H0和H24均有LFQ强度",TRUE,TRUE
"PXD033146","rotator_cuff_lactylome","pathological rotator cuff tendon","diseased tendon tissue","usable_global_lactylome","data/PXD033146/search_results/search_result-HA119TPLa.zip","downloaded","same_study_conventional_proteome","PXD033146","matched HA119TQ samples","data/PXD033146/search_results/search_result-HA119TQ.zip",839,"downloaded_and_counted","exact_same_study","Pathological tissue is not healthy tendon",TRUE,TRUE
"PXD033454","ynlac_chemical_reporter","YnLac-labelled cells","chemical reporter cell model","usable_method_specific","repository processed files","remote_available","method_specific_no_primary_pair","not_applicable","not_applicable","not_applicable",,"not_applicable","not_comparable_to_endogenous_kla","Keep outside primary endogenous Kla analysis",FALSE,FALSE
"PXD036307","normal_human_lung_lactylome","normal human lung","normal lung tissue","usable_global_lactylome","data/PXD036307/search_results/extracted/txt/La (K)Sites.txt","downloaded_and_qc_passed","external_exact_healthy_tissue","PXD010154","healthy lung tissue","data/PXD010154/search_results/extracted_healthy_tissues/lung/P013163_lung_proteinGroups.txt",16937,"downloaded_and_counted","exact_organ_tissue","Independent non-enriched healthy lung proteome; the deposited PXD036307 proteinGroups is Kla-enriched and was not used as ordinary proteome",TRUE,TRUE
"PXD037371","hcc_lactylome","normal liver","normal liver tissue","usable_global_lactylome","data/PXD037371/search_results/txt.rar","downloaded","unresolved_reference",,,,,"not_selected","no_exact_reference_found","PXD037371三个临床组已从最终Kla定量范围排除",TRUE,FALSE
"PXD037371","hcc_lactylome","nonmetastatic HCC","HCC tissue","usable_global_lactylome","data/PXD037371/search_results/txt.rar","downloaded","unresolved_reference",,,,,"not_selected","no_exact_reference_found","该组已从最终Kla定量范围排除",TRUE,FALSE
"PXD037371","hcc_lactylome","lung-metastatic HCC","HCC tissue with lung metastasis","usable_global_lactylome","data/PXD037371/search_results/txt.rar","downloaded","unresolved_reference",,,,,"not_selected","no_exact_reference_found","该组已从最终Kla定量范围排除",TRUE,FALSE
"PXD037530","cirrhosis_msc_lactylome","cirrhosis before and after MSC treatment","cirrhotic liver tissue","usable_global_lactylome","remote MD218TPLa01 and MD218TPLa02","remote_available_not_downloaded","same_study_conventional_proteome","PXD037530","matched MD218TQ01 and MD218TQ02","remote ordinary proteome archives",,"remote_available_not_downloaded","exact_same_study","Processed archives total more than 19 GB",TRUE,TRUE
"PXD038880","nbs1_ags_cisplatin_resistance","AGS parental and resistant","gastric cancer cell line","hold","repository mirror","hold","excluded_hold","not_applicable","not_applicable","not_applicable",,"not_applicable","excluded_by_teacher","Mirror of PXD050906",FALSE,FALSE
"PXD045967","hela_global_lactylome","HeLa","cervical cancer cell line","processed_result_unavailable","raw files and mqpar only","metadata_downloaded","external_exact_cell_line","PXD030304","HeLa SIDM00846","data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt",4190,"downloaded_and_counted","exact_cell_line","Lactylome site table still unavailable",FALSE,FALSE
"PXD046344","slc4a7_luad_lactylome","LUAD control and SLC4A7","lung adenocarcinoma model","usable_global_lactylome","remote SEARCH_lactylome.zip","remote_available_not_downloaded","same_study_conventional_proteome","PXD046344","matched Ctrl and SLC samples","remote SEARCH.zip",,"remote_available_not_downloaded","exact_same_study","Processed archives total about 3.5 GB",TRUE,TRUE
"PXD046800","hypertrophic_scar_lactylome","hypertrophic scar","hypertrophic scar tissue","usable_global_lactylome","data/PXD046800/search_results/HFX2_LFQ_QB001_Lacty_Proteins.txt","downloaded","same_study_conventional_proteome","PXD046800","HSP1;HSP2;HSP3;HSP4","data/PXD046800/search_results/HFX2_LFQ_QB002_Proteins.txt",2193,"downloaded_and_counted","exact_same_study","Only the four hypertrophic-scar HSP columns are used; adjacent-skin NSP columns are excluded from this row",TRUE,TRUE
"PXD046800","hypertrophic_scar_lactylome","adjacent skin","adjacent skin tissue","usable_global_lactylome","data/PXD046800/search_results/HFX2_LFQ_QB001_Lacty_Proteins.txt","downloaded","same_study_conventional_proteome","PXD046800","4 adjacent skin samples","data/PXD046800/search_results/HFX2_LFQ_QB002_Proteins.txt",2205,"downloaded_and_counted","exact_same_study","Adjacent tissue must be labelled as adjacent rather than healthy normal",TRUE,TRUE
"PXD047535","oral_carcinoma_lactylome","OSCC tumor and paired material","oral squamous cell carcinoma tissue","duplicate_under_review","remote search.zip","remote_available_not_downloaded","unresolved_reference","not_selected","not_selected","not_selected",,"not_selected","duplicate_resolution_pending","Do not count until PXD047535 and PXD047673 are resolved",FALSE,FALSE
"PXD047673","oral_carcinoma_lactylome","OSCC mirror candidate","oral squamous cell carcinoma tissue","duplicate_under_review","remote search.zip","remote_available_not_downloaded","duplicate_candidate","PXD047535","canonical study under review","not_applicable",,"not_applicable","duplicate_resolution_pending","Do not count independently",FALSE,FALSE
"PXD048995","kyse30_histone_lactylome","KYSE30 hypoxia","ESCC cell line histone-focused","usable_method_specific","raw file and mqpar only","metadata_downloaded","method_specific_no_primary_pair","not_applicable","not_applicable","not_applicable",,"not_applicable","histone_focused","Not a complete whole-protein lactylome",FALSE,FALSE
"PXD050147","sirt_hepg2_lactylome","HepG2 WT and SIRT1 or SIRT3 KO","hepatocellular carcinoma cell line","usable_global_lactylome","data/PXD050147/search_results/Lactyl_K_Sites.txt","downloaded","same_study_protein_background_under_review","PXD050147","SIRT proteinGroups","data/PXD050147/search_results/SIRT_proteinGroups.txt",7609,"downloaded_and_counted","same_study_requires_method_check","The counted same-study protein background is retained with a method-attribute warning",TRUE,TRUE
"PXD050470","human_hippocampus_lactylome","human hippocampus","human hippocampus tissue","usable_global_lactylome","data/PXD050470/supplementary/prca2331-sup-0005-tables3.xlsx","downloaded_and_used","same_study_same_biospecimen_non_ptm_proteome","PXD050470","H072;H081;H0187","data/PXD050470/supplementary/prca2331-sup-0006-tables4.xlsx",6082,"downloaded_and_counted","exact_same_biospecimen","Same-study Table S4 ordinary whole-proteome intensities for the same three hippocampus samples; no CA1 substitution and no GeneSymbol conversion",TRUE,TRUE
"PXD050906","nbs1_ags_cisplatin_resistance","AGS parental and resistant","gastric cancer cell line","hold","local and repository files","hold","excluded_hold","not_applicable","not_applicable","not_applicable",,"not_applicable","excluded_by_teacher","Mirror of PXD038880",FALSE,FALSE
"PXD053029","ythdc1_achn_hypoxia","ACHN normoxia and hypoxia","renal carcinoma cell line","usable_global_lactylome","remote PXD053029 combined.zip","remote_available_not_downloaded","same_study_conventional_proteome","PXD052772","matched ACHN normoxia and hypoxia","data/PXD052772/search_results/txt.zip",6926,"downloaded_and_counted","exact_same_study","Lactylome processed archive is about 7.9 GB",TRUE,TRUE
"PXD053474","hct116_subcellular_lactylome","HCT116","colorectal cancer cell line","usable_global_lactylome","data/PXD053474/search_results/* and supplementary S3","downloaded_and_used","external_exact_cell_line","PXD030304","HCT-116 SIDM00783","data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt",4010,"downloaded_and_counted","exact_cell_line","Independent ordinary proteome atlas",TRUE,TRUE
"PXD054919","hat1_rpa1_lung_adenocarcinoma","A549","lung adenocarcinoma cell line","usable_global_lactylome","data/PXD054919/supplementary/41419_2025_8113_MOESM2_ESM.xlsx","downloaded_and_qc_passed","external_exact_cell_line","PXD030304","A549 SIDM00903","data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt",3448,"downloaded_and_counted","exact_cell_line","Repository Results.zip is zero-filled; Kla evidence comes from author supplement",TRUE,TRUE
"PXD055230","herpesvirus_lactylation","human fibroblasts mock and HCMV or HSV-1","primary human fibroblast culture","usable_global_lactylome","data/PXD055230/search_results/LaIP_HSV1_DIA.tsv","downloaded_and_qc_passed","same_study_conventional_proteome","PXD055230","matched WP mock and infection reports","data/PXD055230/search_results/WP_HSV1_DIA.tsv",9498,"downloaded_and_counted","exact_same_study","Processed reports total about 16 GB including DDA msf",TRUE,TRUE
"PXD057709","herpesvirus_lactylation","human fibroblasts mock and HCMV","primary human fibroblast culture","same_study_component","data/PXD057709/search_results/LaIP_report.tsv","downloaded_and_qc_passed","same_study_conventional_proteome","PXD057709","matched WP_report.tsv","data/PXD057709/search_results/WP_report.tsv",8546,"downloaded_and_counted","exact_same_study","Same publication family as PXD055230; do not count as an independent study",TRUE,TRUE
"PXD058534","hk2_pretreated_lactylome","pretreated HK-2","immortalized proximal tubule cell line","usable_global_lactylome","data/PXD058534/search_results/txt.zip","downloaded","external_exact_cell_line","PXD072220","untreated HK-2 controls","data/PXD072220/search_results/HK-2_Spectronaut-report_PG_Quantity.txt",4897,"downloaded_and_counted","exact_cell_line","Experimental pretreatment still requires publication clarification",TRUE,TRUE
"PXD060185","breast_cancer_lactylome","MCF10A","non-tumorigenic immortalized mammary cell line","usable_global_lactylome","data/PXD060185/search_results/RESULT.rar","downloaded_and_used","external_exact_cell_line","PXD002400","MCF-10A baseline","data/PXD002400/search_results/msms.zip",4839,"downloaded_and_counted","exact_cell_line","Independent ordinary proteome",TRUE,TRUE
"PXD060185","breast_cancer_lactylome","MCF7","breast cancer cell line","usable_global_lactylome","data/PXD060185/search_results/RESULT.rar","downloaded_and_used","external_exact_cell_line","PXD030304","MCF7 SIDM00148","data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt",3099,"downloaded_and_counted","exact_cell_line","Independent ordinary proteome atlas",TRUE,TRUE
"PXD060185","breast_cancer_lactylome","MDA-MB-468","triple-negative breast cancer cell line","usable_global_lactylome","data/PXD060185/search_results/RESULT.rar","downloaded_and_used","external_exact_cell_line","PXD030304","MDA-MB-468 SIDM00628","data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt",3760,"downloaded_and_counted","exact_cell_line","Independent ordinary proteome atlas",TRUE,TRUE
"PXD060185","breast_cancer_lactylome","T-47D","breast cancer cell line","usable_global_lactylome","data/PXD060185/search_results/RESULT.rar","downloaded_and_used","external_exact_cell_line","PXD030304","T47D SIDM00097","data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt",3516,"downloaded_and_counted","exact_cell_line","Independent ordinary proteome atlas",TRUE,TRUE
"PXD062720","bladder_cancer_lactylome","bladder cancer cells treated with EPI","bladder cancer cell model","usable_global_lactylome","data/PXD062720/search_results/txt.zip","downloaded","unresolved_reference",,,,,"not_selected","no_exact_reference_found","已下载的proteinGroups.txt为Kla富集检索结果：2223条有效蛋白中2060条具有La(K) site IDs，且仅487条具有A_1/A_3强度；不能作为普通全蛋白强度参照",TRUE,FALSE
"PXD063047","placenta_preeclampsia_lactylome","normal pregnancy placenta","normal placenta tissue","usable_global_lactylome","data/PXD063047/search_results/extracted/combined/txt/La (K)Sites.txt","downloaded_and_qc_passed","external_exact_healthy_tissue","PXD010154","healthy placenta tissue","data/PXD010154/search_results/extracted_healthy_tissues/placenta/P013680_placenta_proteinGroups.txt",14970,"downloaded_and_counted","exact_organ_tissue","Independent non-enriched healthy placenta proteome; the deposited PXD063047 search is Kla-enriched",TRUE,TRUE
"PXD063047","placenta_preeclampsia_lactylome","severe preeclampsia placenta","preeclampsia placenta tissue","usable_global_lactylome","data/PXD063047/search_results/extracted/combined/txt/La (K)Sites.txt","downloaded_and_qc_passed","unresolved_reference",,,,,"not_selected","no_exact_reference_found","未找到同时满足重度子痫前期胎盘且具有逐蛋白强度的完全匹配普通蛋白组；PXD055025为早发型子痫前期，不能静默等同于重度子痫前期",TRUE,FALSE
"PXD063266","pc3m_lactylome","PC-3M","prostate cancer cell line","usable_global_lactylome","data/PXD063266/search_results/LactylSites.xlsx","downloaded","external_exact_cell_line","PXD022005","PC-3M heavy SILAC channel","data/PXD022005/search_results/txt_proteomics.zip",8049,"downloaded_and_counted","exact_cell_line","PC-3M在PXD022005中为heavy SILAC通道；只使用Intensity H",TRUE,TRUE
"PXD063945","escc_neoadjuvant_lactylome","ESCC before and after neoadjuvant chemotherapy","ESCC tumor tissue","usable_global_lactylome","remote Lac_combined.rar","remote_available_not_downloaded","same_study_conventional_proteome","PXD063945","matched 62 tumor samples","remote pro_combined.rar",,"remote_available_not_downloaded","exact_same_study","Processed archives total about 29 GB",TRUE,TRUE
"PXD064038","escc_lactylome","MEC and NEC ESCC groups","ESCC tumor tissue","usable_global_lactylome","data/PXD064038/search_results/txt.zip","downloaded","unresolved_reference",,,,,"not_selected","no_exact_reference_found","已核查的ESCC候选中可解析小文件仅提供蛋白鉴定或肿瘤/正常比值，89对队列文件不可解析，未获得可审计的逐蛋白绝对强度",TRUE,FALSE
"PXD064912","human_sperm_lactylome","human sperm","normal human sperm biospecimen","usable_global_lactylome","data/PXD064912/supplementary/europepmc/mmc1.xlsx","downloaded_and_qc_passed","external_exact_biospecimen","PXD066517","human sperm conventional DIA proteome","data/PXD066517/search_results/20240275.tsv",10464,"downloaded_and_counted","exact_biospecimen","Main Kla count uses the open-access author supplementary site table; the deposited SNE remains proprietary and unparsed",TRUE,TRUE
"PXD065831","endometrioid_cancer_lactylome","normal endometrium","normal endometrial tissue","usable_global_lactylome","remote 20181004_081418_YAS202408210011-2.sne","remote_available_not_downloaded","same_study_conventional_proteome","PXD065831","matched NE samples","data/PXD065831/search_results/extracted_pairing/YAS202408210011-1/YAS202408210011-1.pg_matrix.tsv",10937,"downloaded_and_counted","exact_same_study","Lactylome is only available as an approximately 2.7 GB proprietary Spectronaut SNE; the downloaded -1 RAR is the ordinary proteome",TRUE,TRUE
"PXD065831","endometrioid_cancer_lactylome","low or middle or high grade endometrioid cancer","endometrioid endometrial cancer tissue","usable_global_lactylome","remote 20181004_081418_YAS202408210011-2.sne","remote_available_not_downloaded","same_study_conventional_proteome","PXD065831","matched L-MEEC and HEEC samples","data/PXD065831/search_results/extracted_pairing/YAS202408210011-1/YAS202408210011-1.pg_matrix.tsv",11287,"downloaded_and_counted","exact_same_study","Lactylome is only available as an approximately 2.7 GB proprietary Spectronaut SNE; the downloaded -1 RAR is the ordinary proteome",TRUE,TRUE
"PXD066054","prostate_cancer_bph_lactylome","BPH","benign prostatic hyperplasia tissue","usable_global_lactylome","data/PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv","downloaded_and_qc_passed","same_study_conventional_proteome","PXD066054","NAT1 to NAT5 BPH samples","data/PXD066054/search_results/extracted/DA/Protein_Quant.tsv",8169,"downloaded_and_counted","exact_same_study","BPH is benign disease rather than healthy prostate",TRUE,TRUE
