"PXD","样本组","行标签","材料类型","逐蛋白身份审计状态","定量可用","定量样本数","定量层级","使用的定量字段","定量Kla特征数","定量调控蛋白数","调控蛋白身份匹配","GeneSymbol回退数","跨研究热图数值","可做PXD内Z分数","严格配对分析纳入","严格配对排除原因","限制或不可用原因","定量来源文件"
"PXD033146","pathological rotator cuff tendon","病理性肩袖肌腱 · PXD033146","diseased tendon tissue","逐蛋白可审计",TRUE,1,"Kla_site","MaxQuant site Intensity",435,2,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",FALSE,TRUE,"","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD033146/search_results/extracted_pairing/search_result-HA119TPLa/La (K)Sites.txt"
"PXD036307","normal human lung","正常人肺组织 · PXD036307","normal lung tissue","逐蛋白可审计",TRUE,6,"Kla_site","MaxQuant site Intensity",373,2,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",TRUE,TRUE,"","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD036307/search_results/extracted/txt/La (K)Sites.txt"
"PXD046800","hypertrophic scar","增生性瘢痕 · PXD046800","hypertrophic scar tissue","逐蛋白可审计",TRUE,4,"modified_peptide","Proteome Discoverer lactylated peptide normalized abundance",324,3,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",TRUE,TRUE,"","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD046800/search_results/HFX2_LFQ_QB001_Lacty_PeptideGroups.txt"
"PXD046800","adjacent skin","邻近皮肤 · PXD046800","adjacent skin tissue","逐蛋白可审计",TRUE,4,"modified_peptide","Proteome Discoverer lactylated peptide normalized abundance",373,3,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",TRUE,TRUE,"","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD046800/search_results/HFX2_LFQ_QB001_Lacty_PeptideGroups.txt"
"PXD050470","human hippocampus","人海马组织 · PXD050470","human hippocampus tissue","逐蛋白可审计",TRUE,3,"Kla_site","author supplementary site Intensity",853,4,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",TRUE,TRUE,"","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD050470/supplementary/prca2331-sup-0005-tables3.xlsx"
"PXD063047","normal pregnancy placenta","正常妊娠胎盘 · PXD063047","normal placenta tissue","逐蛋白可审计",TRUE,3,"Kla_site","MaxQuant site Intensity",223,1,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",TRUE,TRUE,"","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD063047/search_results/extracted/combined/txt/La (K)Sites.txt"
"PXD064912","human sperm","人精子 · PXD064912","normal human sperm biospecimen","逐蛋白可审计",TRUE,3,"Kla_site","author PTM.Quantity",231,0,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",TRUE,TRUE,"","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD064912/supplementary/europepmc/mmc1.xlsx"
"PXD066054","BPH","良性前列腺增生 · PXD066054","benign prostatic hyperplasia tissue","逐蛋白可审计",TRUE,5,"Kla_site","Spectronaut PTM.Quantity",2105,15,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",TRUE,TRUE,"","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv"
"PXD075377","adjacent liver","邻近肝组织 · PXD075377","adjacent liver tissue","逐蛋白可审计",TRUE,1,"Kla_site","author site Intensity",1775,13,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",FALSE,TRUE,"","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD075377/search_results/extracted/2-Basic_analysis/MS_identified_information.txt"
"PXD037371","normal liver","正常肝组织 · PXD037371","normal liver tissue","组别无法拆分",FALSE,0,"","",0,0,"UniProt BaseAccession only",0,"",FALSE,FALSE,"Kla本身没有可用的逐组定量值；保留原始审计，但不进入配对分析。","位点表含TMT reporter intensity，但当前缺少三类临床组与通道的可靠映射，不能拆分到对应组织组。",""
