"Field","Value"
"AlgorithmVersion","whole_proteome_regulator_rank_v6_unique_reference_display"
"InputData","ordinary whole-proteome quantitative files or selected normal whole-proteome references"
"SignalFilter","finite Signal > 0; reverse/contaminant/only-identified-by-site rows excluded when available"
"Transform","raw intensity uses log2(Signal + 1); pre-log2 quantities are ranked directly"
"RankingUniverse","all retained whole-proteome features within each QuantSample"
"PercentileFormula","100 * (average_rank - 1) / (n_features - 1)"
"TieHandling","average rank for ties"
"SampleGroupAggregation","median percentile across QuantSample replicates/conditions within PXD and SampleGroup"
"UndetectedRegulatorHandling","0 percentile for a regulator not detected in an otherwise usable whole-proteome sample"
"NoWholeProteomeHandling","sample group excluded from the ordinary-proteome heatmap when no exact per-protein quantitative reference exists"
"IdentityKey","UniProt BaseAccession after isoform suffix removal; Ensembl protein IDs are converted to UniProt by the project mapping table; reviewed status is annotation only"
"EnsemblProteinMapping","ENSP(_RNA/version) -> UniProt BaseAccession via ensembl_protein_to_uniprot_biomart.tsv; GeneSymbol is never used as a fallback"
"GeneSymbolRole","display/audit only; never used for matching or aggregation"
"KlaSignalSubstitution","never; Kla-enriched intensity is not used as a fallback"
"HeatmapRowGrouping","normal_tissue -> cancer_tissue -> normal_cells -> cancer_cells; same material/treatment rows are adjacent; exact shared references for HK-2, MCF7, and HCT116 are displayed once"
