"PXD","SampleGroup","KlaLabelEn","KlaLabelZh","ReferenceLabelEn","ReferenceLabelZh","NamingBasis"
"PXD033146","pathological rotator cuff tendon","Pathological rotator-cuff tendon","病理性肩袖肌腱","Pathological rotator-cuff tendon","病理性肩袖肌腱","Matched pathological tendon samples"
"PXD036307","normal human lung","Normal human lung tissue","正常人肺组织","Healthy human lung tissue","健康人肺组织","Independent healthy whole-lung reference"
"PXD046800","hypertrophic scar","Hypertrophic scar tissue","增生性瘢痕组织","Hypertrophic scar tissue","增生性瘢痕组织","Same-study HSP1-HSP4 samples"
"PXD046800","adjacent skin","Adjacent skin tissue","邻近皮肤组织","Adjacent skin tissue","邻近皮肤组织","Same-study NSP1-NSP4 samples"
"PXD050470","human hippocampus","Human hippocampus tissue","人海马组织","Human hippocampus tissue","人海马组织","Same three hippocampus samples"
"PXD063047","normal pregnancy placenta","Normal-pregnancy placenta","正常妊娠胎盘","Healthy human placenta","健康人胎盘","Independent healthy placenta reference"
"PXD064912","human sperm","Human sperm","人精子","Human sperm","人精子","Independent conventional DIA sperm proteome"
"PXD066054","BPH","Benign prostatic hyperplasia tissue","良性前列腺增生组织","Benign prostatic hyperplasia tissue","良性前列腺增生组织","Same-study NAT1-NAT5 BPH samples"
"PXD075377","adjacent liver","Adjacent liver tissue","邻近肝组织","Adjacent liver tissue","邻近肝组织","Independent ANTs adjacent-liver cohort"
"PXD066054","prostate cancer","Prostate cancer tissue","前列腺癌组织","Prostate cancer tissue","前列腺癌组织","Same-study PCa1-PCa5 samples"
"PXD075377","HCC","HCC tissue","肝细胞癌组织","Primary HCC tissue","原发性肝细胞癌组织","Independent CISs HCC cohort"
"PXD060185","MCF7","MCF7 cells","MCF7细胞","MCF7 cells","MCF7细胞","Independent cell-line baseline"
"PXD028488","HCT116","HCT116 cells","HCT116细胞","HCT116 cells","HCT116细胞","Independent cell-line baseline"
"PXD053474","HCT116","HCT116 cells (subcellular fractions)","HCT116细胞（亚细胞分级）","HCT116 cells","HCT116细胞","Kla subcellular fractionation with independent baseline reference"
"PXD066351","HCT116 control and Roseburia co-culture","HCT116 cells (control and Roseburia co-culture)","HCT116细胞（对照与Roseburia共培养）","HCT116 cells (control and Roseburia co-culture)","HCT116细胞（对照与Roseburia共培养）","Same-study matched ordinary-proteome conditions"
"PXD028488","TALL-104","TALL-104 cells (sodium lactate)","TALL-104细胞（乳酸钠处理）","TALL-104 cells (sodium lactate)","TALL-104细胞（乳酸钠处理）","Same-study lactate-exposed non-enriched arm"
"PXD050147","HepG2 WT and SIRT1 or SIRT3 KO","HepG2 cells (WT, SIRT1 KO and SIRT3 KO)","HepG2细胞（WT、SIRT1 KO与SIRT3 KO）","HepG2 cells (WT, SIRT1 KO and SIRT3 KO)","HepG2细胞（WT、SIRT1 KO与SIRT3 KO）","Same-study protein background with matched genotypes"
"PXD054919","A549","A549 cells","A549细胞","A549 cells","A549细胞","Independent cell-line baseline"
"PXD060185","MDA-MB-468","MDA-MB-468 cells","MDA-MB-468细胞","MDA-MB-468 cells","MDA-MB-468细胞","Independent cell-line baseline"
"PXD060185","T-47D","T-47D cells","T-47D细胞","T-47D cells","T-47D细胞","Independent cell-line baseline"
"PXD063266","PC-3M","PC-3M cells","PC-3M细胞","Heavy SILAC-labeled PC-3M cells","重SILAC标记的PC-3M细胞","Independent heavy-channel SILAC reference"
"PXD070007","glioblastoma stem cells","Glioblastoma stem-cell models","胶质母细胞瘤干细胞模型","Glioblastoma stem-cell models","胶质母细胞瘤干细胞模型","Same six GSC models"
"PXD078013","RKO WT and GSK3B KO","RKO cells (WT and GSK3B KO)","RKO细胞（WT与GSK3B KO）","RKO cells","RKO细胞","Independent untreated cell-line baseline"
"PXD028488","HEK293T","HEK293T cells","HEK293T细胞","HEK293T cells (control lysate)","HEK293T细胞（对照裂解物）","Independent control-lysate reference"
"PXD028737","HMC3","HMC3 cells (normoxia and hypoxia)","HMC3细胞（常氧与低氧）","HMC3 cells (normoxia and hypoxia)","HMC3细胞（常氧与低氧）","Same-study H0-H24 conditions"
"PXD058534","pretreated HK-2","HK-2 cells (IR-CM treated)","HK-2细胞（IR-CM处理）","Untreated HK-2 cells","未处理HK-2细胞","Kla condition verified from Nature Communications 2025, DOI 10.1038/s41467-025-66991-3; independent untreated baseline reference"
"PXD078736","HK-2 control and mannitol","HK-2 cells (normoxia and hypoxia-reoxygenation)","HK-2细胞（常氧与缺氧-复氧）","Untreated HK-2 cells","未处理HK-2细胞","Kla conditions verified from JCI 2026, DOI 10.1172/JCI201848; independent untreated baseline reference"
"PXD060185","MCF10A","MCF10A cells","MCF10A细胞","MCF10A cells (baseline)","MCF10A细胞（基线）","Independent cell-line baseline"
"PXD070007","neural stem cells","Neural stem-cell models","神经干细胞模型","Neural stem-cell models","神经干细胞模型","Same two NSC models"
"PXD073311","HUVEC control and Pg infection","HUVECs (control and P. gingivalis infection)","HUVEC（对照与Pg感染）","HUVECs (A0h baseline)","HUVEC（A0h基线）","Same-study A0h ordinary-proteome baseline"
