BaseAccession	PanelMembership	EnsemblGeneIDs	NGeneIDs	AmbiguousGeneMapping	EntrezGeneIDs	EnsemblGeneViaEntrez	CachedEnsemblProteinIDs	CrossCheck
A0A024R1A3	ReferenceDdr		0	False	7317	ENSG00000130985	ENSP00000366568	no_ensembl_gene
A0A024R2L1	DdrGoUniverse;ReferenceDdr		0	False	57599	ENSG00000114742	ENSP00000307491	no_ensembl_gene
A0A024R3B0	ReferenceDdr		0	False	28970	ENSG00000182919	ENSP00000433721	no_ensembl_gene
A0A024R4A8	ReferenceDdr		0	False	666	ENSG00000176720	ENSP00000314132	no_ensembl_gene
A0A024R542	ReferenceDdr		0	False	85456	ENSG00000149115	ENSP00000350990	no_ensembl_gene
A0A024R625	ReferenceDdr		0	False	5531	ENSG00000149923	ENSP00000455995	no_ensembl_gene
A0A024R688	DdrGoUniverse		0	False	4331	ENSG00000020426		no_ensembl_gene
A0A024R6A3	ReferenceDdr		0	False	5663	ENSG00000080815	ENSP00000326366	no_ensembl_gene
A0A024R7L5	ReferenceDdr		0	False	5976	ENSG00000005007	ENSP00000262803	no_ensembl_gene
A0A024R9N2	DdrGoUniverse		0	False	2176	ENSG00000158169		no_ensembl_gene
A0A024RAZ8	DdrGoUniverse;ReferenceDdr		0	False	23583	ENSG00000123415	ENSP00000338606	no_ensembl_gene
A0A024RCR2	ReferenceDdr		0	False			ENSP00000365806	no_ensembl_gene
A0A024RCV8	DdrGoUniverse	ENSG00000254405;ENSG00000255152;ENSG00000266027;ENSG00000266442	4	True				route2_unavailable_no_entrez
A0A059PXT9	DdrGoUniverse		0	False				no_ensembl_gene
A0A059PXU1	DdrGoUniverse		0	False				no_ensembl_gene
A0A075B7D2	DdrGoUniverse	ENSG00000158019	1	False				route2_unavailable_no_entrez
A0A087WSW7	DdrGoUniverse	ENSG00000119969	1	False	3070	ENSG00000119969		agree
A0A087WTM4	DdrGoUniverse	ENSG00000131778	1	False				route2_unavailable_no_entrez
A0A087WTZ8	DdrGoUniverse	ENSG00000156831	1	False	286053	ENSG00000156831		agree
A0A087WW42	DdrGoUniverse	ENSG00000177084	1	False				route2_unavailable_no_entrez
A0A087WW44	DdrGoUniverse	ENSG00000158169	1	False	2176	ENSG00000158169		agree
A0A087WW71	DdrGoUniverse	ENSG00000134574	1	False				route2_unavailable_no_entrez
A0A087WWF6	ReferenceDdr	ENSG00000106628	1	False	5425	ENSG00000106628	ENSP00000480186	agree
A0A087WWV3	DdrGoUniverse;ReferenceDdr	ENSG00000256514	1	False			ENSP00000480527	route2_unavailable_no_entrez
A0A087WWW4	DdrGoUniverse	ENSG00000131778	1	False				route2_unavailable_no_entrez
A0A087WX20	DdrGoUniverse	ENSG00000076242	1	False	4292	ENSG00000076242		agree
A0A087WX51	DdrGoUniverse	ENSG00000177084	1	False				route2_unavailable_no_entrez
A0A087WYD5	DdrGoUniverse	ENSG00000111358	1	False	2967	ENSG00000111358		agree
A0A087WYT8	DdrGoUniverse	ENSG00000134574	1	False				route2_unavailable_no_entrez
A0A087WZ35	DdrGoUniverse	ENSG00000108384	1	False				route2_unavailable_no_entrez
A0A087X072	DdrGoUniverse	ENSG00000160957	1	False	9401	ENSG00000160957		agree
A0A087X0C0	DdrGoUniverse	ENSG00000115392	1	False				route2_unavailable_no_entrez
A0A087X0E9	DdrGoUniverse	ENSG00000149311	1	False				route2_unavailable_no_entrez
A0A087X0X5	DdrGoUniverse	ENSG00000134574	1	False				route2_unavailable_no_entrez
A0A087X1V5	DdrGoUniverse	ENSG00000104320	1	False				route2_unavailable_no_entrez
A0A090HNM7	DdrGoUniverse		0	False				no_ensembl_gene
A0A0A0MRH8	DdrGoUniverse	ENSG00000131778	1	False	9557	ENSG00000131778		agree
A0A0A0MRW7	DdrGoUniverse;ReferenceDdr	ENSG00000137074	1	False				route2_unavailable_no_entrez
A0A0A0MRY1	DdrGoUniverse	ENSG00000163029	1	False				route2_unavailable_no_entrez
A0A0A0MSH9	DdrGoUniverse	ENSG00000131778	1	False	9557	ENSG00000131778		agree
A0A0A7E6R6	DdrGoUniverse		0	False				no_ensembl_gene
A0A0B4J1V9	DdrGoUniverse	ENSG00000119969	1	False	3070	ENSG00000119969		agree
A0A0C4DG07	DdrGoUniverse;ReferenceDdr	ENSG00000104320	1	False	4683	ENSG00000104320	ENSP00000386924	agree
A0A0C4DG44	ReferenceDdr	ENSG00000115317	1	False			ENSP00000399166	route2_unavailable_no_entrez
A0A0C4DGK8	DdrGoUniverse;ReferenceDdr	ENSG00000100823;ENSG00000291796	2	True				route2_unavailable_no_entrez
A0A0C4DGV9	DdrGoUniverse;ReferenceDdr	ENSG00000174405	1	False	3981	ENSG00000174405	ENSP00000480814	agree
A0A0D9SFL2	DdrGoUniverse	ENSG00000039650	1	False				route2_unavailable_no_entrez
A0A0F7CSW3	DdrGoUniverse		0	False				no_ensembl_gene
A0A0F7G9F8	DdrGoUniverse		0	False				no_ensembl_gene
A0A0F7G9Q0	DdrGoUniverse		0	False				no_ensembl_gene
A0A0F7G9S0	DdrGoUniverse		0	False				no_ensembl_gene
A0A0G2JHB4	DdrGoUniverse	ENSG00000233345;ENSG00000237333	2	True				route2_unavailable_no_entrez
A0A0G2JHJ2	DdrGoUniverse	ENSG00000221974;ENSG00000226384;ENSG00000233149;ENSG00000234370;ENSG00000236895	5	True				route2_unavailable_no_entrez
A0A0G2JIC1	DdrGoUniverse	ENSG00000233345;ENSG00000237333	2	True				route2_unavailable_no_entrez
A0A0G2JJ70	DdrGoUniverse	ENSG00000233345;ENSG00000237333;ENSG00000255419;ENSG00000264619	4	True				route2_unavailable_no_entrez
A0A0G2JK42	DdrGoUniverse	ENSG00000235569	1	False				route2_unavailable_no_entrez
A0A0G2JK88	DdrGoUniverse	ENSG00000230293;ENSG00000235222	2	True				route2_unavailable_no_entrez
A0A0G2JNH5	DdrGoUniverse	ENSG00000276618	1	False				route2_unavailable_no_entrez
A0A0G2JP31	DdrGoUniverse	ENSG00000276618	1	False				route2_unavailable_no_entrez
A0A0G2JP78	DdrGoUniverse	ENSG00000276618	1	False	5884	ENSG00000152942		disagree
A0A0G2JPT5	DdrGoUniverse	ENSG00000276618	1	False				route2_unavailable_no_entrez
A0A0G2SKE6	DdrGoUniverse		0	False				no_ensembl_gene
A0A0G2SKF3	DdrGoUniverse		0	False				no_ensembl_gene
A0A0K0K1K4	ReferenceDdr		0	False	5688	ENSG00000101182	ENSP00000359910	no_ensembl_gene
A0A0K0PU86	DdrGoUniverse		0	False				no_ensembl_gene
A0A0K0PUK0	DdrGoUniverse		0	False				no_ensembl_gene
A0A0S2Z391	ReferenceDdr		0	False	578	ENSG00000030110	ENSP00000363591	no_ensembl_gene
A0A0S2Z3C5	ReferenceDdr		0	False	598	ENSG00000171552	ENSP00000302564;ENSP00000389688	no_ensembl_gene
A0A0S2Z3F9	ReferenceDdr		0	False	1022	ENSG00000134058	ENSP00000256443	no_ensembl_gene
A0A0S2Z3H1	ReferenceDdr		0	False	835	ENSG00000106144	ENSP00000312664	no_ensembl_gene
A0A0S2Z3L1	DdrGoUniverse		0	False	1161	ENSG00000049167		no_ensembl_gene
A0A0S2Z3N5	DdrGoUniverse		0	False				no_ensembl_gene
A0A0S2Z3P2	DdrGoUniverse		0	False				no_ensembl_gene
A0A0S2Z3R2	DdrGoUniverse		0	False				no_ensembl_gene
A0A0S2Z3S1	DdrGoUniverse		0	False				no_ensembl_gene
A0A0S2Z490	DdrGoUniverse		0	False	5366	ENSG00000141682		no_ensembl_gene
A0A0S2Z491	ReferenceDdr		0	False	4869	ENSG00000181163	ENSP00000296930	no_ensembl_gene
A0A0S2Z4A5	ReferenceDdr		0	False	4176	ENSG00000166508	ENSP00000307288	no_ensembl_gene
A0A0S2Z4A7	DdrGoUniverse		0	False				no_ensembl_gene
A0A0S2Z4D1	DdrGoUniverse;ReferenceDdr		0	False	6794	ENSG00000118046	ENSP00000324856	no_ensembl_gene
A0A0S2Z4D2	ReferenceDdr		0	False	5663	ENSG00000080815	ENSP00000350342	no_ensembl_gene
A0A0S2Z4G7	ReferenceDdr		0	False	4869	ENSG00000181163	ENSP00000341168	no_ensembl_gene
A0A0S2Z4N5	DdrGoUniverse		0	False	8626	ENSG00000073282		no_ensembl_gene
A0A0S2Z4N6	DdrGoUniverse		0	False	8626	ENSG00000073282		no_ensembl_gene
A0A0S2Z4T1	ReferenceDdr		0	False	4172	ENSG00000112118	ENSP00000472940	no_ensembl_gene
A0A0S2Z514	ReferenceDdr		0	False	10463	ENSG00000014824	ENSP00000264451	no_ensembl_gene
A0A0S2Z526	DdrGoUniverse		0	False	23583	ENSG00000123415		no_ensembl_gene
A0A0S2Z5V6	DdrGoUniverse		0	False	91442	ENSG00000131944		no_ensembl_gene
A0A0U1RQC1	DdrGoUniverse	ENSG00000259316	1	False				route2_unavailable_no_entrez
A0A0U1RQJ8	DdrGoUniverse	ENSG00000164053	1	False				route2_unavailable_no_entrez
A0A0U1RQM0	DdrGoUniverse	ENSG00000259316	1	False				route2_unavailable_no_entrez
A0A0U1RQR9	DdrGoUniverse	ENSG00000164053	1	False				route2_unavailable_no_entrez
A0A0U1RQW3	DdrGoUniverse	ENSG00000164053	1	False				route2_unavailable_no_entrez
A0A0U1RRA9	DdrGoUniverse	ENSG00000012048	1	False	672	ENSG00000012048		agree
A0A0U1RRE6	DdrGoUniverse	ENSG00000123415	1	False				route2_unavailable_no_entrez
A0A0U1RRM7	DdrGoUniverse	ENSG00000164053	1	False				route2_unavailable_no_entrez
A0A109NGN6	ReferenceDdr		0	False	5686	ENSG00000143106	ENSP00000271308	no_ensembl_gene
A0A126LB18	DdrGoUniverse		0	False				no_ensembl_gene
A0A126LB28	DdrGoUniverse		0	False				no_ensembl_gene
A0A140T927	DdrGoUniverse	ENSG00000237333	1	False				route2_unavailable_no_entrez
