LookupSymbol,CandidateSymbol,Module,Reaction,EvidenceSource,Ensembl,Entrez,UniProt,Symbol,Role,Compartment,DirectionCaveat,InclusionReason
AARS1,AARS1,Lactyl substrate formation,L-lactate activation / lactyl donor formation reported in specific models,PMID:39561764; PMID:39642882; DOI:10.1038/s41586-024-07992-y,ENSG00000090861,16,A0A6Q8PF33,AARS1,enzyme,see frozen UniProt entry; localization not measured by RNA,Noncanonical activity depends on localization and biochemical context; total RNA is not activity,Mechanistic candidate: Lactyl substrate formation
AARS1,AARS1,Lactyl substrate formation,L-lactate activation / lactyl donor formation reported in specific models,PMID:39561764; PMID:39642882; DOI:10.1038/s41586-024-07992-y,ENSG00000090861,16,A6NF14,AARS1,enzyme,see frozen UniProt entry; localization not measured by RNA,Noncanonical activity depends on localization and biochemical context; total RNA is not activity,Mechanistic candidate: Lactyl substrate formation
AARS1,AARS1,Lactyl substrate formation,L-lactate activation / lactyl donor formation reported in specific models,PMID:39561764; PMID:39642882; DOI:10.1038/s41586-024-07992-y,ENSG00000090861,16,B4DR45,AARS1,enzyme,see frozen UniProt entry; localization not measured by RNA,Noncanonical activity depends on localization and biochemical context; total RNA is not activity,Mechanistic candidate: Lactyl substrate formation
AARS1,AARS1,Lactyl substrate formation,L-lactate activation / lactyl donor formation reported in specific models,PMID:39561764; PMID:39642882; DOI:10.1038/s41586-024-07992-y,ENSG00000090861,16,P49588,AARS1,enzyme,see frozen UniProt entry; localization not measured by RNA,Noncanonical activity depends on localization and biochemical context; total RNA is not activity,Mechanistic candidate: Lactyl substrate formation
AARS1,AARS1,Lactyl substrate formation,L-lactate activation / lactyl donor formation reported in specific models,PMID:39561764; PMID:39642882; DOI:10.1038/s41586-024-07992-y,ENSG00000090861,16,Q53GV7,AARS1,enzyme,see frozen UniProt entry; localization not measured by RNA,Noncanonical activity depends on localization and biochemical context; total RNA is not activity,Mechanistic candidate: Lactyl substrate formation
AARS1,AARS1,Lactyl substrate formation,L-lactate activation / lactyl donor formation reported in specific models,PMID:39561764; PMID:39642882; DOI:10.1038/s41586-024-07992-y,ENSG00000090861,16,Q96FA0,AARS1,enzyme,see frozen UniProt entry; localization not measured by RNA,Noncanonical activity depends on localization and biochemical context; total RNA is not activity,Mechanistic candidate: Lactyl substrate formation
AARS1,AARS1,Lactyl substrate formation,L-lactate activation / lactyl donor formation reported in specific models,PMID:39561764; PMID:39642882; DOI:10.1038/s41586-024-07992-y,ENSG00000090861,16,A0A6Q8PH44,AARS1,enzyme,see frozen UniProt entry; localization not measured by RNA,Noncanonical activity depends on localization and biochemical context; total RNA is not activity,Mechanistic candidate: Lactyl substrate formation
AARS1,AARS1,Lactyl substrate formation,L-lactate activation / lactyl donor formation reported in specific models,PMID:39561764; PMID:39642882; DOI:10.1038/s41586-024-07992-y,ENSG00000090861,16,A0A6Q8PHJ2,AARS1,enzyme,see frozen UniProt entry; localization not measured by RNA,Noncanonical activity depends on localization and biochemical context; total RNA is not activity,Mechanistic candidate: Lactyl substrate formation
AARS2,AARS2,Lactyl substrate formation,L-lactate activation / lactyl donor formation reported in specific models,PMID:39561764; PMID:39642882; DOI:10.1038/s41586-024-07992-y,ENSG00000124608,57505,A2RRN5,AARS2,enzyme,see frozen UniProt entry; localization not measured by RNA,Noncanonical activity depends on localization and biochemical context; total RNA is not activity,Mechanistic candidate: Lactyl substrate formation
AARS2,AARS2,Lactyl substrate formation,L-lactate activation / lactyl donor formation reported in specific models,PMID:39561764; PMID:39642882; DOI:10.1038/s41586-024-07992-y,ENSG00000124608,57505,Q5JTZ9,AARS2,enzyme,see frozen UniProt entry; localization not measured by RNA,Noncanonical activity depends on localization and biochemical context; total RNA is not activity,Mechanistic candidate: Lactyl substrate formation
