UniProt,GeneName,Compartment,Function,CatalyticReaction,LastAnnotationUpdate
O00757,FBP2,"Cell junction; Cytoplasm; Cytoplasm, myofibril, sarcomere, Z line; Nucleus","Catalyzes the hydrolysis of fructose 1,6-bisphosphate to fructose 6-phosphate in the presence of divalent cations and probably participates in glycogen synthesis from carbohydrate precursors, such as lactate","beta-D-fructose 1,6-bisphosphate + H2O = beta-D-fructose 6-phosphate + phosphate",2026-09-02
O60669,SLC16A7,Basolateral cell membrane; Cell membrane; Cytoplasm,"Proton-coupled monocarboxylate symporter. Catalyzes the rapid transport across the plasma membrane of monocarboxylates such as L-lactate, pyruvate and ketone bodies, acetoacetate, beta-hydroxybutyrate and acetate (PubMed:32415067, PubMed:9786900). Dimerization is functionally required and both subunits work cooperatively in transporting substrate (PubMed:32415067)",pyruvate(out) + H(+)(out) = pyruvate(in) + H(+)(in) | 3-methyl-2-oxobutanoate(out) + H(+)(out) = 3-methyl-2-oxobutanoate(in) + H(+)(in) | (S)-lactate(in) + H(+)(in) = (S)-lactate(out) + H(+)(out) | acetoacetate(out) + H(+)(out) = acetoacetate(in) + H(+)(in) | (R)-3-hydroxybutanoate(out) + H(+)(out) = (R)-3-hydroxybutanoate(in) + H(+)(in) | 4-methyl-2-oxopentanoate(out) + H(+)(out) = 4-methyl-2-oxopentanoate(in) + H(+)(in) | (S)-3-hydroxybutanoate(out) + H(+)(out) = (S)-3-hydroxybutanoate(in) + H(+)(in),2026-09-02
O15427,SLC16A3,Basolateral cell membrane; Cell membrane,"Proton-dependent transporter of monocarboxylates such as L-lactate and pyruvate (PubMed:11101640, PubMed:23935841, PubMed:31719150). Plays a predominant role in L-lactate efflux from highly glycolytic cells (By similarity)",(S)-lactate(in) + H(+)(in) = (S)-lactate(out) + H(+)(out) | pyruvate(out) + H(+)(out) = pyruvate(in) + H(+)(in),2026-09-02
O95907,SLC16A8,Basolateral cell membrane,Probable retinal pigment epithelium (RPE)-specific proton-coupled L-lactate transporter (By similarity). May facilitate transport of lactate and H(+) out of the retina and could therefore play a role in pH and ion homeostasis of the outer retina (By similarity),(S)-lactate(in) + H(+)(in) = (S)-lactate(out) + H(+)(out),2026-09-02
P00338,LDHA,Cytoplasm,Interconverts simultaneously and stereospecifically pyruvate and lactate with concomitant interconversion of NADH and NAD(+),(S)-lactate + NAD(+) = pyruvate + NADH + H(+),2026-09-02
P09467,FBP1,,"Catalyzes the hydrolysis of fructose 1,6-bisphosphate to fructose 6-phosphate in the presence of divalent cations, acting as a rate-limiting enzyme in gluconeogenesis. Plays a role in regulating glucose sensing and insulin secretion of pancreatic beta-cells. Appears to modulate glycerol gluconeogenesis in liver. Important regulator of appetite and adiposity; increased expression of the protein in liver after nutrient excess increases circulating satiety hormones and reduces appetite-stimulating neuropeptides and thus seems to provide a feedback mechanism to limit weight gain","beta-D-fructose 1,6-bisphosphate + H2O = beta-D-fructose 6-phosphate + phosphate",2026-09-02
P36871,PGM1,Cytoplasm,"Catalyzes the reversible isomerization of alpha-D-glucose 1-phosphate to alpha-D-glucose 6-phosphate (PubMed:15378030, PubMed:25288802). The mechanism proceeds via the intermediate compound alpha-D-glucose 1,6-bisphosphate (Probable) (PubMed:25288802). This enzyme participates in both the breakdown and synthesis of glucose (PubMed:17924679, PubMed:25288802)","alpha-D-glucose 1-phosphate = alpha-D-glucose 6-phosphate | O-phospho-L-seryl-[protein] + alpha-D-glucose 1-phosphate = alpha-D-glucose 1,6-bisphosphate + L-seryl-[protein] | alpha-D-glucose 1,6-bisphosphate + L-seryl-[protein] = O-phospho-L-seryl-[protein] + alpha-D-glucose 6-phosphate",2026-09-02
O95563,MPC2,Mitochondrion inner membrane,"Mediates the uptake of pyruvate into mitochondria to maintain the balance between glycolysis and oxidative phosphorylation (PubMed:22628558, PubMed:26253029, PubMed:27317664, PubMed:29472561, PubMed:40044865, PubMed:40101766, PubMed:35278701). Plays an essential role in cellular metabolism (PubMed:40044865, PubMed:40101766)",pyruvate(out) + H(+)(out) = pyruvate(in) + H(+)(in),2026-09-02
P06737,PYGL,"Cytoplasm, cytosol","Allosteric enzyme that catalyzes the rate-limiting step in glycogen catabolism, the phosphorolytic cleavage of glycogen to produce glucose-1-phosphate, and plays a central role in maintaining cellular and organismal glucose homeostasis",[(1->4)-alpha-D-glucosyl](n) + phosphate = [(1->4)-alpha-D-glucosyl](n-1) + alpha-D-glucose 1-phosphate,2026-09-02
P11216,PYGB,,"Glycogen phosphorylase that regulates glycogen mobilization (PubMed:27402852). Phosphorylase is an important allosteric enzyme in carbohydrate metabolism (PubMed:3346228). Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates (PubMed:3346228). However, all known phosphorylases share catalytic and structural properties (PubMed:3346228)",[(1->4)-alpha-D-glucosyl](n) + phosphate = [(1->4)-alpha-D-glucosyl](n-1) + alpha-D-glucose 1-phosphate,2026-09-02
