"GSE","GSM","Title","Characteristics","Treatment","Growth","Extraction","Strategy","Processing","Supplement","Relation"
"GSE310291","GSM9293410","RNA-seq in MCF7 cells, DMSO control, Time point 4h, replicate 1","cell line: MCF7 | treatment: none | time: 4h","","","Total RNA samples were processed using the Universal Plus mRNA-Seq with NuQuant kit (Tecan) on a Biomek i7 automated liquid handling platform (Beckman Coulter). The workflow enables the capture of polyadenylated RNA, conversion into double-stranded cDNA, and generation of strand-specific sequencing libraries. | RNA quality was assessed using a Fragment Analyzer (Agilent) with the Total RNA 15 nt kit (DNF-471). Samples with RIN > 7 and DV200 > 70% were used for library preparation. A total of 250 ng of RNA in a volume of 50 µL was used as input per reaction. Library preparation was executed in two automated programs on the Biomek i7: one covering RNA purification, fragmentation, and cDNA synthesis, and a second for library construction. All steps, including poly(A) selection, RNA fragmentation, first- and second-strand cDNA synthesis, end repair, adaptor ligation with unique dual indices, strand selection, and PCR amplification, were performed according to the manufacturer’s instructions using Biomek-specific labware and consumables. Reaction cleanups were performed with magnetic beads (CleanNGS or AMPure XP). Final libraries were analyzed for fragment size distribution using a Fragment Analyzer with the High Sensitivity NGS Fragment Kit (DNF-474). Library concentration was determined using the NuQuant system (Tecan) and used for equimolar pooling prior to sequencing on an Illumina NovaSeq 6000 platform. Sequencing was performed in single-end mode, generating more than 20 million reads per sample.","RNA-Seq","Raw sequencing data were demultiplexed using bclconvert and fastq files for each sample have been preprocessed using Evotecs pre-processing pipeline for RNA-seq including adapter trimming, quality filtering, and alignment to the human reference genome. Gene-level read counts were generated and subsequently integrated into Evotec’s internal data analysis platform, PanHunter. Within PanHunter, differential gene expression analyses were performed, and pairwise comparisons were generated between different time points and treatment conditions for each cell line. | Assembly: hg38 | Supplementary files format and content: Results from the differential expression analysis (DEA) for each cell line, time point and treatment (E2, FULV) - no filter on FDR neither logFC - excel tables","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN53294029 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX31128649"
"GSE310291","GSM9293411","RNA-seq in MCF7 cells, DMSO control, Time point 4h, replicate 2","cell line: MCF7 | treatment: none | time: 4h","","","Total RNA samples were processed using the Universal Plus mRNA-Seq with NuQuant kit (Tecan) on a Biomek i7 automated liquid handling platform (Beckman Coulter). The workflow enables the capture of polyadenylated RNA, conversion into double-stranded cDNA, and generation of strand-specific sequencing libraries. | RNA quality was assessed using a Fragment Analyzer (Agilent) with the Total RNA 15 nt kit (DNF-471). Samples with RIN > 7 and DV200 > 70% were used for library preparation. A total of 250 ng of RNA in a volume of 50 µL was used as input per reaction. Library preparation was executed in two automated programs on the Biomek i7: one covering RNA purification, fragmentation, and cDNA synthesis, and a second for library construction. All steps, including poly(A) selection, RNA fragmentation, first- and second-strand cDNA synthesis, end repair, adaptor ligation with unique dual indices, strand selection, and PCR amplification, were performed according to the manufacturer’s instructions using Biomek-specific labware and consumables. Reaction cleanups were performed with magnetic beads (CleanNGS or AMPure XP). Final libraries were analyzed for fragment size distribution using a Fragment Analyzer with the High Sensitivity NGS Fragment Kit (DNF-474). Library concentration was determined using the NuQuant system (Tecan) and used for equimolar pooling prior to sequencing on an Illumina NovaSeq 6000 platform. Sequencing was performed in single-end mode, generating more than 20 million reads per sample.","RNA-Seq","Raw sequencing data were demultiplexed using bclconvert and fastq files for each sample have been preprocessed using Evotecs pre-processing pipeline for RNA-seq including adapter trimming, quality filtering, and alignment to the human reference genome. Gene-level read counts were generated and subsequently integrated into Evotec’s internal data analysis platform, PanHunter. Within PanHunter, differential gene expression analyses were performed, and pairwise comparisons were generated between different time points and treatment conditions for each cell line. | Assembly: hg38 | Supplementary files format and content: Results from the differential expression analysis (DEA) for each cell line, time point and treatment (E2, FULV) - no filter on FDR neither logFC - excel tables","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN53294028 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX31128650"
"GSE310291","GSM9293412","RNA-seq in MCF7 cells, DMSO control, Time point 4h, replicate 3","cell line: MCF7 | treatment: none | time: 4h","","","Total RNA samples were processed using the Universal Plus mRNA-Seq with NuQuant kit (Tecan) on a Biomek i7 automated liquid handling platform (Beckman Coulter). The workflow enables the capture of polyadenylated RNA, conversion into double-stranded cDNA, and generation of strand-specific sequencing libraries. | RNA quality was assessed using a Fragment Analyzer (Agilent) with the Total RNA 15 nt kit (DNF-471). Samples with RIN > 7 and DV200 > 70% were used for library preparation. A total of 250 ng of RNA in a volume of 50 µL was used as input per reaction. Library preparation was executed in two automated programs on the Biomek i7: one covering RNA purification, fragmentation, and cDNA synthesis, and a second for library construction. All steps, including poly(A) selection, RNA fragmentation, first- and second-strand cDNA synthesis, end repair, adaptor ligation with unique dual indices, strand selection, and PCR amplification, were performed according to the manufacturer’s instructions using Biomek-specific labware and consumables. Reaction cleanups were performed with magnetic beads (CleanNGS or AMPure XP). Final libraries were analyzed for fragment size distribution using a Fragment Analyzer with the High Sensitivity NGS Fragment Kit (DNF-474). Library concentration was determined using the NuQuant system (Tecan) and used for equimolar pooling prior to sequencing on an Illumina NovaSeq 6000 platform. Sequencing was performed in single-end mode, generating more than 20 million reads per sample.","RNA-Seq","Raw sequencing data were demultiplexed using bclconvert and fastq files for each sample have been preprocessed using Evotecs pre-processing pipeline for RNA-seq including adapter trimming, quality filtering, and alignment to the human reference genome. Gene-level read counts were generated and subsequently integrated into Evotec’s internal data analysis platform, PanHunter. Within PanHunter, differential gene expression analyses were performed, and pairwise comparisons were generated between different time points and treatment conditions for each cell line. | Assembly: hg38 | Supplementary files format and content: Results from the differential expression analysis (DEA) for each cell line, time point and treatment (E2, FULV) - no filter on FDR neither logFC - excel tables","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN53294027 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX31128651"
"GSE310291","GSM9293413","RNA-seq in MCF7 cells, DMSO control, Time point 4h, replicate 4","cell line: MCF7 | treatment: none | time: 4h","","","Total RNA samples were processed using the Universal Plus mRNA-Seq with NuQuant kit (Tecan) on a Biomek i7 automated liquid handling platform (Beckman Coulter). The workflow enables the capture of polyadenylated RNA, conversion into double-stranded cDNA, and generation of strand-specific sequencing libraries. | RNA quality was assessed using a Fragment Analyzer (Agilent) with the Total RNA 15 nt kit (DNF-471). Samples with RIN > 7 and DV200 > 70% were used for library preparation. A total of 250 ng of RNA in a volume of 50 µL was used as input per reaction. Library preparation was executed in two automated programs on the Biomek i7: one covering RNA purification, fragmentation, and cDNA synthesis, and a second for library construction. All steps, including poly(A) selection, RNA fragmentation, first- and second-strand cDNA synthesis, end repair, adaptor ligation with unique dual indices, strand selection, and PCR amplification, were performed according to the manufacturer’s instructions using Biomek-specific labware and consumables. Reaction cleanups were performed with magnetic beads (CleanNGS or AMPure XP). Final libraries were analyzed for fragment size distribution using a Fragment Analyzer with the High Sensitivity NGS Fragment Kit (DNF-474). Library concentration was determined using the NuQuant system (Tecan) and used for equimolar pooling prior to sequencing on an Illumina NovaSeq 6000 platform. Sequencing was performed in single-end mode, generating more than 20 million reads per sample.","RNA-Seq","Raw sequencing data were demultiplexed using bclconvert and fastq files for each sample have been preprocessed using Evotecs pre-processing pipeline for RNA-seq including adapter trimming, quality filtering, and alignment to the human reference genome. Gene-level read counts were generated and subsequently integrated into Evotec’s internal data analysis platform, PanHunter. Within PanHunter, differential gene expression analyses were performed, and pairwise comparisons were generated between different time points and treatment conditions for each cell line. | Assembly: hg38 | Supplementary files format and content: Results from the differential expression analysis (DEA) for each cell line, time point and treatment (E2, FULV) - no filter on FDR neither logFC - excel tables","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN53294026 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX31128652"
"GSE310291","GSM9293414","RNA-seq in MCF7 cells, DMSO control, Time point 45min, replicate 1","cell line: MCF7 | treatment: none | time: 45min","","","Total RNA samples were processed using the Universal Plus mRNA-Seq with NuQuant kit (Tecan) on a Biomek i7 automated liquid handling platform (Beckman Coulter). The workflow enables the capture of polyadenylated RNA, conversion into double-stranded cDNA, and generation of strand-specific sequencing libraries. | RNA quality was assessed using a Fragment Analyzer (Agilent) with the Total RNA 15 nt kit (DNF-471). Samples with RIN > 7 and DV200 > 70% were used for library preparation. A total of 250 ng of RNA in a volume of 50 µL was used as input per reaction. Library preparation was executed in two automated programs on the Biomek i7: one covering RNA purification, fragmentation, and cDNA synthesis, and a second for library construction. All steps, including poly(A) selection, RNA fragmentation, first- and second-strand cDNA synthesis, end repair, adaptor ligation with unique dual indices, strand selection, and PCR amplification, were performed according to the manufacturer’s instructions using Biomek-specific labware and consumables. Reaction cleanups were performed with magnetic beads (CleanNGS or AMPure XP). Final libraries were analyzed for fragment size distribution using a Fragment Analyzer with the High Sensitivity NGS Fragment Kit (DNF-474). Library concentration was determined using the NuQuant system (Tecan) and used for equimolar pooling prior to sequencing on an Illumina NovaSeq 6000 platform. Sequencing was performed in single-end mode, generating more than 20 million reads per sample.","RNA-Seq","Raw sequencing data were demultiplexed using bclconvert and fastq files for each sample have been preprocessed using Evotecs pre-processing pipeline for RNA-seq including adapter trimming, quality filtering, and alignment to the human reference genome. Gene-level read counts were generated and subsequently integrated into Evotec’s internal data analysis platform, PanHunter. Within PanHunter, differential gene expression analyses were performed, and pairwise comparisons were generated between different time points and treatment conditions for each cell line. | Assembly: hg38 | Supplementary files format and content: Results from the differential expression analysis (DEA) for each cell line, time point and treatment (E2, FULV) - no filter on FDR neither logFC - excel tables","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN53294025 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX31128653"
"GSE310291","GSM9293415","RNA-seq in MCF7 cells, DMSO control, Time point 45min, replicate 2","cell line: MCF7 | treatment: none | time: 45min","","","Total RNA samples were processed using the Universal Plus mRNA-Seq with NuQuant kit (Tecan) on a Biomek i7 automated liquid handling platform (Beckman Coulter). The workflow enables the capture of polyadenylated RNA, conversion into double-stranded cDNA, and generation of strand-specific sequencing libraries. | RNA quality was assessed using a Fragment Analyzer (Agilent) with the Total RNA 15 nt kit (DNF-471). Samples with RIN > 7 and DV200 > 70% were used for library preparation. A total of 250 ng of RNA in a volume of 50 µL was used as input per reaction. Library preparation was executed in two automated programs on the Biomek i7: one covering RNA purification, fragmentation, and cDNA synthesis, and a second for library construction. All steps, including poly(A) selection, RNA fragmentation, first- and second-strand cDNA synthesis, end repair, adaptor ligation with unique dual indices, strand selection, and PCR amplification, were performed according to the manufacturer’s instructions using Biomek-specific labware and consumables. Reaction cleanups were performed with magnetic beads (CleanNGS or AMPure XP). Final libraries were analyzed for fragment size distribution using a Fragment Analyzer with the High Sensitivity NGS Fragment Kit (DNF-474). Library concentration was determined using the NuQuant system (Tecan) and used for equimolar pooling prior to sequencing on an Illumina NovaSeq 6000 platform. Sequencing was performed in single-end mode, generating more than 20 million reads per sample.","RNA-Seq","Raw sequencing data were demultiplexed using bclconvert and fastq files for each sample have been preprocessed using Evotecs pre-processing pipeline for RNA-seq including adapter trimming, quality filtering, and alignment to the human reference genome. Gene-level read counts were generated and subsequently integrated into Evotec’s internal data analysis platform, PanHunter. Within PanHunter, differential gene expression analyses were performed, and pairwise comparisons were generated between different time points and treatment conditions for each cell line. | Assembly: hg38 | Supplementary files format and content: Results from the differential expression analysis (DEA) for each cell line, time point and treatment (E2, FULV) - no filter on FDR neither logFC - excel tables","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN53294024 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX31128655"
"GSE310291","GSM9293416","RNA-seq in MCF7 cells, DMSO control, Time point 45min, replicate 3","cell line: MCF7 | treatment: none | time: 45min","","","Total RNA samples were processed using the Universal Plus mRNA-Seq with NuQuant kit (Tecan) on a Biomek i7 automated liquid handling platform (Beckman Coulter). The workflow enables the capture of polyadenylated RNA, conversion into double-stranded cDNA, and generation of strand-specific sequencing libraries. | RNA quality was assessed using a Fragment Analyzer (Agilent) with the Total RNA 15 nt kit (DNF-471). Samples with RIN > 7 and DV200 > 70% were used for library preparation. A total of 250 ng of RNA in a volume of 50 µL was used as input per reaction. Library preparation was executed in two automated programs on the Biomek i7: one covering RNA purification, fragmentation, and cDNA synthesis, and a second for library construction. All steps, including poly(A) selection, RNA fragmentation, first- and second-strand cDNA synthesis, end repair, adaptor ligation with unique dual indices, strand selection, and PCR amplification, were performed according to the manufacturer’s instructions using Biomek-specific labware and consumables. Reaction cleanups were performed with magnetic beads (CleanNGS or AMPure XP). Final libraries were analyzed for fragment size distribution using a Fragment Analyzer with the High Sensitivity NGS Fragment Kit (DNF-474). Library concentration was determined using the NuQuant system (Tecan) and used for equimolar pooling prior to sequencing on an Illumina NovaSeq 6000 platform. Sequencing was performed in single-end mode, generating more than 20 million reads per sample.","RNA-Seq","Raw sequencing data were demultiplexed using bclconvert and fastq files for each sample have been preprocessed using Evotecs pre-processing pipeline for RNA-seq including adapter trimming, quality filtering, and alignment to the human reference genome. Gene-level read counts were generated and subsequently integrated into Evotec’s internal data analysis platform, PanHunter. Within PanHunter, differential gene expression analyses were performed, and pairwise comparisons were generated between different time points and treatment conditions for each cell line. | Assembly: hg38 | Supplementary files format and content: Results from the differential expression analysis (DEA) for each cell line, time point and treatment (E2, FULV) - no filter on FDR neither logFC - excel tables","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN53294023 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX31128654"
"GSE310291","GSM9293417","RNA-seq in MCF7 cells, DMSO control, Time point 45min, replicate 4","cell line: MCF7 | treatment: none | time: 45min","","","Total RNA samples were processed using the Universal Plus mRNA-Seq with NuQuant kit (Tecan) on a Biomek i7 automated liquid handling platform (Beckman Coulter). The workflow enables the capture of polyadenylated RNA, conversion into double-stranded cDNA, and generation of strand-specific sequencing libraries. | RNA quality was assessed using a Fragment Analyzer (Agilent) with the Total RNA 15 nt kit (DNF-471). Samples with RIN > 7 and DV200 > 70% were used for library preparation. A total of 250 ng of RNA in a volume of 50 µL was used as input per reaction. Library preparation was executed in two automated programs on the Biomek i7: one covering RNA purification, fragmentation, and cDNA synthesis, and a second for library construction. All steps, including poly(A) selection, RNA fragmentation, first- and second-strand cDNA synthesis, end repair, adaptor ligation with unique dual indices, strand selection, and PCR amplification, were performed according to the manufacturer’s instructions using Biomek-specific labware and consumables. Reaction cleanups were performed with magnetic beads (CleanNGS or AMPure XP). Final libraries were analyzed for fragment size distribution using a Fragment Analyzer with the High Sensitivity NGS Fragment Kit (DNF-474). Library concentration was determined using the NuQuant system (Tecan) and used for equimolar pooling prior to sequencing on an Illumina NovaSeq 6000 platform. Sequencing was performed in single-end mode, generating more than 20 million reads per sample.","RNA-Seq","Raw sequencing data were demultiplexed using bclconvert and fastq files for each sample have been preprocessed using Evotecs pre-processing pipeline for RNA-seq including adapter trimming, quality filtering, and alignment to the human reference genome. Gene-level read counts were generated and subsequently integrated into Evotec’s internal data analysis platform, PanHunter. Within PanHunter, differential gene expression analyses were performed, and pairwise comparisons were generated between different time points and treatment conditions for each cell line. | Assembly: hg38 | Supplementary files format and content: Results from the differential expression analysis (DEA) for each cell line, time point and treatment (E2, FULV) - no filter on FDR neither logFC - excel tables","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN53294022 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX31128661"
"GSE310291","GSM9293418","RNA-seq in MCF7 cells, Estradiol treatment, Time point 4h, replicate 1","cell line: MCF7 | treatment: estradiol | time: 4h","","","Total RNA samples were processed using the Universal Plus mRNA-Seq with NuQuant kit (Tecan) on a Biomek i7 automated liquid handling platform (Beckman Coulter). The workflow enables the capture of polyadenylated RNA, conversion into double-stranded cDNA, and generation of strand-specific sequencing libraries. | RNA quality was assessed using a Fragment Analyzer (Agilent) with the Total RNA 15 nt kit (DNF-471). Samples with RIN > 7 and DV200 > 70% were used for library preparation. A total of 250 ng of RNA in a volume of 50 µL was used as input per reaction. Library preparation was executed in two automated programs on the Biomek i7: one covering RNA purification, fragmentation, and cDNA synthesis, and a second for library construction. All steps, including poly(A) selection, RNA fragmentation, first- and second-strand cDNA synthesis, end repair, adaptor ligation with unique dual indices, strand selection, and PCR amplification, were performed according to the manufacturer’s instructions using Biomek-specific labware and consumables. Reaction cleanups were performed with magnetic beads (CleanNGS or AMPure XP). Final libraries were analyzed for fragment size distribution using a Fragment Analyzer with the High Sensitivity NGS Fragment Kit (DNF-474). Library concentration was determined using the NuQuant system (Tecan) and used for equimolar pooling prior to sequencing on an Illumina NovaSeq 6000 platform. Sequencing was performed in single-end mode, generating more than 20 million reads per sample.","RNA-Seq","Raw sequencing data were demultiplexed using bclconvert and fastq files for each sample have been preprocessed using Evotecs pre-processing pipeline for RNA-seq including adapter trimming, quality filtering, and alignment to the human reference genome. Gene-level read counts were generated and subsequently integrated into Evotec’s internal data analysis platform, PanHunter. Within PanHunter, differential gene expression analyses were performed, and pairwise comparisons were generated between different time points and treatment conditions for each cell line. | Assembly: hg38 | Supplementary files format and content: Results from the differential expression analysis (DEA) for each cell line, time point and treatment (E2, FULV) - no filter on FDR neither logFC - excel tables","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN53294021 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX31128660"
"GSE310291","GSM9293419","RNA-seq in MCF7 cells, Estradiol treatment, Time point 4h, replicate 2","cell line: MCF7 | treatment: estradiol | time: 4h","","","Total RNA samples were processed using the Universal Plus mRNA-Seq with NuQuant kit (Tecan) on a Biomek i7 automated liquid handling platform (Beckman Coulter). The workflow enables the capture of polyadenylated RNA, conversion into double-stranded cDNA, and generation of strand-specific sequencing libraries. | RNA quality was assessed using a Fragment Analyzer (Agilent) with the Total RNA 15 nt kit (DNF-471). Samples with RIN > 7 and DV200 > 70% were used for library preparation. A total of 250 ng of RNA in a volume of 50 µL was used as input per reaction. Library preparation was executed in two automated programs on the Biomek i7: one covering RNA purification, fragmentation, and cDNA synthesis, and a second for library construction. All steps, including poly(A) selection, RNA fragmentation, first- and second-strand cDNA synthesis, end repair, adaptor ligation with unique dual indices, strand selection, and PCR amplification, were performed according to the manufacturer’s instructions using Biomek-specific labware and consumables. Reaction cleanups were performed with magnetic beads (CleanNGS or AMPure XP). Final libraries were analyzed for fragment size distribution using a Fragment Analyzer with the High Sensitivity NGS Fragment Kit (DNF-474). Library concentration was determined using the NuQuant system (Tecan) and used for equimolar pooling prior to sequencing on an Illumina NovaSeq 6000 platform. Sequencing was performed in single-end mode, generating more than 20 million reads per sample.","RNA-Seq","Raw sequencing data were demultiplexed using bclconvert and fastq files for each sample have been preprocessed using Evotecs pre-processing pipeline for RNA-seq including adapter trimming, quality filtering, and alignment to the human reference genome. Gene-level read counts were generated and subsequently integrated into Evotec’s internal data analysis platform, PanHunter. Within PanHunter, differential gene expression analyses were performed, and pairwise comparisons were generated between different time points and treatment conditions for each cell line. | Assembly: hg38 | Supplementary files format and content: Results from the differential expression analysis (DEA) for each cell line, time point and treatment (E2, FULV) - no filter on FDR neither logFC - excel tables","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN53294020 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX31128659"
"GSE310291","GSM9293420","RNA-seq in MCF7 cells, Estradiol treatment, Time point 4h, replicate 3","cell line: MCF7 | treatment: estradiol | time: 4h","","","Total RNA samples were processed using the Universal Plus mRNA-Seq with NuQuant kit (Tecan) on a Biomek i7 automated liquid handling platform (Beckman Coulter). The workflow enables the capture of polyadenylated RNA, conversion into double-stranded cDNA, and generation of strand-specific sequencing libraries. | RNA quality was assessed using a Fragment Analyzer (Agilent) with the Total RNA 15 nt kit (DNF-471). Samples with RIN > 7 and DV200 > 70% were used for library preparation. A total of 250 ng of RNA in a volume of 50 µL was used as input per reaction. Library preparation was executed in two automated programs on the Biomek i7: one covering RNA purification, fragmentation, and cDNA synthesis, and a second for library construction. All steps, including poly(A) selection, RNA fragmentation, first- and second-strand cDNA synthesis, end repair, adaptor ligation with unique dual indices, strand selection, and PCR amplification, were performed according to the manufacturer’s instructions using Biomek-specific labware and consumables. Reaction cleanups were performed with magnetic beads (CleanNGS or AMPure XP). Final libraries were analyzed for fragment size distribution using a Fragment Analyzer with the High Sensitivity NGS Fragment Kit (DNF-474). Library concentration was determined using the NuQuant system (Tecan) and used for equimolar pooling prior to sequencing on an Illumina NovaSeq 6000 platform. Sequencing was performed in single-end mode, generating more than 20 million reads per sample.","RNA-Seq","Raw sequencing data were demultiplexed using bclconvert and fastq files for each sample have been preprocessed using Evotecs pre-processing pipeline for RNA-seq including adapter trimming, quality filtering, and alignment to the human reference genome. Gene-level read counts were generated and subsequently integrated into Evotec’s internal data analysis platform, PanHunter. Within PanHunter, differential gene expression analyses were performed, and pairwise comparisons were generated between different time points and treatment conditions for each cell line. | Assembly: hg38 | Supplementary files format and content: Results from the differential expression analysis (DEA) for each cell line, time point and treatment (E2, FULV) - no filter on FDR neither logFC - excel tables","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN53294019 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX31128658"
