Entry	Gene Names (primary)	Gene Names	Protein names	Reviewed
A0A024QYR6	PTEN	PTEN	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN (EC 3.1.3.16) (EC 3.1.3.48) (EC 3.1.3.67) (Inositol polyphosphate 3-phosphatase) (Phosphatase and tensin homolog)	unreviewed
A0A024R1X5	BECN1	BECN1 hCG_16958	Beclin-1	unreviewed
A0A024R274	SMAD4	SMAD4	Mothers against decapentaplegic homolog (MAD homolog) (Mothers against DPP homolog) (SMAD family member)	unreviewed
A0A024R3Y4			CASP8 and FADD-like apoptosis regulator	unreviewed
A0A024R6A3	PSEN1	PSEN1	Presenilin (EC 3.4.23.-)	unreviewed
A0A024RBI1	DAO	DAO	D-amino-acid oxidase (EC 1.4.3.3)	unreviewed
A0A068F579			Glucosylceramidase (EC 3.2.1.45)	unreviewed
A0A068F658	GBA	GBA	Glucosylceramidase (EC 3.2.1.45)	unreviewed
A0A068F753			Glucosylceramidase (EC 3.2.1.45)	unreviewed
A0A068FB60			Glucosylceramidase (EC 3.2.1.45)	unreviewed
A0A087WVL8	FMR1	FMR1	Fragile X messenger ribonucleoprotein 1 (Fragile X messenger ribonucleoprotein)	unreviewed
A0A087WXI3	FMR1	FMR1	Fragile X messenger ribonucleoprotein 1 (Fragile X messenger ribonucleoprotein)	unreviewed
A0A087WY29	FMR1	FMR1	Fragile X messenger ribonucleoprotein 1 (Fragile X messenger ribonucleoprotein)	unreviewed
A0A087WZT3	BOLA2-SMG1P6	BOLA2-SMG1P6	BOLA2-SMG1P6 readthrough	unreviewed
A0A087X033	PTEN	PTEN	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN (EC 3.1.3.16) (EC 3.1.3.48) (EC 3.1.3.67) (Inositol polyphosphate 3-phosphatase) (Phosphatase and tensin homolog)	unreviewed
A0A087X1C5	CYP2D7	CYP2D7	Cytochrome P450 2D7 (EC 1.14.14.1)	reviewed
A0A087X296	PTGS1	PTGS1	Prostaglandin G/H synthase 1 (EC 1.14.99.1) (Cyclooxygenase-1) (Prostaglandin H2 synthase 1) (Prostaglandin-endoperoxide synthase 1)	unreviewed
A0A096LP01	SMIM26	SMIM26 LINC00493	Small integral membrane protein 26	reviewed
A0A0A0MQV1	HSD11B1	HSD11B1	11-beta-hydroxysteroid dehydrogenase 1 (EC 1.1.1.146) (EC 1.1.1.201) (7-oxosteroid reductase) (Corticosteroid 11-beta-dehydrogenase isozyme 1)	unreviewed
A0A0A0MR05	MLST8	MLST8	Target of rapamycin complex subunit LST8 (Protein GbetaL) (TORC subunit LST8) (mLST8) (G protein beta subunit-like) (Mammalian lethal with SEC13 protein 8)	unreviewed
A0A0A0MRF5	SIRT2	SIRT2	NAD-dependent protein deacetylase sirtuin-2 (EC 2.3.1.286) (NAD-dependent protein deacylase sirtuin-2) (NAD-dependent protein defatty-acylase sirtuin-2) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2)	unreviewed
A0A0A0MRG2	APP	APP	Amyloid-beta precursor protein (ABPP) (Alzheimer disease amyloid A4 protein homolog) (Amyloid precursor protein) (Amyloid-beta (A4) precursor protein) (Amyloid-beta A4 protein)	unreviewed
A0A0A0MS99	ABCC1	ABCC1	Multidrug resistance-associated protein 1 (EC 7.6.2.2) (EC 7.6.2.3) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (Leukotriene C(4) transporter)	unreviewed
A0A0A0MSN4	ACE	ACE	Angiotensin-converting enzyme (EC 3.4.-.-)	unreviewed
A0A0B4J1S7	PTPN22	PTPN22	protein-tyrosine-phosphatase (EC 3.1.3.48)	unreviewed
A0A0B4J250	DAO	DAO	D-amino-acid oxidase (EC 1.4.3.3)	unreviewed
A0A0B4J2F0	PIGBOS1	PIGBOS1	Protein PIGBOS1 (PIGB opposite strand protein 1)	reviewed
A0A0C3SFZ9	FCHO1	FCHO1	FCH and mu domain containing endocytic adaptor 1	unreviewed
A0A0C4DFN3	MGLL	MGLL	Monoglyceride lipase (EC 3.1.1.23) (Monoacylglycerol lipase)	unreviewed
A0A0C4DG85	ADH7	ADH7	All-trans-retinol dehydrogenase [NAD(+)] ADH7 (EC 1.1.1.1) (EC 1.1.1.105) (EC 1.1.1.66) (Alcohol dehydrogenase class 4 mu/sigma chain) (Alcohol dehydrogenase class IV mu/sigma chain) (Gastric alcohol dehydrogenase) (Omega-hydroxydecanoate dehydrogenase ADH7) (Retinol dehydrogenase)	unreviewed
A0A0C4DGF1	ZBTB32	ZBTB32	Zinc finger and BTB domain containing 32	unreviewed
A0A0C5B5G6	MT-RNR1	MT-RNR1	Mitochondrial-derived peptide MOTS-c (Mitochondrial open reading frame of the 12S rRNA-c)	reviewed
A0A0G2JIW1	HSPA1B	HSPA1B	Heat shock protein family A (Hsp70) member 1B	unreviewed
A0A0G2JLB3	GBA1	GBA1	Glucosylceramidase (EC 3.2.1.45)	unreviewed
A0A0G2JNZ0	GBA1	GBA1	Glucosylceramidase (EC 3.2.1.45)	unreviewed
A0A0G2JNZ5	GBA1	GBA1	Glucosylceramidase (EC 3.2.1.45)	unreviewed
A0A0G2JQ62	LPCAT1	LPCAT1	Lysophosphatidylcholine acyltransferase 1 (EC 2.3.1.23) (EC 2.3.1.25) (EC 2.3.1.51) (EC 2.3.1.67) (1-acylglycerol-3-phosphate O-acyltransferase) (1-acylglycerophosphocholine O-acyltransferase) (1-alkenylglycerophosphocholine O-acyltransferase) (1-alkylglycerophosphocholine O-acetyltransferase) (Acetyl-CoA:lyso-platelet-activating factor acetyltransferase) (Acyltransferase-like 2)	unreviewed
A0A0G2JRI7	LPCAT1	LPCAT1	Lysophosphatidylcholine acyltransferase 1 (EC 2.3.1.23) (EC 2.3.1.25) (EC 2.3.1.51) (EC 2.3.1.67) (1-acylglycerol-3-phosphate O-acyltransferase) (1-acylglycerophosphocholine O-acyltransferase) (1-alkenylglycerophosphocholine O-acyltransferase) (1-alkylglycerophosphocholine O-acetyltransferase) (Acetyl-CoA:lyso-platelet-activating factor acetyltransferase) (Acyltransferase-like 2)	unreviewed
A0A0K0K1J8	HEL-S-7a	HEL-S-7a	Adenylate cyclase type 10 (EC 4.6.1.1)	unreviewed
A0A0K0K1K3	HEL-S-172mP	HEL-S-172mP ADCY8 hCG_2008967	adenylate cyclase (EC 4.6.1.1)	unreviewed
A0A0K0L4Y0	PNPLA2	PNPLA2	Patatin-like phospholipase domain-containing protein 2 (EC 3.1.1.3) (EC 3.1.1.4) (Adipose triglyceride lipase) (Calcium-independent phospholipase A2-zeta)	unreviewed
A0A0K0L4Y8	PNPLA2	PNPLA2	Patatin-like phospholipase domain-containing protein 2 (EC 3.1.1.3) (EC 3.1.1.4) (Adipose triglyceride lipase) (Calcium-independent phospholipase A2-zeta)	unreviewed
A0A0K2S4Q6	CD300H	CD300H	Protein CD300H (CD300 antigen-like family member H)	reviewed
A0A0S2Z310	ACVRL1	ACVRL1	Serine/threonine-protein kinase receptor (EC 2.7.11.30)	unreviewed
A0A0S2Z3C7	CD40	CD40	Tumor necrosis factor receptor superfamily member 5 (B-cell surface antigen CD40) (CD40L receptor)	unreviewed
A0A0S2Z3D5	APOE	APOE	Apolipoprotein E	unreviewed
A0A0S2Z3Q4	CRK	CRK	Adapter molecule crk (Proto-oncogene c-Crk) (p38)	unreviewed
A0A0S2Z3S6	CYBB	CYBB	NADPH oxidase 2 (CGD91-phox) (Cytochrome b(558) subunit beta) (Cytochrome b-245 heavy chain) (Heme-binding membrane glycoprotein gp91phox) (Neutrophil cytochrome b 91 kDa polypeptide) (gp91-1) (gp91-phox) (p22 phagocyte B-cytochrome)	unreviewed
A0A0S2Z3W6	ATP1A2	ATP1A2	Sodium/potassium-transporting ATPase subunit alpha	unreviewed
A0A0S2Z410	HSD17B10	HSD17B10	3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.159) (EC 1.1.1.178) (EC 1.1.1.239) (EC 1.1.1.35) (EC 1.1.1.53) (EC 1.1.1.62) (17-beta-estradiol 17-dehydrogenase) (2-methyl-3-hydroxybutyryl-CoA dehydrogenase) (3-alpha-(17-beta)-hydroxysteroid dehydrogenase (NAD(+))) (3-hydroxy-2-methylbutyryl-CoA dehydrogenase) (3-hydroxyacyl-CoA dehydrogenase type II) (3alpha(or 20beta)-hydroxysteroid dehydrogenase) (7-alpha-hydroxysteroid dehydrogenase) (Endoplasmic reticulum-associated amyloid beta-peptide-binding protein) (Mitochondrial ribonuclease P protein 2) (Short chain dehydrogenase/reductase family 5C member 1) (Short-chain type dehydrogenase/reductase XH98G2) (Type II HADH)	unreviewed
A0A0S2Z478	CRH	CRH	Corticoliberin (Corticotropin-releasing factor) (Corticotropin-releasing hormone)	unreviewed
A0A0S2Z4C6	PPP3CA	PPP3CA	Serine/threonine-protein phosphatase (EC 3.1.3.16)	unreviewed
A0A0S2Z4D1	STK11	STK11	Serine/threonine-protein kinase STK11 (EC 2.7.11.1)	unreviewed
A0A0S2Z4G9	RNF6	RNF6	Ring finger protein 6 isoform 2	unreviewed
A0A0S2Z4J1	HSD17B4	HSD17B4 hCG_37330	Peroxisomal multifunctional enzyme type 2 (17-beta-hydroxysteroid dehydrogenase 4) (D-bifunctional protein) (Multifunctional protein 2)	unreviewed
A0A0S2Z4M1	AXIN1	AXIN1	Axin-1 (Axis inhibition protein 1)	unreviewed
A0A0S2Z4N5	TP63	TP63 TP73L hCG_16028	Tumor protein 63 (p63)	unreviewed
A0A0S2Z4Q4	HGS	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	unreviewed
A0A0S2Z4U3	SDC3	SDC3	Syndecan	unreviewed
A0A0S2Z4Z8	RIPK2	RIPK2	Receptor-interacting serine/threonine-protein kinase 2 (EC 2.7.11.1) (Receptor-interacting protein 2) (Tyrosine-protein kinase RIPK2)	unreviewed
A0A0S2Z5G4	BANP	BANP	Protein BANP (Btg3-associated nuclear protein) (Scaffold/matrix-associated region-1-binding protein)	unreviewed
A0A0S2Z5X4	ZNF688	ZNF688	Zinc finger protein 688 isoform 4	unreviewed
A0A0U1RQC9	TP53	TP53	Cellular tumor antigen p53	unreviewed
A0A0U1RQF0	FASN	FASN	Fatty acid synthase (EC 1.1.1.100) (EC 1.3.1.39) (EC 2.3.1.38) (EC 2.3.1.39) (EC 2.3.1.41) (EC 2.3.1.85) (EC 3.1.2.14) (EC 4.2.1.59)	unreviewed
A0A0U1RQV4	ROCK1	ROCK1	Rho-associated protein kinase 1 (EC 2.7.11.39) (Rho-associated, coiled-coil-containing protein kinase 1) (Rho-associated, coiled-coil-containing protein kinase I) (p160 ROCK-1)	unreviewed
A0A0U1RRE5	NBDY	NBDY LINC01420	Negative regulator of P-body association (P-body dissociating protein) (Protein NoBody)	reviewed
A0A0U1WL47	PNPLA2	PNPLA2	Patatin-like phospholipase domain-containing protein 2 (EC 3.1.1.3) (EC 3.1.1.4) (Adipose triglyceride lipase) (Calcium-independent phospholipase A2-zeta)	unreviewed
A0A0U2ZQU7			Cadherin-1 (Epithelial cadherin) (Uvomorulin)	unreviewed
A0A140VJC8			Amyloid-beta A4 protein	unreviewed
A0A140VJL2			Hydroxymethylglutaryl-CoA synthase (HMG-CoA synthase) (EC 2.3.3.10) (3-hydroxy-3-methylglutaryl coenzyme A synthase)	unreviewed
A0A140VJL8			Inositol-1-monophosphatase (EC 3.1.3.25)	unreviewed
A0A140VJL9			Delta-aminolevulinic acid dehydratase (EC 4.2.1.24)	unreviewed
A0A140VK09			Calcium and integrin-binding protein 1 (Calmyrin)	unreviewed
A0A140VKC1			Diacylglycerol kinase (DAG kinase) (EC 2.7.1.107)	unreviewed
A0A1B0GTG2	ALDH7A1	ALDH7A1	Alpha-aminoadipic semialdehyde dehydrogenase (EC 1.2.1.3) (EC 1.2.1.31) (EC 1.2.1.8) (Aldehyde dehydrogenase family 7 member A1) (Antiquitin-1) (Betaine aldehyde dehydrogenase) (Delta1-piperideine-6-carboxylate dehydrogenase)	unreviewed
A0A1B0GTM3	ASAH1	ASAH1	Acid ceramidase (EC 3.5.1.23) (Acylsphingosine deacylase) (N-acylethanolamine hydrolase ASAH1) (N-acylsphingosine amidohydrolase)	unreviewed
A0A1B0GTW7	CIROP	CIROP LMLN2	Ciliated left-right organizer metallopeptidase (EC 3.4.24.-) (Leishmanolysin-like peptidase 2)	reviewed
A0A1B0GTY9	ALDH7A1	ALDH7A1	Alpha-aminoadipic semialdehyde dehydrogenase (EC 1.2.1.3) (EC 1.2.1.31) (EC 1.2.1.8) (Aldehyde dehydrogenase family 7 member A1) (Antiquitin-1) (Betaine aldehyde dehydrogenase) (Delta1-piperideine-6-carboxylate dehydrogenase)	unreviewed
A0A1B0GUA1	ALDH7A1	ALDH7A1	Alpha-aminoadipic semialdehyde dehydrogenase (EC 1.2.1.3) (EC 1.2.1.31) (EC 1.2.1.8) (Aldehyde dehydrogenase family 7 member A1) (Antiquitin-1) (Betaine aldehyde dehydrogenase) (Delta1-piperideine-6-carboxylate dehydrogenase)	unreviewed
A0A1B0GUA4	ASAH1	ASAH1	Acid ceramidase (EC 3.5.1.23) (Acylsphingosine deacylase) (N-acylethanolamine hydrolase ASAH1) (N-acylsphingosine amidohydrolase)	unreviewed
A0A1B0GUE3	ASAH1	ASAH1	Acid ceramidase (EC 3.5.1.23) (Acylsphingosine deacylase) (N-acylethanolamine hydrolase ASAH1) (N-acylsphingosine amidohydrolase)	unreviewed
