"GSE","GSM","Title","Characteristics","Treatment","Growth","Extraction","Strategy","Processing","Supplement","Relation"
"GSE119834","GSM3384758","GBM1 [RNA-Seq]","cell line: 3028 | cell type: glioblastoma multiforme","Cells were not treated in this manuscript for RNA-seq studies.","Glioblastoma models were grown in Neurobasal medium supplemented with 2% B27, 1% L-glutamine, 1% sodium pyruvate, 1% penicillin/streptomycin, 10 ng/ml basic fibroblast growth factor (bFGF), and 10 ng/ml epidermal growth factor (EGF).","Glioblastoma tissue was isolated from patients and flash frozen in liquid nitrogen followed by pulverization in a mortar and pestle. RNA was isolated using the Qiagen MiRNeasy kit according to manufacturers recommendations. Dnase treatment was performed on the samples. | Quality control and quantity of RNA was assessed on the Agilent Tape Station. RNA was prepared accoding to Illumina manufacturers conditions using a strand-specific RNA library preparation with ribosomal RNA depletion. | Total RNA was sequenced on a Illumina Hi-Seq in a 2x150bp configuration.","RNA-Seq","The sequenced reads of RNA-seq experiments were aligned to human reference genome hg19/GRCh37 using STAR aligner (Dobin et al., 2013) | The expression of the genes was determined as FPKM by counting the number of uniquely mapping fragments and normalizing it by the length coding sequence and the library size.  Gene annotation was based on UCSC RefSeq. Genes expressed with > 1 FPKM in at least 50% of the samples of each group were considered to be expressed genes. | Genome_build: hg19 | Supplementary_files_format_and_content: Tab delimited text file of raw fpkm expression values","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10036399 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4672060"
"GSE119834","GSM3384759","GBM17 [RNA-Seq]","cell line: 3128 | cell type: glioblastoma multiforme","Cells were not treated in this manuscript for RNA-seq studies.","Glioblastoma models were grown in Neurobasal medium supplemented with 2% B27, 1% L-glutamine, 1% sodium pyruvate, 1% penicillin/streptomycin, 10 ng/ml basic fibroblast growth factor (bFGF), and 10 ng/ml epidermal growth factor (EGF).","Glioblastoma tissue was isolated from patients and flash frozen in liquid nitrogen followed by pulverization in a mortar and pestle. RNA was isolated using the Qiagen MiRNeasy kit according to manufacturers recommendations. Dnase treatment was performed on the samples. | Quality control and quantity of RNA was assessed on the Agilent Tape Station. RNA was prepared accoding to Illumina manufacturers conditions using a strand-specific RNA library preparation with ribosomal RNA depletion. | Total RNA was sequenced on a Illumina Hi-Seq in a 2x150bp configuration.","RNA-Seq","The sequenced reads of RNA-seq experiments were aligned to human reference genome hg19/GRCh37 using STAR aligner (Dobin et al., 2013) | The expression of the genes was determined as FPKM by counting the number of uniquely mapping fragments and normalizing it by the length coding sequence and the library size.  Gene annotation was based on UCSC RefSeq. Genes expressed with > 1 FPKM in at least 50% of the samples of each group were considered to be expressed genes. | Genome_build: hg19 | Supplementary_files_format_and_content: Tab delimited text file of raw fpkm expression values","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10036398 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4672061"
"GSE119834","GSM3384760","GBM21 [RNA-Seq]","cell line: 2229 | cell type: glioblastoma multiforme","Cells were not treated in this manuscript for RNA-seq studies.","Glioblastoma models were grown in Neurobasal medium supplemented with 2% B27, 1% L-glutamine, 1% sodium pyruvate, 1% penicillin/streptomycin, 10 ng/ml basic fibroblast growth factor (bFGF), and 10 ng/ml epidermal growth factor (EGF).","Glioblastoma tissue was isolated from patients and flash frozen in liquid nitrogen followed by pulverization in a mortar and pestle. RNA was isolated using the Qiagen MiRNeasy kit according to manufacturers recommendations. Dnase treatment was performed on the samples. | Quality control and quantity of RNA was assessed on the Agilent Tape Station. RNA was prepared accoding to Illumina manufacturers conditions using a strand-specific RNA library preparation with ribosomal RNA depletion. | Total RNA was sequenced on a Illumina Hi-Seq in a 2x150bp configuration.","RNA-Seq","The sequenced reads of RNA-seq experiments were aligned to human reference genome hg19/GRCh37 using STAR aligner (Dobin et al., 2013) | The expression of the genes was determined as FPKM by counting the number of uniquely mapping fragments and normalizing it by the length coding sequence and the library size.  Gene annotation was based on UCSC RefSeq. Genes expressed with > 1 FPKM in at least 50% of the samples of each group were considered to be expressed genes. | Genome_build: hg19 | Supplementary_files_format_and_content: Tab delimited text file of raw fpkm expression values","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10036397 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4672062"
"GSE119834","GSM3384761","GBM28 [RNA-Seq]","cell line: 3655 | cell type: glioblastoma multiforme","Cells were not treated in this manuscript for RNA-seq studies.","Glioblastoma models were grown in Neurobasal medium supplemented with 2% B27, 1% L-glutamine, 1% sodium pyruvate, 1% penicillin/streptomycin, 10 ng/ml basic fibroblast growth factor (bFGF), and 10 ng/ml epidermal growth factor (EGF).","Glioblastoma tissue was isolated from patients and flash frozen in liquid nitrogen followed by pulverization in a mortar and pestle. RNA was isolated using the Qiagen MiRNeasy kit according to manufacturers recommendations. Dnase treatment was performed on the samples. | Quality control and quantity of RNA was assessed on the Agilent Tape Station. RNA was prepared accoding to Illumina manufacturers conditions using a strand-specific RNA library preparation with ribosomal RNA depletion. | Total RNA was sequenced on a Illumina Hi-Seq in a 2x150bp configuration.","RNA-Seq","The sequenced reads of RNA-seq experiments were aligned to human reference genome hg19/GRCh37 using STAR aligner (Dobin et al., 2013) | The expression of the genes was determined as FPKM by counting the number of uniquely mapping fragments and normalizing it by the length coding sequence and the library size.  Gene annotation was based on UCSC RefSeq. Genes expressed with > 1 FPKM in at least 50% of the samples of each group were considered to be expressed genes. | Genome_build: hg19 | Supplementary_files_format_and_content: Tab delimited text file of raw fpkm expression values","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10036396 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4672063"
"GSE119834","GSM3384762","GBM30 [RNA-Seq]","cell line: 2223 | cell type: glioblastoma multiforme","Cells were not treated in this manuscript for RNA-seq studies.","Glioblastoma models were grown in Neurobasal medium supplemented with 2% B27, 1% L-glutamine, 1% sodium pyruvate, 1% penicillin/streptomycin, 10 ng/ml basic fibroblast growth factor (bFGF), and 10 ng/ml epidermal growth factor (EGF).","Glioblastoma tissue was isolated from patients and flash frozen in liquid nitrogen followed by pulverization in a mortar and pestle. RNA was isolated using the Qiagen MiRNeasy kit according to manufacturers recommendations. Dnase treatment was performed on the samples. | Quality control and quantity of RNA was assessed on the Agilent Tape Station. RNA was prepared accoding to Illumina manufacturers conditions using a strand-specific RNA library preparation with ribosomal RNA depletion. | Total RNA was sequenced on a Illumina Hi-Seq in a 2x150bp configuration.","RNA-Seq","The sequenced reads of RNA-seq experiments were aligned to human reference genome hg19/GRCh37 using STAR aligner (Dobin et al., 2013) | The expression of the genes was determined as FPKM by counting the number of uniquely mapping fragments and normalizing it by the length coding sequence and the library size.  Gene annotation was based on UCSC RefSeq. Genes expressed with > 1 FPKM in at least 50% of the samples of each group were considered to be expressed genes. | Genome_build: hg19 | Supplementary_files_format_and_content: Tab delimited text file of raw fpkm expression values","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10036395 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4672064"
"GSE119834","GSM3384763","GBM31 [RNA-Seq]","cell line: 3332 | cell type: glioblastoma multiforme","Cells were not treated in this manuscript for RNA-seq studies.","Glioblastoma models were grown in Neurobasal medium supplemented with 2% B27, 1% L-glutamine, 1% sodium pyruvate, 1% penicillin/streptomycin, 10 ng/ml basic fibroblast growth factor (bFGF), and 10 ng/ml epidermal growth factor (EGF).","Glioblastoma tissue was isolated from patients and flash frozen in liquid nitrogen followed by pulverization in a mortar and pestle. RNA was isolated using the Qiagen MiRNeasy kit according to manufacturers recommendations. Dnase treatment was performed on the samples. | Quality control and quantity of RNA was assessed on the Agilent Tape Station. RNA was prepared accoding to Illumina manufacturers conditions using a strand-specific RNA library preparation with ribosomal RNA depletion. | Total RNA was sequenced on a Illumina Hi-Seq in a 2x150bp configuration.","RNA-Seq","The sequenced reads of RNA-seq experiments were aligned to human reference genome hg19/GRCh37 using STAR aligner (Dobin et al., 2013) | The expression of the genes was determined as FPKM by counting the number of uniquely mapping fragments and normalizing it by the length coding sequence and the library size.  Gene annotation was based on UCSC RefSeq. Genes expressed with > 1 FPKM in at least 50% of the samples of each group were considered to be expressed genes. | Genome_build: hg19 | Supplementary_files_format_and_content: Tab delimited text file of raw fpkm expression values","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10036394 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4672065"
"GSE119834","GSM3384764","GBM32 [RNA-Seq]","cell line: CW2012 | cell type: glioblastoma multiforme","Cells were not treated in this manuscript for RNA-seq studies.","Glioblastoma models were grown in Neurobasal medium supplemented with 2% B27, 1% L-glutamine, 1% sodium pyruvate, 1% penicillin/streptomycin, 10 ng/ml basic fibroblast growth factor (bFGF), and 10 ng/ml epidermal growth factor (EGF).","Glioblastoma tissue was isolated from patients and flash frozen in liquid nitrogen followed by pulverization in a mortar and pestle. RNA was isolated using the Qiagen MiRNeasy kit according to manufacturers recommendations. Dnase treatment was performed on the samples. | Quality control and quantity of RNA was assessed on the Agilent Tape Station. RNA was prepared accoding to Illumina manufacturers conditions using a strand-specific RNA library preparation with ribosomal RNA depletion. | Total RNA was sequenced on a Illumina Hi-Seq in a 2x150bp configuration.","RNA-Seq","The sequenced reads of RNA-seq experiments were aligned to human reference genome hg19/GRCh37 using STAR aligner (Dobin et al., 2013) | The expression of the genes was determined as FPKM by counting the number of uniquely mapping fragments and normalizing it by the length coding sequence and the library size.  Gene annotation was based on UCSC RefSeq. Genes expressed with > 1 FPKM in at least 50% of the samples of each group were considered to be expressed genes. | Genome_build: hg19 | Supplementary_files_format_and_content: Tab delimited text file of raw fpkm expression values","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10036393 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4672066"
"GSE119834","GSM3384765","GBM33 [RNA-Seq]","cell line: DI28 | cell type: glioblastoma multiforme","Cells were not treated in this manuscript for RNA-seq studies.","Glioblastoma models were grown in Neurobasal medium supplemented with 2% B27, 1% L-glutamine, 1% sodium pyruvate, 1% penicillin/streptomycin, 10 ng/ml basic fibroblast growth factor (bFGF), and 10 ng/ml epidermal growth factor (EGF).","Glioblastoma tissue was isolated from patients and flash frozen in liquid nitrogen followed by pulverization in a mortar and pestle. RNA was isolated using the Qiagen MiRNeasy kit according to manufacturers recommendations. Dnase treatment was performed on the samples. | Quality control and quantity of RNA was assessed on the Agilent Tape Station. RNA was prepared accoding to Illumina manufacturers conditions using a strand-specific RNA library preparation with ribosomal RNA depletion. | Total RNA was sequenced on a Illumina Hi-Seq in a 2x150bp configuration.","RNA-Seq","The sequenced reads of RNA-seq experiments were aligned to human reference genome hg19/GRCh37 using STAR aligner (Dobin et al., 2013) | The expression of the genes was determined as FPKM by counting the number of uniquely mapping fragments and normalizing it by the length coding sequence and the library size.  Gene annotation was based on UCSC RefSeq. Genes expressed with > 1 FPKM in at least 50% of the samples of each group were considered to be expressed genes. | Genome_build: hg19 | Supplementary_files_format_and_content: Tab delimited text file of raw fpkm expression values","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10036392 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4672067"
"GSE119834","GSM3384766","GBM4 [RNA-Seq]","cell line: 3214 | cell type: glioblastoma multiforme","Cells were not treated in this manuscript for RNA-seq studies.","Glioblastoma models were grown in Neurobasal medium supplemented with 2% B27, 1% L-glutamine, 1% sodium pyruvate, 1% penicillin/streptomycin, 10 ng/ml basic fibroblast growth factor (bFGF), and 10 ng/ml epidermal growth factor (EGF).","Glioblastoma tissue was isolated from patients and flash frozen in liquid nitrogen followed by pulverization in a mortar and pestle. RNA was isolated using the Qiagen MiRNeasy kit according to manufacturers recommendations. Dnase treatment was performed on the samples. | Quality control and quantity of RNA was assessed on the Agilent Tape Station. RNA was prepared accoding to Illumina manufacturers conditions using a strand-specific RNA library preparation with ribosomal RNA depletion. | Total RNA was sequenced on a Illumina Hi-Seq in a 2x150bp configuration.","RNA-Seq","The sequenced reads of RNA-seq experiments were aligned to human reference genome hg19/GRCh37 using STAR aligner (Dobin et al., 2013) | The expression of the genes was determined as FPKM by counting the number of uniquely mapping fragments and normalizing it by the length coding sequence and the library size.  Gene annotation was based on UCSC RefSeq. Genes expressed with > 1 FPKM in at least 50% of the samples of each group were considered to be expressed genes. | Genome_build: hg19 | Supplementary_files_format_and_content: Tab delimited text file of raw fpkm expression values","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10036391 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4672068"
"GSE119834","GSM3384767","GBM46 [RNA-Seq]","cell line: 2455 | cell type: glioblastoma multiforme","Cells were not treated in this manuscript for RNA-seq studies.","Glioblastoma models were grown in Neurobasal medium supplemented with 2% B27, 1% L-glutamine, 1% sodium pyruvate, 1% penicillin/streptomycin, 10 ng/ml basic fibroblast growth factor (bFGF), and 10 ng/ml epidermal growth factor (EGF).","Glioblastoma tissue was isolated from patients and flash frozen in liquid nitrogen followed by pulverization in a mortar and pestle. RNA was isolated using the Qiagen MiRNeasy kit according to manufacturers recommendations. Dnase treatment was performed on the samples. | Quality control and quantity of RNA was assessed on the Agilent Tape Station. RNA was prepared accoding to Illumina manufacturers conditions using a strand-specific RNA library preparation with ribosomal RNA depletion. | Total RNA was sequenced on a Illumina Hi-Seq in a 2x150bp configuration.","RNA-Seq","The sequenced reads of RNA-seq experiments were aligned to human reference genome hg19/GRCh37 using STAR aligner (Dobin et al., 2013) | The expression of the genes was determined as FPKM by counting the number of uniquely mapping fragments and normalizing it by the length coding sequence and the library size.  Gene annotation was based on UCSC RefSeq. Genes expressed with > 1 FPKM in at least 50% of the samples of each group were considered to be expressed genes. | Genome_build: hg19 | Supplementary_files_format_and_content: Tab delimited text file of raw fpkm expression values","NONE","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10036390 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4672069"
