Entry	Gene Names (primary)	Protein names
Q6FI13	H2AC18; H2AC19	Histone H2A type 2-A (H2A-clustered histone 18) (H2A-clustered histone 19) (Histone H2A.2) (Histone H2A/o)
Q7L7L0	H2AC25	Histone H2A type 3 (H2A-clustered histone 25)
Q8IYR2	SMYD4	Protein-lysine N-methyltransferase SMYD4 (EC 2.1.1.-) (SET and MYND domain-containing protein 4)
Q8IZX4	TAF1L	Transcription initiation factor TFIID subunit 1-like (TAF(II)210) (TBP-associated factor 1-like) (TBP-associated factor 210 kDa) (Transcription initiation factor TFIID 210 kDa subunit)
Q8NCM8	DYNC2H1	Cytoplasmic dynein 2 heavy chain 1 (Cytoplasmic dynein 2 heavy chain) (Dynein cytoplasmic heavy chain 2) (Dynein heavy chain 11) (hDHC11) (Dynein heavy chain isotype 1B)
Q96RW7	HMCN1	Hemicentin-1 (Fibulin-6) (FIBL-6)
Q96SB3	PPP1R9B	Neurabin-2 (Neurabin-II) (Protein phosphatase 1 regulatory subunit 9B) (Spinophilin)
O15504	NUP42	Nucleoporin NUP42 (NLP-1) (NUP42 homolog) (Nucleoporin hCG1) (Nucleoporin-42) (Nucleoporin-like protein 2)
O75569	PRKRA	Interferon-inducible double-stranded RNA-dependent protein kinase activator A (PKR-associated protein X) (PKR-associating protein X) (Protein activator of the interferon-induced protein kinase) (Protein kinase, interferon-inducible double-stranded RNA-dependent activator)
P02768	ALB	Albumin
P0CG47	UBB	Polyubiquitin-B [Cleaved into: Ubiquitin]
P20671	H2AC7	Histone H2A type 1-D (Histone H2A.3) (Histone H2A/g)
P51888	PRELP	Prolargin (Proline-arginine-rich end leucine-rich repeat protein)
Q92546	RGP1	RAB6A-GEF complex partner protein 2 (Retrograde Golgi transport protein RGP1 homolog)
Q96RU3	FNBP1	Formin-binding protein 1 (Formin-binding protein 17) (hFBP17)
Q9UNW9	NOVA2	RNA-binding protein Nova-2 (Astrocytic NOVA1-like RNA-binding protein) (Neuro-oncological ventral antigen 2)
Q9Y2B0	CNPY2	Protein canopy homolog 2 (MIR-interacting saposin-like protein) (Putative secreted protein Zsig9) (Transmembrane protein 4)
Q9Y619	SLC25A15	Mitochondrial ornithine transporter 1 (Solute carrier family 25 member 15)
O43151	TET3	Methylcytosine dioxygenase TET3 (EC 1.14.11.80)
P04908	H2AC4; H2AC8	Histone H2A type 1-B/E (Histone H2A.2) (Histone H2A/a) (Histone H2A/m)
P09211	GSTP1	Glutathione S-transferase P (EC 2.5.1.18) (GST class-pi) (GSTP1-1)
