EnsemblProteinID	BaseAccession	UniProtSource	MappingSource	MappingDate
ENSP00000000233	P84085	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000000233	A4D0Z3	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000000412	P20645	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000000442	P11474	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000000442	Q569H8	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000001008	Q02790	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000002125	Q7L592	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000002165	Q9BTY2	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000002501	Q9H9R9	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000002829	Q13275	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000003100	Q16850	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000003302	Q96RU2	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000003912	Q6P499	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000004531	P52569	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000004982	O14558	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000004982	V9HWB6	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000005178	Q16654	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000005178	A4D1H4	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000005257	P11233	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000005259	Q9UHQ4	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000005259	E9PAJ1	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000005260	Q9UHR4	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000005284	O60359	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000005286	Q24JP5	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000005340	O14641	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000005386	Q9H6T3	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
